"Members – Detailed Contract Expenditures Report – van Koeverden, Adam – Q2 2021"
Supplier,Description,Date,Total
SNAPD MILTON,Advertising,2020/04/01,395.00
BELL CANADA,Cable and Internet Fees,2020/04/04,74.00
Zoom Video Communications Inc.,Licence Renewal,2020/04/06,20.00
Star Metroland Media,Advertising,2020/04/19,249.50
NGP VAN Inc.,Professional Communication Services,2020/04/29,100.00
NGP VAN Inc.,Professional Communication Services,2020/05/01,100.00
SNAPD BURLINGTON,Advertising,2020/05/01,450.00
SNAPD MILTON,Advertising,2020/05/01,640.00
Star Metroland Media,Advertising,2020/05/03,249.50
BELL CANADA,Cable and Internet Fees,2020/05/04,74.00
Star Metroland Media,Advertising,2020/05/17,249.50
Star Metroland Media,Advertising,2020/05/24,249.50
Zoom Video Communications Inc.,Licence Renewal,2020/05/26,20.00
NGP VAN Inc.,Professional Communication Services,2020/06/01,100.00
SNAPD MILTON,Advertising,2020/06/01,640.00
BELL CANADA,Cable and Internet Fees,2020/06/04,74.00
Zoom Video Communications Inc.,Licence Renewal,2020/06/04,47.55
2656006 Ontario Inc.,Consumable Items for Constituency Offices (COVID19),2020/06/05,909.65
Star Metroland Media,Advertising,2020/06/07,200.00
" Squarespace Ireland Ltd.",Web Site Hosting/Domain Name,2020/06/15,40.56
Squarespace Ireland Ltd.,Web Site Hosting/Domain Name,2020/06/15,35.15
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Allegra,Constituency Mail,2020/06/22,4839.00
Allegra,Promotional Items,2020/06/24,3971.00
IKEA,Office Furniture and Fixtures,2020/06/26,318.00
IKEA,Freight,2020/06/26,59.00
IKEA,Office Furniture and Fixtures,2020/06/26,160.00
IKEA,Office Furniture and Fixtures,2020/06/26,299.00
IKEA,Office Furniture and Fixtures,2020/06/26,99.00
Zoom Video Communications Inc.,Licence Renewal,2020/06/26,20.00
Star Metroland Media,Advertising,2020/06/28,199.66
Star Metroland Media,Advertising,2020/06/28,200.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,901.44
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,192.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,48.00
NGP VAN Inc.,Professional Communication Services,2020/07/01,100.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
SNAPD BURLINGTON,Advertising,2020/07/01,231.66
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,11.22
Squarespace Ireland Ltd.,Web Site Hosting/Domain Name,2020/07/15,35.27
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.33
Penny's Cleaning,Janitorial Services and Maintenance,2020/07/20,62.50
Zoom Video Communications Inc.,Licence Renewal,2020/07/26,20.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,22.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,30.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,192.00
"Corporation of the Town of Milton, The",Office Rental and Related Fees,2020/08/01,3500.00
NGP VAN Inc.,Professional Communication Services,2020/08/01,100.00
BELL CANADA,Cable and Internet Fees,2020/08/04,74.00
ETHNIC MEDIA INC.,Advertising,2020/08/06,150.00
KEY CENTRES LIMITED,Gifts given as a matter of protocol,2020/08/11,445.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Entripy,Advertising,2020/08/20,1919.88
Italian Cultural Centre of Milton,Advertising,2020/08/21,500.00
Signarama,Signage,2020/08/24,1831.50
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,84.00
Grand & Toy,Cleaning Products,2020/08/31,22.58
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,192.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,57.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,30.00
"Corporation of the Town of Milton, The",Office Rental and Related Fees,2020/09/01,3500.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,205.18
Canada Post – Postes Canada,Courier Services,2020/09/23,9.76
Canada Post – Postes Canada,Courier Services,2020/09/23,5.94
Canada Post – Postes Canada,Courier Services,2020/09/23,7.21
Canada Post – Postes Canada,Courier Services,2020/09/23,21.97
Canada Post – Postes Canada,Courier Services,2020/09/23,7.08
Canada Post – Postes Canada,Courier Services,2020/09/23,7.18
Canada Post – Postes Canada,Courier Services,2020/09/23,7.38
Canada Post – Postes Canada,Courier Services,2020/09/23,5.59
"Corporation of the Town of Milton, The",Office Rental and Related Fees,2020/10/01,3500.00
