"Members – Detailed Contract Expenditures Report – Rayes, Alain – Q2 2021"
Supplier,Description,Date,Total
BALADE GOURMANDE,Advertising,2020/04/01,250.00
Bell,Cable and Internet Fees,2020/04/07,66.95
Bell,Cable and Internet Fees,2020/05/07,58.92
Lecompte (Victoriaville),"Office Supplies, Stationery and Accessories",2020/05/15,6.99
Familiprix,Consumable Items for Constituency Offices (COVID19),2020/05/21,69.18
Microsoft Canada inc.,"Office Supplies, Stationery and Accessories",2020/05/21,79.00
Vidéotron Ltée,Cable and Internet Fees,2020/05/29,113.95
Caisse Desjardins des Bois-Francs,Banking Fees and Cheque Orders,2020/05/31,3.95
Familiprix,Consumable Items for Constituency Offices (COVID19),2020/06/01,15.58
Bell,Cable and Internet Fees,2020/06/07,69.95
Amazon.ca,"Office Supplies, Stationery and Accessories",2020/06/10,15.99
L'ÉCOLE SECONDAIRE DE L'ESCALE,Advertising,2020/06/10,150.00
AGAW,Advertising,2020/06/12,100.00
LE SENTIER DES PIEDS D'OR,Advertising,2020/06/18,250.00
PARC LINEAIRE DES BOIS-FRANCS,Advertising,2020/06/18,195.00
École secondaire de l`Escale,Advertising,2020/06/19,200.00
Cyberimpact,Professional Communication Services,2020/06/21,55.00
Vidéotron ltée,Internet (COVID19),2020/06/22,7.20
Le Ptit Bonheur de Saint-Camille(campagne Je suis Aidant naturel),Advertising,2020/06/23,125.00
Icimédias Inc.,Advertising,2020/06/24,395.00
Familiprix,Consumable Items for Constituency Offices (COVID19),2020/06/25,35.96
"FM 99,3 RADIO PLUS B.M.D. INC.",Advertising,2020/06/25,425.00
Signé Garneau Victoriaville,Gifts given as a matter of protocol,2020/06/25,60.50
TABLE DES AINÉES DE LA MRC D'ARTHABASKA,Advertising,2020/06/29,200.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,121.67
Grand & Toy,Bulk Paper Purchases,2020/06/30,44.70
Martineau Communication & Impression,"Householders ",2020/06/30,4664.00
"Sherbrooke Record, The",Advertising,2020/06/30,209.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,92.20
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,185.84
Bell,Cable and Internet Fees,2020/07/07,69.95
Buropro Citation,"Office Supplies, Stationery and Accessories",2020/07/07,70.14
Legion Royale Canadienne Filiale 086,Advertising,2020/07/07,250.00
Municipalite de Saint-Rosaire,Advertising,2020/07/07,110.00
Publidiffusion Inc.,Advertising,2020/07/07,254.00
Vitrerie ML Inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/07,1230.00
Jean Coutu,Cleaning Products,2020/07/08,22.98
I.R.T.A.,Advertising,2020/07/09,250.00
Jeune COOP Arthabaska,Advertising,2020/07/09,150.00
JARDINS COMMUNAUTAIRES DES BOIS-FRANCS,Advertising,2020/07/10,150.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,466.91
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,90.96
Ass. Parents-Ressources des Bois-Francs,Advertising,2020/07/17,150.00
Jean Coutu,"Office Supplies, Stationery and Accessories",2020/07/17,11.87
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,4.00
Cyberimpact,Professional Communication Services,2020/07/21,55.00
Chevaliers de Colomb Wotton - Conseil 9357-87,Advertising,2020/07/23,200.00
Caisse Desjardins des Bois-Francs,Banking Fees and Cheque Orders,2020/07/31,3.95
Videotron ltée,Cable and Internet Fees,2020/07/31,113.95
