"Members – Detailed Contract Expenditures Report – Brunelle-Duceppe, Alexis – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Changes - Services and/or Equipment (Telemanagement) - Federal Government Departments,2020/05/25,214.15
Caisse Desjardins,Banking Fees and Cheque Orders,2020/05/31,11.45
Cogeco Connexion inc.,Cable and Internet Fees,2020/06/22,130.10
POSTES CANADA,Postage and Parcel Post,2020/06/22,17.78
Bell Média Inc.,Advertising,2020/06/28,368.00
Bell Média Inc.,Advertising,2020/06/28,85.00
Cogeco Media Inc.,Advertising,2020/06/28,275.00
Cogeco Media Inc.,Advertising,2020/06/28,230.00
Cogeco Media Inc.,Advertising,2020/06/28,207.00
GROUPE TVA INC,Advertising,2020/06/28,462.61
Desjardins,Banking Fees and Cheque Orders,2020/06/30,11.45
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,94.46
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,26.00
Métro,Cleaning Products,2020/07/06,7.76
Dollarama,"Office Supplies, Stationery and Accessories",2020/07/07,10.05
Serruries Protec,"Office Supplies, Stationery and Accessories",2020/07/09,25.20
Jean Coutu,Consumable Items for Constituency Offices (COVID19),2020/07/13,84.95
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,57.71
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.15
Cogeco Connexion inc.,Cable and Internet Fees,2020/07/22,132.61
"Jardins Mistouk, Les",Advertising,2020/07/28,434.88
Caisse Desjardins,Banking Fees and Cheque Orders,2020/07/31,11.45
Groupe Performance Stratégique inc.,Subject Matter Expert,2020/07/31,1500.00
3098-6145 Québec Inc,Office Rental and Related Fees,2020/08/01,1901.25
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,94.46
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,1.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,35.00
Corporation du circuit cyclable,Advertising,2020/08/15,434.88
Megaburo Inc.,Cleaning Products,2020/08/18,10.69
Megaburo Inc.,Computer Equipment,2020/08/18,33.49
Megaburo Inc.,Appliances,2020/08/18,479.00
Maxi,Cleaning Products,2020/08/19,9.00
Jean Coutu,Consumable Items for Constituency Offices (COVID19),2020/08/20,36.44
Lettrage GD,Signage,2020/08/21,195.00
Cogeco Connexion inc.,Cable and Internet Fees,2020/08/22,129.78
Trium Médias,Advertising,2020/08/26,1836.00
Desjardins,Banking Fees and Cheque Orders,2020/08/31,11.45
3098-6145 Québec Inc,Office Rental and Related Fees,2020/09/01,1901.25
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,60.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,94.46
Trium Médias,Advertising,2020/09/02,760.00
Bureau en gros,Consumable Items for Constituency Offices (COVID19),2020/09/10,13.98
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/09/10,76.52
La Source,Voice Communication Equipment,2020/09/10,25.98
Canada Post – Postes Canada,Courier Services,2020/09/23,13.15
Canada Post – Postes Canada,Courier Services,2020/09/23,17.34
Canada Post – Postes Canada,Courier Services,2020/09/23,17.09
Canada Post – Postes Canada,Courier Services,2020/09/23,15.38
Canada Post – Postes Canada,Courier Services,2020/09/23,13.15
Canada Post – Postes Canada,Courier Services,2020/09/23,17.34
Canada Post – Postes Canada,Courier Services,2020/09/23,13.93
Canada Post – Postes Canada,Courier Services,2020/09/23,13.59
Canada Post – Postes Canada,Courier Services,2020/09/23,13.15
Canada Post – Postes Canada,Courier Services,2020/09/23,13.41
Canada Post – Postes Canada,Courier Services,2020/09/23,13.41
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/25,292.58
3098-6145 Québec Inc,Office Rental and Related Fees,2020/10/01,1901.25
