"Members – Detailed Travel Expenditures Report – Alghabra, Omar – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202751,2020/06/01,2020/06/30,,,,,,,0.0000,1569.9900,0.0000,0,0,0,1569.9900
T0202751,2020/06/01,2020/06/30,"Alghabra, Omar",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0202751,2020/06/01,2020/06/30,"Alghabra, Omar",Member,Secondary Residence,2020/06/18,Ottawa,Ottawa,,,,,,,
T0202573,2020/06/21,2020/06/24,,,,,,,456.8600,0.0000,393.2100,1.0000,0,0,850.0700
T0202573,2020/06/21,2020/06/24,"Alghabra, Omar",Member,To travel to/from constituency and Ottawa,2020/06/21,Mississauga,Ottawa,,,,,,,
T0202573,2020/06/21,2020/06/24,"Alghabra, Omar",Member,To travel to/from constituency and Ottawa,2020/06/24,Ottawa,Mississauga,,,,,,,
T0203561,2020/07/01,2020/08/17,,,,,,,0.0000,1619.9900,0.0000,0,0,0,1619.9900
T0203561,2020/07/01,2020/08/17,"Alghabra, Omar",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0203561,2020/07/01,2020/08/17,"Alghabra, Omar",Member,Secondary Residence,2020/07/18,Ottawa,Ottawa,,,,,,,
T0203390,2020/07/19,2020/07/23,,,,,,,439.7200,0.0000,491.5200,1.0000,0,0,931.2400
T0203390,2020/07/19,2020/07/23,"Alghabra, Omar",Member,To travel to/from constituency and Ottawa,2020/07/19,Mississauga,Ottawa,,,,,,,
T0203390,2020/07/19,2020/07/23,"Alghabra, Omar",Member,To travel to/from constituency and Ottawa,2020/07/23,Ottawa,Mississauga,,,,,,,
T0203979,2020/07/20,2020/07/23,,,,,,,439.7200,0.0000,193.2600,1.0000,0,0,632.9800
T0203979,2020/07/20,2020/07/23,"Zheng, Yuan (Alice)",Employee,To travel to/from constituency and Ottawa,2020/07/20,Mississauga,Ottawa,,,,,,,
T0203979,2020/07/20,2020/07/23,"Zheng, Yuan (Alice)",Employee,To travel to/from constituency and Ottawa,2020/07/23,Ottawa,Mississauga,,,,,,,
T0204333,2020/08/01,2020/08/31,,,,,,,0.0000,1619.9900,0.0000,0,0,0,1619.9900
T0204333,2020/08/01,2020/08/31,"Alghabra, Omar",Member,Secondary Residence,2020/08/01,Ottawa,Ottawa,,,,,,,
T0203937,2020/08/14,2020/08/17,,,,,,,439.7200,0.0000,393.2100,1.0000,0,0,832.9300
T0203937,2020/08/14,2020/08/17,"Alghabra, Omar",Member,To travel to/from constituency and Ottawa,2020/08/14,Mississauga,Ottawa,,,,,,,
T0203937,2020/08/14,2020/08/17,"Alghabra, Omar",Member,To travel to/from constituency and Ottawa,2020/08/17,Ottawa,Mississauga,,,,,,,
T0204226,2020/08/23,2020/08/27,,,,,,,439.7200,0.0000,491.5200,1.0000,0,0,931.2400
T0204226,2020/08/23,2020/08/27,"Alghabra, Omar",Member,To travel to/from constituency and Ottawa,2020/08/23,Mississauga,Ottawa,,,,,,,
T0204226,2020/08/23,2020/08/27,"Alghabra, Omar",Member,To travel to/from constituency and Ottawa,2020/08/27,Ottawa,Mississauga,,,,,,,
T0204848,2020/09/08,2020/09/11,,,,,,,439.7200,0.0000,393.2100,1.0000,0,0,832.9300
T0204848,2020/09/08,2020/09/11,"Alghabra, Omar",Member,To travel to/from constituency and Ottawa,2020/09/08,Mississauga,Ottawa,,,,,,,
T0204848,2020/09/08,2020/09/11,"Alghabra, Omar",Member,To travel to/from constituency and Ottawa,2020/09/11,Ottawa,Mississauga,,,,,,,
T0205319,2020/09/21,2020/09/25,,,,,,,439.7200,0.0000,491.5200,1.0000,0,0,931.2400
T0205319,2020/09/21,2020/09/25,"Alghabra, Omar",Member,To travel to/from constituency and Ottawa,2020/09/21,Mississauga,Ottawa,,,,,,,
T0205319,2020/09/21,2020/09/25,"Alghabra, Omar",Member,To travel to/from constituency and Ottawa,2020/09/25,Ottawa,Mississauga,,,,,,,
