"Members – Detailed Contract Expenditures Report – Wong, Alice – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.82
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,163.04
DIVESTOR INVESTMENTS INC.,Office Assistant,2020/06/30,3147.54
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,121.83
Grand & Toy,Digital Communication Equipment,2020/06/30,27.55
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,167.54
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/07/04,24.99
Walmart,Consumable Items for Constituency Offices (COVID19),2020/07/10,23.96
Imperial Parking Canada,"Office Rentals, Taxes, Common Area Fees",2020/07/13,263.46
Shaw Cable,Cable and Internet Fees,2020/07/14,142.26
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,8.84
DIVESTOR INVESTMENTS INC.,Office Assistant,2020/07/31,3252.46
BentallGreenOak (Canada) LP,Office Rental and Related Fees,2020/08/01,3758.73
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,176.29
Urdu Journal 0826193 B.C. Ltd,Advertising,2020/08/06,63.38
Imperial Parking Canada,"Office Rentals, Taxes, Common Area Fees",2020/08/11,263.46
Shaw Cable,Cable and Internet Fees,2020/08/14,142.26
4 Office Automation Ltd.,Photocopier Rental and Related Costs,2020/08/27,13.11
DIVESTOR INVESTMENTS INC.,Office Assistant,2020/08/31,3252.46
BentallGreenOak (Canada) LP,Office Rental and Related Fees,2020/09/01,3758.73
Canada Post – Postes Canada,Courier Services,2020/09/23,83.23
Canada Post – Postes Canada,Courier Services,2020/09/23,30.62
Canada Post – Postes Canada,Courier Services,2020/09/23,11.70
Canada Post – Postes Canada,Courier Services,2020/09/23,26.91
Canada Post – Postes Canada,Courier Services,2020/09/30,13.33
BentallGreenOak (Canada) LP,Office Rental and Related Fees,2020/10/01,3758.73
