"Members – Detailed Travel Expenditures Report – Amos, William – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0204783,2020/03/06,2020/03/20,,,,,,,57.1800,0.0000,17.9400,0.0000,0,0,75.1200
T0204783,2020/03/06,2020/03/20,"Beausoleil, Francis",Employee,To attend a constituency or community event,2020/03/06,Chelsea,Gatineau,,,,,,,
T0204783,2020/03/06,2020/03/20,"Beausoleil, Francis",Employee,To attend a constituency or community event,2020/03/06,Gatineau,Chelsea,,,,,,,
T0204783,2020/03/06,2020/03/20,"Beausoleil, Francis",Employee,To attend a constituency or community event,2020/03/20,La Pêche,Chelsea,,,,,,,
T0204783,2020/03/06,2020/03/20,"Beausoleil, Francis",Employee,To attend a constituency or community event,2020/03/20,Chelsea,La Pêche,,,,,,,
T0205553,2020/04/01,2020/04/30,,,,,,,606.4400,0.0000,198.5200,0.0000,0,0,804.9600
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To travel to/from constituency and Ottawa,2020/04/01,Chelsea,Ottawa,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/15,Gracefield,Chelsea,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/18,Chelsea,Wakefield,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/18,Wakefield,Chelsea,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/19,Chelsea,Gatineau,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/19,Gatineau,Chelsea,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/21,Chelsea,Wakefield,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/21,Wakefield,Chelsea,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/26,Chelsea,Wakefield,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/26,Wakefield,Chelsea,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/27,Chelsea,Shawville,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To travel to/from constituency and Ottawa,2020/04/01,Ottawa,Chelsea,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/27,Shawville,Chelsea,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To travel to/from constituency and Ottawa,2020/04/27,Chelsea,Ottawa,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To travel to/from constituency and Ottawa,2020/04/27,Ottawa,Chelsea,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/02,Chelsea,Wakefield,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/02,Wakefield,Chelsea,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/03,Chelsea,Gatineau,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/03,Gatineau,Chelsea,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/11,Chelsea,Cantley,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/11,Cantley,Chelsea,,,,,,,
T0205553,2020/04/01,2020/04/30,"Amos, William",Member,To attend a constituency or community event,2020/04/15,Chelsea,Gracefield,,,,,,,
T0205552,2020/05/01,2020/05/31,,,,,,,296.7600,0.0000,91.0500,0.0000,0,0,387.8100
T0205552,2020/05/01,2020/05/31,"Amos, William",Member,To travel to/from constituency and Ottawa,2020/05/06,Chelsea,Ottawa,,,,,,,
T0205552,2020/05/01,2020/05/31,"Amos, William",Member,To attend a constituency or community event,2020/05/22,Gatineau,Chelsea,,,,,,,
T0205552,2020/05/01,2020/05/31,"Amos, William",Member,To attend a constituency or community event,2020/05/23,Chelsea,Wakefield,,,,,,,
T0205552,2020/05/01,2020/05/31,"Amos, William",Member,To attend a constituency or community event,2020/05/23,Wakefield,Chelsea,,,,,,,
T0205552,2020/05/01,2020/05/31,"Amos, William",Member,To attend a constituency or community event,2020/05/24,Chelsea,Gatineau,,,,,,,
T0205552,2020/05/01,2020/05/31,"Amos, William",Member,To attend a constituency or community event,2020/05/24,Gatineau,Chelsea,,,,,,,
T0205552,2020/05/01,2020/05/31,"Amos, William",Member,To travel to/from constituency and Ottawa,2020/05/25,Chelsea,Ottawa,,,,,,,
T0205552,2020/05/01,2020/05/31,"Amos, William",Member,To travel to/from constituency and Ottawa,2020/05/25,Ottawa,Chelsea,,,,,,,
T0205552,2020/05/01,2020/05/31,"Amos, William",Member,To travel to/from constituency and Ottawa,2020/05/26,Chelsea,Ottawa,,,,,,,
T0205552,2020/05/01,2020/05/31,"Amos, William",Member,To travel to/from constituency and Ottawa,2020/05/26,Ottawa,Chelsea,,,,,,,
T0205552,2020/05/01,2020/05/31,"Amos, William",Member,To travel to/from constituency and Ottawa,2020/05/27,Chelsea,Ottawa,,,,,,,
T0205552,2020/05/01,2020/05/31,"Amos, William",Member,To travel to/from constituency and Ottawa,2020/05/06,Ottawa,Chelsea,,,,,,,
T0205552,2020/05/01,2020/05/31,"Amos, William",Member,To travel to/from constituency and Ottawa,2020/05/27,Ottawa,Chelsea,,,,,,,
