"Members – Detailed Contract Expenditures Report – Anand, Anita – Q2 2021"
Supplier,Description,Date,Total
Star Metroland Media,Advertising,2020/01/12,500.0000
Star Metroland Media,Advertising,2020/03/08,500.0000
PUROLATOR INC.,Courier Services,2020/03/13,7.5100
Canadian Tire,"Office Supplies, Stationery and Accessories",2020/03/19,13.2000
H.A.R.P. SECURITY,Protection and Alarm Monitoring (Member's Office Budget),2020/03/23,310.0000
SNAPD OAKVILLE,Advertising,2020/04/01,415.0000
BELL CANADA,Cable and Internet Fees,2020/04/05,82.9000
WIX.com,Web Site Hosting/Domain Name,2020/04/11,13.0300
WIX.com,Professional Communication Services,2020/04/11,221.0500
White Oaks Janitorial Services Ltd.,Janitorial Services and Maintenance,2020/04/15,300.0000
SNAPD OAKVILLE,Advertising,2020/05/01,415.0000
BELL CANADA,Cable and Internet Fees,2020/05/05,85.9000
PRIMECONTACT INC.,Advertising,2020/05/20,923.1000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
SNAPD OAKVILLE,Advertising,2020/06/01,415.0000
BELL CANADA,Cable and Internet Fees,2020/06/05,80.8700
Directworx,"Householders ",2020/06/10,4051.3900
White Oaks Janitorial Services Ltd.,Janitorial Services and Maintenance,2020/06/15,300.0000
NGP VAN Inc.,License/Maintenance fees for Application Software and Application Development and Delivery Software,2020/06/16,85.3900
Star Metroland Media,Advertising,2020/06/28,229.0000
Grand & Toy,Bulk Paper Purchases,2020/06/30,13.9900
Grand & Toy,Cleaning Products,2020/06/30,350.1400
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,481.9700
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,190.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,16.8000
NGP VAN Inc.,License/Maintenance fees for Application Software and Application Development and Delivery Software,2020/07/01,149.5300
SNAPD OAKVILLE,Advertising,2020/07/01,337.5000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,69.5100
White Oaks Janitorial Services Ltd.,Janitorial Services and Maintenance,2020/07/15,300.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.5300
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,53.8000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,190.0000
HENRY JELINEK ENTERPRISES LIMITED,Office Rental and Related Fees,2020/08/01,3600.0000
SNAPD OAKVILLE,Advertising,2020/08/01,415.0000
Oakville News Inc,Advertising,2020/08/03,310.0000
BELL CANADA,Monthly Phone Service,2020/08/05,84.3100
NGP VAN Inc.,License/Maintenance fees for Application Software and Application Development and Delivery Software,2020/08/13,150.0400
White Oaks Janitorial Services Ltd.,Janitorial Services and Maintenance,2020/08/15,300.0000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,226.4400
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,38.0000
Grand & Toy,Cleaning Products,2020/08/31,58.8700
Grand & Toy,Digital Communication Equipment,2020/08/31,77.5200
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,190.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,36.0000
HENRY JELINEK ENTERPRISES LIMITED,Office Rental and Related Fees,2020/09/01,3600.0000
NGP VAN Inc.,License/Maintenance fees for Application Software and Application Development and Delivery Software,2020/09/01,148.0600
SNAPD OAKVILLE,Advertising,2020/09/01,415.0000
BELL CANADA,Cable and Internet Fees,2020/09/05,83.3700
White Oaks Janitorial Services Ltd.,Janitorial Services and Maintenance,2020/09/15,300.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,8.3900
Canada Post – Postes Canada,Courier Services,2020/09/23,91.9900
Canada Post – Postes Canada,Courier Services,2020/09/23,5.4800
Canada Post – Postes Canada,Courier Services,2020/09/23,7.6100
Canada Post – Postes Canada,Courier Services,2020/09/23,5.4000
Canada Post – Postes Canada,Courier Services,2020/09/23,5.6200
HENRY JELINEK ENTERPRISES LIMITED,Office Rental and Related Fees,2020/10/01,3600.0000
