"Members – Detailed Contract Expenditures Report – Iacono, Angelo – Q2 2021"
Supplier,Description,Date,Total
BANQUE NATIONALE DU CANADA,Banking Fees and Cheque Orders,2020/04/12,3.95
BANQUE NATIONALE DU CANADA,Banking Fees and Cheque Orders,2020/05/12,3.95
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
2M.Media,Advertising,2020/06/06,849.25
Capital Affiliated  (Amazon - Monitor Riser Stand),Office Equipment,2020/06/07,171.10
CKnapp Sales Inc (Amazon - TV Bracket Platform),Office Furniture and Fixtures,2020/06/08,21.99
PROXIMA PUBLICATIONS INC.,Professional Communication Services,2020/06/10,65.00
PROXIMA PUBLICATIONS INC.,Advertising,2020/06/10,193.00
LAMES D'ARGENT DE LAVAL,Advertising,2020/06/11,62.50
BANQUE NATIONALE DU CANADA,Banking Fees and Cheque Orders,2020/06/12,3.95
Shenzhen Yijingde Trading (Amazon - Earbuds),Voice Communication Equipment,2020/06/12,42.49
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/12,201.52
FACEBOOK ADS,Advertising,2020/06/16,100.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
FACEBOOK ADS,Advertising,2020/06/18,100.00
SPORTS LAVAL,Advertising,2020/06/18,125.00
Collection Drapeaux du Monde Inc.,Pins and Flags,2020/06/19,381.33
FACEBOOK ADS,Advertising,2020/06/19,100.00
2M.Media,Advertising,2020/06/20,343.75
FACEBOOK ADS,Advertising,2020/06/20,100.00
Métro Média,Advertising,2020/06/20,225.00
Provincial Informatique Terrebonne,Repair of Computer Equipment and Peripherals,2020/06/20,682.50
FACEBOOK ADS,Advertising,2020/06/21,100.00
FACEBOOK ADS,Advertising,2020/06/22,100.00
FACEBOOK ADS,Advertising,2020/06/23,100.00
FACEBOOK ADS,Advertising,2020/06/24,100.00
FACEBOOK ADS,Advertising,2020/06/24,100.00
COSTCO,"Office Supplies, Stationery and Accessories",2020/06/25,75.86
FACEBOOK ADS,Advertising,2020/06/25,100.00
2M.Media,Advertising,2020/06/27,450.55
Métro Média,Advertising,2020/06/27,225.00
FB ADS,Advertising,2020/06/28,100.00
FB ADS,Advertising,2020/06/30,6.60
ZOOM VIDEO COMMUNICATIONS INC,Licence Renewal,2020/06/30,20.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,153.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,160.33
Complexe 3131,Storage and Warehousing,2020/07/01,100.00
FB ADS,Advertising,2020/07/01,100.00
FB ADS,Advertising,2020/07/01,100.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
2M.Media,Advertising,2020/07/04,450.55
FB ADS,Advertising,2020/07/04,100.00
Métro Média,Advertising,2020/07/04,225.00
FB ADS,Advertising,2020/07/05,100.00
FB ADS,Advertising,2020/07/06,100.00
Néomédia inc.,Advertising,2020/07/06,900.00
Néomédia inc.,Professional Communication Services,2020/07/06,300.00
Kenedacom Data Recovery Inc.,Repair of Computer Equipment and Peripherals,2020/07/07,1190.00
PROXIMA PUBLICATIONS INC.,Professional Communication Services,2020/07/08,65.00
PROXIMA PUBLICATIONS INC.,Advertising,2020/07/08,193.00
RITA FLEURISTES,Gifts given as a matter of protocol,2020/07/08,135.00
RITA FLEURISTES,Courier Services,2020/07/08,15.00
RITA FLEURISTES,Gifts given as a matter of protocol,2020/07/08,150.00
FB ADS,Advertising,2020/07/09,100.00
Vidéotron s.e.n.c,Cable and Internet Fees,2020/07/10,175.72
2M.Media,Advertising,2020/07/11,1462.50
BANQUE NATIONALE DU CANADA,Banking Fees and Cheque Orders,2020/07/12,3.95
CONGRÈS NATIONAL DES ITALO-CANADIENS,Advertising,2020/07/13,185.71
MAYRAND ENTREPOT,Spring Water,2020/07/13,11.97
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,18.02
Facebook,Advertising,2020/07/14,100.00
Communication Graphique Denis Inc.,Constituency Mail,2020/07/15,3529.18
DE SERRES,"Framing, Outside Supplier",2020/07/16,54.94
Facebook,Advertising,2020/07/17,100.00
"Specialistes AF, Les",Janitorial Services and Maintenance,2020/07/17,192.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.68
DE SERRES,"Framing, Outside Supplier",2020/07/18,64.94
Facebook,Advertising,2020/07/18,100.00
Métro Média,Advertising,2020/07/18,225.00
Services Informatiques D.L. Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/20,172.44
BUREAU EN GROS,"Office Supplies, Stationery and Accessories",2020/07/23,35.49
FB ADS,Advertising,2020/07/25,100.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/27,241.15
NIC HIT,Consumable Items for Constituency Offices (COVID19),2020/07/27,142.50
FB ADS,Advertising,2020/07/30,41.73
IL RINCONTRO,Advertising,2020/07/30,300.00
BUANDERIE PROGRES HYGIÉNIQUE INC.,Repair of Office Equipment,2020/07/31,30.00
MICHAELS,"Office Supplies, Stationery and Accessories",2020/07/31,3.89
"VOCE, LA",Advertising,2020/07/31,600.00
ZOOM VIDEO COMMUNICATION,Licence Renewal,2020/07/31,20.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,88.07
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,153.38
Complexe 3131,Storage and Warehousing,2020/08/01,100.00
Complexe 3131,Office Rental and Related Fees,2020/08/01,3934.92
Laval en Famille Magazine,Advertising,2020/08/01,655.00
LAVAL FAMILIES MAGAZINE,Advertising,2020/08/01,655.00
MICHAELS,"Office Supplies, Stationery and Accessories",2020/08/05,13.05
Néomédia inc.,Advertising,2020/08/07,900.00
Néomédia inc.,Professional Communication Services,2020/08/07,300.00
Provincial Informatique Terrebonne,Computer Equipment,2020/08/07,184.75
FB ADS,Advertising,2020/08/08,100.00
FB ADS,Advertising,2020/08/10,100.00
Communication Graphique Denis Inc.,External Printing Costs,2020/08/11,198.00
SOLUTIONS ALPHA,Professional Communication Services,2020/08/11,400.00
SOLUTIONS ALPHA,Advertising,2020/08/11,1120.00
BANQUE NATIONALE DU CANADA,Banking Fees and Cheque Orders,2020/08/12,3.95
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/14,175.72
DOLLARAMA,"Office Supplies, Stationery and Accessories",2020/08/15,30.25
MAYRAND ENTREPOT,Spring Water,2020/08/15,15.96
MICHAELS,"Office Supplies, Stationery and Accessories",2020/08/15,36.08
RONA ENT.,Office Plants and Flowers,2020/08/15,145.93
Communication Graphique Denis Inc.,Consumable Items for Constituency Offices (COVID19),2020/08/18,232.00
Communication Graphique Denis Inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/18,735.81
PROXIMA PUBLICATIONS INC.,Professional Communication Services,2020/08/19,65.00
PROXIMA PUBLICATIONS INC.,Advertising,2020/08/19,193.00
2M.Media,Advertising,2020/08/22,361.44
"Francs Copains du Patrimoine, Les",Advertising,2020/08/22,80.00
Métro Média,Advertising,2020/08/22,225.00
Newsfirst Multimédia (9030-2944 Québec Inc.),Advertising,2020/08/26,220.00
Complexe 3131,Janitorial Services and Maintenance,2020/08/27,25.00
SEMAINIER PAROISSIAL,Advertising,2020/08/27,272.50
SEMAINIER PAROISSIAL,Professional Communication Services,2020/08/27,200.00
2M.Media,Advertising,2020/08/29,343.75
FB ADS,Advertising,2020/08/30,80.28
ZOOM VIDEO COMMUNICATIONS INC.,Licence Renewal,2020/08/31,20.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,153.38
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,18.00
Complexe 3131,Office Rental and Related Fees,2020/09/01,3934.92
Complexe 3131,Storage and Warehousing,2020/09/01,100.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
Collection Drapeaux du Monde Inc.,Pins and Flags,2020/09/02,65.70
FB ADS,Advertising,2020/09/02,100.00
"VOCE, LA","Printed Matter, Books, Newspapers and Subscriptions",2020/09/04,10.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,241.42
Communication Graphique Denis Inc.,External Printing Costs,2020/09/09,946.62
IL RINCONTRO,Advertising,2020/09/09,300.00
Vidéotron s.e.n.c,Cable and Internet Fees,2020/09/11,175.72
2M.Media,Advertising,2020/09/12,525.00
"BANQUE NATIONALE DU CANADA ",Banking Fees and Cheque Orders,2020/09/12,3.95
FB ADS,Advertising,2020/09/13,100.00
RITA FLEURISTES,Gifts given as a matter of protocol,2020/09/14,150.00
ADONIS,Spring Water,2020/09/15,21.96
Stèle Médias Communications et Relations Publiques Inc.,Advertising,2020/09/16,193.00
