"Members – Detailed Travel Expenditures Report – Angus, Charlie – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203280,2020/03/05,2020/04/01,,,,,,,0.0000,21.4700,0.0000,0,0,0,21.4700
T0203280,2020/03/05,2020/04/01,"Angus, Charlie",Member,Secondary Residence,2020/03/05,Ottawa,Ottawa,,,,,,,
T0203281,2020/04/02,2020/07/03,,,,,,,0.0000,64.7400,0.0000,0,0,0,64.7400
T0203281,2020/04/02,2020/07/03,"Angus, Charlie",Member,Secondary Residence,2020/06/04,Ottawa,Ottawa,,,,,,,
T0203281,2020/04/02,2020/07/03,"Angus, Charlie",Member,Secondary Residence,2020/05/05,Ottawa,Ottawa,,,,,,,
T0203281,2020/04/02,2020/07/03,"Angus, Charlie",Member,Secondary Residence,2020/04/02,Ottawa,Ottawa,,,,,,,
T0202535,2020/06/22,2020/06/24,,,,,,,479.7000,0.0000,294.9100,1.0000,0,0,774.6100
T0202535,2020/06/22,2020/06/24,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2020/06/22,Cobalt,Ottawa,,,,,,,
T0202535,2020/06/22,2020/06/24,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2020/06/24,Ottawa,Cobalt,,,,,,,
T0203262,2020/07/15,2020/07/17,,,,,,,461.7000,0.0000,294.9100,1.0000,0,0,756.6100
T0203262,2020/07/15,2020/07/17,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2020/07/15,Cobalt,Ottawa,,,,,,,
T0203262,2020/07/15,2020/07/17,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2020/07/17,Ottawa,Cobalt,,,,,,,
T0203597,2020/07/27,2020/07/29,,,,,,,461.7000,0.0000,294.9100,1.0000,0,0,756.6100
T0203597,2020/07/27,2020/07/29,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2020/07/27,Cobalt,Ottawa,,,,,,,
T0203597,2020/07/27,2020/07/29,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2020/07/29,Ottawa,Cobalt,,,,,,,
200435040,2020/08/01,2020/08/31,,,,,,,0.0000,48.3600,0.0000,0,0,0,48.3600
200435040,2020/08/01,2020/08/31,"Angus, Charlie",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
200430661,2020/08/01,2020/08/31,,,,,,,0.0000,1124.5900,0.0000,0,0,0,1124.5900
200430661,2020/08/01,2020/08/31,"Angus, Charlie",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0203729,2020/08/09,2020/08/13,,,,,,,461.7000,0.0000,393.2100,1.0000,0,0,854.9100
T0203729,2020/08/09,2020/08/13,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2020/08/09,Cobalt,Ottawa,,,,,,,
T0203729,2020/08/09,2020/08/13,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2020/08/13,Ottawa,Cobalt,,,,,,,
T0204186,2020/08/17,2020/08/17,,,,,,,0.0000,0.0000,98.3000,0.0000,0.0000,0,98.3000
T0204186,2020/08/17,2020/08/17,"Labreche, Diane",Employee,To attend a constituency or community event,2020/08/17,Timmins,Kirkland Lake,,,,,,,
T0204078,2020/08/17,2020/08/17,,,,,,,200.1700,0.0000,98.3000,0.0000,0.0000,0,298.4700
T0204078,2020/08/17,2020/08/17,"Cardinal, Suzanne",Employee,To attend a constituency or community event,2020/08/17,Timmins,Kirkland Lake,,,,,,,
T0204078,2020/08/17,2020/08/17,"Cardinal, Suzanne",Employee,To attend a constituency or community event,2020/08/17,Kirkland Lake,New Liskeard,,,,,,,
T0204186,2020/08/17,2020/08/17,"Labreche, Diane",Employee,To attend a constituency or community event,2020/08/17,Kirkland Lake,New Liskeard,,,,,,,
T0204186,2020/08/17,2020/08/17,"Labreche, Diane",Employee,To attend a constituency or community event,2020/08/17,New Liskeard,Timmins,,,,,,,
T0204078,2020/08/17,2020/08/17,"Cardinal, Suzanne",Employee,To attend a constituency or community event,2020/08/17,New Liskeard,Timmins,,,,,,,
T0204077,2020/08/18,2020/08/18,,,,,,,210.7000,0.0000,98.3000,0.0000,0,0,309.0000
T0204077,2020/08/18,2020/08/18,"Angus, Charlie",Member,To attend a constituency or community event,2020/08/18,Cobalt,Timmins,,,,,,,
T0204077,2020/08/18,2020/08/18,"Angus, Charlie",Member,To attend a constituency or community event,2020/08/18,Timmins,Cobalt,,,,,,,
T0204491,2020/08/31,2020/09/02,,,,,,,459.8800,0.0000,294.9100,1.0000,0,0,754.7900
T0204491,2020/08/31,2020/09/02,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2020/08/31,Cobalt,Ottawa,,,,,,,
T0204491,2020/08/31,2020/09/02,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2020/09/02,Ottawa,Cobalt,,,,,,,
200437143,2020/09/01,2020/09/30,,,,,,,0.0000,1172.9500,0.0000,0,0,0,1172.9500
200437143,2020/09/01,2020/09/30,"Angus, Charlie",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0204747,2020/09/02,2020/09/09,,,,,,,256.5200,0.0000,196.6000,0.0000,0,0,453.1200
T0204747,2020/09/02,2020/09/09,"Cardinal, Suzanne",Employee,To conduct constituency office business,2020/09/02,Kirkland Lake,Timmins,,,,,,,
T0204747,2020/09/02,2020/09/09,"Cardinal, Suzanne",Employee,To attend a constituency or community event,2020/09/09,Timmins,Kirkland Lake,,,,,,,
T0204747,2020/09/02,2020/09/09,"Cardinal, Suzanne",Employee,To attend a constituency or community event,2020/09/09,Kirkland Lake,Timmins,,,,,,,
T0204747,2020/09/02,2020/09/09,"Cardinal, Suzanne",Employee,To attend a constituency or community event,2020/09/02,Timmins,Kirkland Lake,,,,,,,
T0205104,2020/09/20,2020/09/21,,,,,,,459.8800,0.0000,196.6100,1.0000,0,0,656.4900
T0205104,2020/09/20,2020/09/21,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2020/09/20,Cobalt,Ottawa,,,,,,,
T0205104,2020/09/20,2020/09/21,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2020/09/21,Ottawa,Cobalt,,,,,,,
T0205106,2020/09/21,2020/09/21,,,,,,,128.2600,0.0000,98.3000,0.0000,0,0,226.5600
T0205106,2020/09/21,2020/09/21,"Cardinal, Suzanne",Employee,To attend a constituency or community event,2020/09/21,Timmins,Kirkland Lake,,,,,,,
T0205107,2020/09/21,2020/09/21,,,,,,,0.0000,0.0000,98.3000,0.0000,0,0,98.3000
T0205107,2020/09/21,2020/09/21,"Labreche, Diane",Employee,To attend a constituency or community event,2020/09/21,Timmins,Kirkland Lake,,,,,,,
T0205106,2020/09/21,2020/09/21,"Cardinal, Suzanne",Employee,To attend a constituency or community event,2020/09/21,Kirkland Lake,Timmins,,,,,,,
T0205107,2020/09/21,2020/09/21,"Labreche, Diane",Employee,To attend a constituency or community event,2020/09/21,Kirkland Lake,Timmins,,,,,,,
T0205222,2020/09/23,2020/09/23,,,,,,,101.6800,0.0000,98.3000,0.0000,0,0,199.9800
T0205222,2020/09/23,2020/09/23,"Angus, Charlie",Member,To attend a constituency or community event,2020/09/23,Cobalt,Kirkland Lake,,,,,,,
T0205222,2020/09/23,2020/09/23,"Angus, Charlie",Member,To attend a constituency or community event,2020/09/23,Kirkland Lake,Cobalt,,,,,,,
200442004,2020/10/01,2020/10/31,,,,,,,0.0000,1172.9500,0.0000,0,0,0,1172.9500
200442004,2020/10/01,2020/10/31,"Angus, Charlie",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
