"Members – Detailed Travel Expenditures Report – Koutrakis, Annie – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203399,2020/07/14,2020/07/23,,,,,,,15.1800,0.0000,0.0000,0,0,0,15.18
T0203399,2020/07/14,2020/07/23,"Koutrakis, Annie",Member,To attend a constituency or community event,2020/07/14,Laval,Laval,,,,,,,
T0203399,2020/07/14,2020/07/23,"Koutrakis, Annie",Member,To attend a constituency or community event,2020/07/14,Laval,Laval,,,,,,,
T0203399,2020/07/14,2020/07/23,"Koutrakis, Annie",Member,To attend a constituency or community event,2020/07/14,Laval,Laval,,,,,,,
T0203399,2020/07/14,2020/07/23,"Koutrakis, Annie",Member,To attend a constituency or community event,2020/07/23,Laval,Laval,,,,,,,
T0203399,2020/07/14,2020/07/23,"Koutrakis, Annie",Member,To attend a constituency or community event,2020/07/23,Laval,Laval,,,,,,,
T0203399,2020/07/14,2020/07/23,"Koutrakis, Annie",Member,To attend a constituency or community event,2020/07/23,Laval,Laval,,,,,,,
T0203399,2020/07/14,2020/07/23,"Koutrakis, Annie",Member,To attend a constituency or community event,2020/07/23,Laval,Laval,,,,,,,
T0203399,2020/07/14,2020/07/23,"Koutrakis, Annie",Member,To attend a constituency or community event,2020/07/23,Laval,Laval,,,,,,,
T0203356,2020/07/20,2020/07/21,,,,,,,172.8100,0.0000,196.6100,1.0000,0,0,369.42
T0203356,2020/07/20,2020/07/21,"Koutrakis, Annie",Member,To travel to/from constituency and Ottawa,2020/07/20,Laval (Ville),Ottawa,,,,,,,
T0203356,2020/07/20,2020/07/21,"Koutrakis, Annie",Member,To travel to/from constituency and Ottawa,2020/07/21,Ottawa,Laval (Ville),,,,,,,
T0203713,2020/07/29,2020/08/05,,,,,,,46.8900,0.0000,0.0000,0,0,0,46.89
T0203713,2020/07/29,2020/08/05,"Koutrakis, Annie",Member,To attend a constituency or community event,2020/07/29,Montréal,Laval,,,,,,,
T0203713,2020/07/29,2020/08/05,"Koutrakis, Annie",Member,To attend a constituency or community event,2020/07/29,Laval,Laval,,,,,,,
T0203713,2020/07/29,2020/08/05,"Koutrakis, Annie",Member,To attend a constituency or community event,2020/07/29,Laval,Laval,,,,,,,
T0203713,2020/07/29,2020/08/05,"Koutrakis, Annie",Member,To attend a constituency or community event,2020/07/29,Laval,Laval,,,,,,,
T0203713,2020/07/29,2020/08/05,"Koutrakis, Annie",Member,To attend a constituency or community event,2020/07/29,Laval,Montréal,,,,,,,
T0203713,2020/07/29,2020/08/05,"Koutrakis, Annie",Member,To attend a constituency or community event,2020/08/05,Montréal,Laval,,,,,,,
