"Members – Detailed Contract Expenditures Report – Virani, Arif – Q2 2021"
Supplier,Description,Date,Total
Staples,"Office Supplies, Stationery and Accessories",2020/04/07,54.95
Zoom,Professional Communication Services,2020/04/17,20.00
GAZETA,Advertising,2020/04/20,100.00
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2020/04/21,91.08
Mailchimp,Professional Communication Services,2020/04/25,72.37
Protection Plus,Protection and Alarm Monitoring (Member's Office Budget),2020/05/03,83.70
Amazon,"Office Supplies, Stationery and Accessories",2020/05/12,59.99
City of Toronto,Cleaning Products,2020/05/15,28.50
Zoom,Professional Communication Services,2020/05/17,20.00
Campaign Works,"Householders ",2020/05/19,5830.00
BELL CANADA,Cable and Internet Fees,2020/05/22,105.95
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2020/05/22,77.01
Lakefront graphix technology,Promotional Items,2020/05/25,2800.00
Mailchimp,Professional Communication Services,2020/05/25,62.65
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.54
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.43
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,29.75
BELL CANADA,Cable and Internet Fees,2020/06/10,115.00
Amazon,Toner,2020/06/12,21.99
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/06/15,27.51
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Zoom,Professional Communication Services,2020/06/17,20.00
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2020/06/19,80.43
West End Phoenix,Advertising,2020/06/19,300.00
BELL CANADA,Cable and Internet,2020/06/22,105.95
Blue Pencil,Shredding,2020/06/23,185.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,5.58
Mailchimp,Professional Communication Services,2020/06/25,70.06
4 OFFICE AUTOMATION LTD.,Photocopier Rental and Related Costs,2020/06/29,51.17
4 OFFICE AUTOMATION LTD.,Photocopier Rental and Related Costs,2020/06/29,329.23
Grand & Toy,Cleaning Products,2020/06/30,44.52
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,114.55
Grand & Toy,Bulk Paper Purchases,2020/06/30,40.23
Hi-Rise Newspaper,Advertising,2020/06/30,526.80
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,248.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,30.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,16.79
Snapd Bloor West,Advertising,2020/07/01,450.00
Dollarama,Cleaning Products,2020/07/15,105.99
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/07/15,27.03
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.27
BELL CANADA,Internet (COVID19),2020/07/22,105.95
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,11.00
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2020/07/23,142.59
Protection Plus,Protection and Alarm Monitoring (Member's Office Budget),2020/07/24,83.70
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,75.12
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,0.24
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,248.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,16.79
"STRODS, JOHN",Office Rental and Related Fees,2020/08/01,2300.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/08/13,1465.00
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/08/14,25.23
4 OFFICE AUTOMATION LTD.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/15,250.00
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2020/08/20,127.15
BELL CANADA,Internet (COVID19),2020/08/22,105.95
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,48.30
Grand & Toy,Cleaning Products,2020/08/31,87.91
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,159.79
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,248.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
"STRODS, JOHN",Office Rental and Related Fees,2020/09/01,2300.00
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/09/15,25.18
Canada Post – Postes Canada,Courier Services,2020/09/23,7.18
Canada Post – Postes Canada,Courier Services,2020/09/23,5.59
Canada Post – Postes Canada,Courier Services,2020/09/23,7.08
Canada Post – Postes Canada,Courier Services,2020/09/23,5.94
Canada Post – Postes Canada,Courier Services,2020/09/23,7.38
Canada Post – Postes Canada,Courier Services,2020/09/23,26.12
Canada Post – Postes Canada,Courier Services,2020/09/23,8.70
Canada Post – Postes Canada,Courier Services,2020/09/30,5.14
"STRODS, JOHN",Office Rental and Related Fees,2020/10/01,2300.00
