"Members – Detailed Contract Expenditures Report – Badawey, Vance – Q2 2021"
Supplier,Description,Date,Total
Port Colborne Community Ass.,Office Rental and Related Fees,2020/01/01,250.0000
Port Colborne Community Ass.,Office Rental and Related Fees,2020/02/01,250.0000
Star Metroland Media,Advertising,2020/02/16,450.0000
Star Metroland Media,Advertising,2020/03/01,424.0000
Star Metroland Media,Advertising,2020/04/01,349.0000
Star Metroland Media,Advertising,2020/04/01,299.0000
Super Service Rubber Stamp & Sign Ltd.,"Office Supplies, Stationery and Accessories",2020/04/01,10.0000
"Youmans, Doug",Subject Matter Expert,2020/05/01,1000.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.6200
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.3600
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,351.5400
"Youmans, Doug",Subject Matter Expert,2020/06/01,1000.0000
G. d'Angelo Printing Company Ltd.,Householders,2020/06/15,5285.1100
NGP VAN Inc.,License/Maintenance fees for Application Software and Application Development and Delivery Software,2020/06/16,85.3900
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/06/18,75.5400
Campaign Print,Promotional Items,2020/06/23,1040.0000
G. d'Angelo Printing Company Ltd.,Constituency Mail,2020/06/23,3865.1100
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,56.2200
Star Metroland Media,Advertising,2020/06/25,395.0000
"Bennett, Megan",Professional Communication Services,2020/06/30,200.0000
Zoom Video Communications Inc.,Licence Renewal,2020/06/30,20.0000
JDI Cleaning Systems,Janitorial Services and Maintenance,2020/07/01,195.0000
NGP VAN Inc.,License/Maintenance fees for Application Software and Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,331.5400
Rogers Wireless – Rogers sans-fil,Long Distance,2020/07/01,48.0000
"Youmans, Doug",Subject Matter Expert,2020/07/01,1000.0000
Star Metroland Media,Advertising,2020/07/05,375.0000
Cogeco Connexion inc.,Cable and Internet Fees,2020/07/08,106.9800
Prima Wrap,Promotional Items,2020/07/13,2116.2800
WELLAND HYDRO ELECTRIC SYSTEM CORP.,Public Utilities,2020/07/13,110.5800
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.5000
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/07/20,78.1800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,34.2200
Dollarama,"Office Supplies, Stationery and Accessories",2020/07/25,7.5000
Dollarama,"Office Supplies, Stationery and Accessories",2020/07/25,7.5500
Showcase - Seaway Mall,Consumable Items for Constituency Offices (COVID19),2020/07/25,75.9600
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,537.3100
Zoom Video Communications Inc.,Licence Renewal,2020/07/31,20.0000
2670950 Ontario Inc.,Office Rental and Related Fees,2020/08/01,2300.0000
JDI Cleaning Systems,Janitorial Services and Maintenance,2020/08/01,195.0000
Port Colborne Community Ass.,Office Rental and Related Fees,2020/08/01,250.0000
Rogers Wireless – Rogers sans-fil,Long Distance,2020/08/01,3.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,324.2900
Showcase - Seaway Mall,Consumable Items for Constituency Offices (COVID19),2020/08/01,50.3000
Steworks Carpentry Inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/03,2900.0000
Steworks Carpentry Inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/08/03,2875.0000
Cogeco Connexion inc.,Cable and Internet Fees,2020/08/07,114.9400
WELLAND HYDRO ELECTRIC SYSTEM CORP.,Public Utilities,2020/08/11,117.0000
NGP VAN Inc.,License/Maintenance fees for Application Software and Application Development and Delivery Software,2020/08/13,150.0400
Food Basics,Cleaning Products,2020/08/16,13.9900
Amazon.ca,"Office Supplies, Stationery and Accessories",2020/08/18,83.9300
ENBRIDGE GAS DISTRIBUTION INC.,Constit Office Lease Deposit,2020/08/19,73.5300
Canadian Tire,Cleaning Products,2020/08/21,59.9300
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,6.0600
Zoom Video Communications Inc.,Licence Renewal,2020/08/31,20.0000
2670950 Ontario Inc.,Office Rental and Related Fees,2020/09/01,2300.0000
Amazon.ca,"Office Supplies, Stationery and Accessories",2020/09/01,8.7400
JDI Cleaning Systems,Janitorial Services and Maintenance,2020/09/01,195.0000
NGP VAN Inc.,License/Maintenance fees for Application Software and Application Development and Delivery Software,2020/09/01,148.0600
Port Colborne Community Ass.,Office Rental and Related Fees,2020/09/01,250.0000
Cogeco Connexion inc.,Cable and Internet Fees,2020/09/08,114.9400
SHRED-IT INTERNATIONAL ULC.,Shredding,2020/09/09,345.7100
Steworks Carpentry Inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/11,1160.0000
WELLAND HYDRO ELECTRIC SYSTEM CORP.,Public Utilities,2020/09/15,133.5400
ENBRIDGE GAS DISTRIBUTION INC.,Public Utilities,2020/09/18,72.1200
Canada Post – Postes Canada,Courier Services,2020/09/23,24.7900
2670950 Ontario Inc.,Office Rental and Related Fees,2020/10/01,2300.0000
Port Colborne Community Ass.,Office Rental and Related Fees,2020/10/01,250.0000
