"Members – Detailed Contract Expenditures Report – Baldinelli, Tony – Q2 2021"
Supplier,Description,Date,Total
Ace Hardware,Office Decor,2020/04/09,23.9800
Sobeys,Consumable Items for Constituency Offices (COVID19),2020/05/06,8.9900
Fort Erie Observer,Advertising,2020/05/14,149.0000
BEATTIES,Office Furniture and Fixtures,2020/05/15,359.9900
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.6200
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.3600
Canadian Tire,"Office Supplies, Stationery and Accessories",2020/05/27,24.9900
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/05,44.9900
Artista Design and Print Inc,"Householders ",2020/06/08,3190.0000
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/08,52.4900
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/06/08,151.0500
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/10,44.9900
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/06/16,338.3000
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/06/18,-0.3000
"Niagara-on-the-Lake Local, The",Advertising,2020/06/18,65.0000
"Régional, le",Advertising,2020/06/18,540.0000
No Frills,Cleaning Products,2020/06/19,10.8800
Walmart,Consumable Items for Constituency Offices (COVID19),2020/06/23,4.4700
"Niagara-on-the-Lake Local, The",Advertising,2020/06/25,240.0000
Star Metroland Media,Advertising,2020/06/28,300.0000
Cogeco,Cable and Internet Fees,2020/06/29,404.8500
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,120.4200
Niagara Now Ltd.,Advertising,2020/06/30,150.0000
"Régional Hamilton-Niagara, Le",Advertising,2020/06/30,400.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,2.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,293.7400
Fort Erie Observer,Advertising,2020/07/01,169.0000
N.E.E.D. Central Cleaning Services,Janitorial Services and Maintenance,2020/07/01,180.0000
"Niagara-on-the-Lake Local, The",Advertising,2020/07/02,65.0000
Star Metroland Media,Advertising,2020/07/05,300.0000
"Niagara-on-the-Lake Local, The",Advertising,2020/07/09,65.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,180.8400
"Niagara-on-the-Lake Local, The",Advertising,2020/07/16,65.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,22.4100
"Accu-Lock and Security. ","Office Supplies, Stationery and Accessories",2020/07/22,60.0000
Models By Mann,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/23,320.0000
"Niagara-on-the-Lake Local, The",Advertising,2020/07/23,65.0000
N.E.E.D Central Cleaning Services,Janitorial Services and Maintenance,2020/07/25,180.0000
Cogeco,Cable and Internet Fees,2020/07/29,404.8500
Niagara Now Ltd. The Lake Report,Advertising,2020/07/30,200.0000
"Niagara-on-the-Lake Local, The",Advertising,2020/07/30,65.0000
Fort Erie Observer,Advertising,2020/07/31,138.0000
1736104 Ontario Inc.,Office Rental and Related Fees,2020/08/01,2920.5000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,158.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,2.0000
NM Brother's Corp.,Office Rental and Related Fees,2020/08/01,625.0000
NIAGARA ESCARPMENT VIEWS,Advertising,2020/08/03,249.0000
BEATTIES,"Office Supplies, Stationery and Accessories",2020/08/05,154.2400
"Niagara-on-the-Lake Local, The",Advertising,2020/08/06,65.0000
"Niagara-on-the-Lake Local, The",Advertising,2020/08/13,65.0000
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/08/13,1645.0000
BEATTIES,Office Equipment,2020/08/19,479.9900
Artista Design and Print Inc,Signage,2020/08/20,2202.0000
"Niagara-on-the-Lake Local, The",Advertising,2020/08/20,65.0000
Chabad of Niagara,Advertising,2020/08/21,100.0000
"Niagara-on-the-Lake Local, The",Advertising,2020/08/27,65.0000
Fort Erie Observer,Advertising,2020/08/28,138.0000
N.E.E.D Central Cleaning Services,Janitorial Services and Maintenance,2020/08/29,180.0000
Star Metroland Media,Advertising,2020/08/30,300.0000
1736104 Ontario Inc.,Office Rental and Related Fees,2020/09/01,2920.5000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,158.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,12.0000
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2020/09/01,25.0000
NM Brother's Corp.,Office Rental and Related Fees,2020/09/01,625.0000
"Niagara-on-the-Lake Local, The",Advertising,2020/09/03,65.0000
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/15,1465.0000
Niagara Now Ltd.,Advertising,2020/09/16,200.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,12.3700
Canada Post – Postes Canada,Courier Services,2020/09/23,19.5200
N.E.E.D Central Cleaning Services,Janitorial Services and Maintenance,2020/09/25,180.0000
Canada Post – Postes Canada,Courier Services,2020/09/30,9.5300
1736104 Ontario Inc.,Office Rental and Related Fees,2020/10/01,2920.5000
NM Brother's Corp.,Office Rental and Related Fees,2020/10/01,625.0000
