"Members – Detailed Travel Expenditures Report – Chagger, Bardish – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202847,2020/06/01,2020/06/30,,,,,,,0.0000,1500.0000,0.0000,0,0,0,1500.00
T0202847,2020/06/01,2020/06/30,"Chagger, Bardish",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0202627,2020/06/07,2020/06/11,,,,,,,721.2800,0.0000,211.0300,1.0000,0,0,932.31
T0202627,2020/06/07,2020/06/11,"Chagger, Bardish",Member,To travel to/from constituency and Ottawa,2020/06/07,Waterloo,Ottawa,,,,,,,
T0202627,2020/06/07,2020/06/11,"Chagger, Bardish",Member,To travel to/from constituency and Ottawa,2020/06/11,Ottawa,Waterloo,,,,,,,
T0202631,2020/06/15,2020/06/20,,,,,,,942.8200,0.0000,256.7900,1.0000,0,0,1199.61
T0202631,2020/06/15,2020/06/20,"Chagger, Bardish",Member,To travel to/from constituency and Ottawa,2020/06/15,Waterloo,Ottawa,,,,,,,
T0202631,2020/06/15,2020/06/20,"Chagger, Bardish",Member,To travel to/from constituency and Ottawa,2020/06/20,Ottawa,Waterloo,,,,,,,
T0203170,2020/06/22,2020/06/27,,,,,,,840.1500,0.0000,377.1900,1.0000,0,0,1217.34
T0203170,2020/06/22,2020/06/27,"Chagger, Bardish",Member,To travel to/from constituency and Ottawa,2020/06/22,Waterloo,Ottawa,,,,,,,
T0203170,2020/06/22,2020/06/27,"Chagger, Bardish",Member,To travel to/from constituency and Ottawa,2020/06/27,Ottawa,Waterloo,,,,,,,
T0203747,2020/07/01,2020/07/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0203747,2020/07/01,2020/07/31,"Chagger, Bardish",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0203369,2020/07/14,2020/07/17,,,,,,,938.3600,0.0000,165.7100,1.0000,0,0,1104.07
T0203369,2020/07/14,2020/07/17,"Chagger, Bardish",Member,To travel to/from constituency and Ottawa,2020/07/14,Waterloo,Ottawa,,,,,,,
T0203369,2020/07/14,2020/07/17,"Chagger, Bardish",Member,To travel to/from constituency and Ottawa,2020/07/17,Ottawa,Waterloo,,,,,,,
T0203919,2020/07/19,2020/07/24,,,,,,,349.2700,0.0000,275.4500,0.5000,0,0,624.72
T0203919,2020/07/19,2020/07/24,"Chagger, Bardish",Member,To travel to/from constituency and Ottawa,2020/07/19,Waterloo,Ottawa,,,,,,,
T0204637,2020/08/01,2020/08/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0204637,2020/08/01,2020/08/31,"Chagger, Bardish",Member,Secondary Residence,2020/08/01,Ottawa,Ottawa,,,,,,,
T0204365,2020/08/09,2020/08/15,,,,,,,835.6800,0.0000,395.6200,1.0000,0,0,1231.30
T0204365,2020/08/09,2020/08/15,"Chagger, Bardish",Member,To travel to/from constituency and Ottawa,2020/08/09,Waterloo,Ottawa,,,,,,,
T0204365,2020/08/09,2020/08/15,"Chagger, Bardish",Member,To travel to/from constituency and Ottawa,2020/08/15,Ottawa,Waterloo,,,,,,,
