"Members – Detailed Travel Expenditures Report – Barlow, John – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203523,2020/06/20,2020/08/19,,,,,,,0.0000,70.0000,0.0000,0,0,0,70.0000
T0203523,2020/06/20,2020/08/19,"Barlow, John",Member,Secondary Residence,2020/07/20,Ottawa,Ottawa,,,,,,,
T0203523,2020/06/20,2020/08/19,"Barlow, John",Member,Secondary Residence,2020/06/20,Ottawa,Ottawa,,,,,,,
200430669,2020/08/01,2020/08/31,,,,,,,0.0000,1820.0000,0.0000,0,0,0,1820.0000
200430669,2020/08/01,2020/08/31,"Barlow, John",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204189,2020/08/20,2020/08/24,,,,,,,2424.7900,0.0000,248.5700,1.0000,0,0,2673.3600
T0204189,2020/08/20,2020/08/24,"Barlow, John",Member,To travel to/from constituency and Ottawa,2020/08/20,Okotoks,Ottawa,,,,,,,
T0204189,2020/08/20,2020/08/24,"Barlow, John",Member,To travel to/from constituency and Ottawa,2020/08/24,Ottawa,Okotoks,,,,,,,
T0204218,2020/08/20,2020/09/19,,,,,,,0.0000,35.0000,0.0000,0,0,0,35.0000
T0204218,2020/08/20,2020/09/19,"Barlow, John",Member,Secondary Residence,2020/08/20,Ottawa,Ottawa,,,,,,,
T0204827,2020/08/30,2020/09/06,,,,,,,1515.7500,949.7200,826.8300,1.0000,0,0,3292.3000
T0204827,2020/08/30,2020/09/06,"Choi, Mark",Employee,To travel to/from constituency and Ottawa,2020/08/30,Ottawa,Okotoks,,,,,,,
T0204831,2020/08/30,2020/09/06,,,,,,,889.0800,566.8100,480.0500,1.0000,0,0,1935.9400
T0204831,2020/08/30,2020/09/06,"Williamson, Carley",Employee,To travel to/from constituency and Ottawa,2020/08/30,Ottawa,Okotoks,,,,,,,
T0204831,2020/08/30,2020/09/06,"Williamson, Carley",Employee,To travel to/from constituency and Ottawa,2020/09/06,Okotoks,Ottawa,,,,,,,
T0204827,2020/08/30,2020/09/06,"Choi, Mark",Employee,To travel to/from constituency and Ottawa,2020/09/06,Okotoks,Ottawa,,,,,,,
200437151,2020/09/01,2020/09/30,,,,,,,0.0000,1820.0000,0.0000,0,0,0,1820.0000
200437151,2020/09/01,2020/09/30,"Barlow, John",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442011,2020/10/01,2020/10/31,,,,,,,0.0000,1820.0000,0.0000,0,0,0,1820.0000
200442011,2020/10/01,2020/10/31,"Barlow, John",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
