"Members – Detailed Contract Expenditures Report – Barrett, Michael – Q2 2021"
Supplier,Description,Date,Total
SNAPD 1000 ISLANDS,Advertising,2020/04/01,240.0000
Wix.Com,Web Site Hosting/Domain Name,2020/04/20,20.4800
Wix.com,Web Site Hosting/Domain Name,2020/05/20,20.0400
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,632.4300
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,9.5400
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.7900
Ignite Printing,Consumable Items for Constituency Offices (COVID19),2020/06/08,125.0000
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/06/08,261.0000
"PORTAGE LA PRAIRIE MUTUAL INSURANCE COMPANY, THE",Constituency Office Insurance,2020/06/11,1288.0000
Wix.com,Web Site Hosting/Domain Name,2020/06/20,19.5500
Cogeco Connexion inc.,Cable and Internet Fees,2020/06/25,149.9500
Ignite Printing,Advertising,2020/06/26,21.0000
Secureway,Protection and Alarm Monitoring (Member's Office Budget),2020/06/28,28.3400
"Boswell, Lee",Office Assistant,2020/06/29,650.0000
Secureway,"Office Supplies, Stationery and Accessories",2020/06/29,17.9500
Evans Printing Ltd.,Advertising,2020/06/30,60.0000
Grand & Toy,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/06/30,10.5900
Grand & Toy,Bulk Paper Purchases,2020/06/30,54.2000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,164.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,119.6500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,46.7500
SNAPD 1000 ISLANDS,Advertising,2020/07/01,169.0000
Truespeed Internet,Cable and Internet Fees,2020/07/01,78.6700
"Jackson, Robert",Office Assistant,2020/07/02,379.0000
STERLING MARKING PRODUCTS INC,"Office Supplies, Stationery and Accessories",2020/07/03,15.1900
"Boswell, Lee",Office Assistant,2020/07/06,650.0000
GRENVILLE FISH & GAME CLUB,Advertising,2020/07/07,250.0000
Leeds Glass & Mirrors Inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/07,810.0000
Secureway,Protection and Alarm Monitoring (Member's Office Budget),2020/07/08,55.9900
Ignite Printing,Consumable Items for Constituency Offices (COVID19),2020/07/10,20.0000
NationBuilder,Professional Communication Services,2020/07/10,47.4800
Secureway,"Office Supplies, Stationery and Accessories",2020/07/10,17.9500
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,431.9000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,54.0400
Canadian Tire,Promotional Items,2020/07/14,188.4600
Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/14,27.9600
Evans Printing Ltd.,Advertising,2020/07/15,60.0000
"Lucky Strike Bait Works Limited ",Promotional Items,2020/07/15,737.5000
"Boswell, Lee",Office Assistant,2020/07/17,650.0000
"Jackson, Robert",Office Assistant,2020/07/17,379.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.2500
Wix.com,Web Site Hosting/Domain Name,2020/07/20,18.9900
Leeds Glass & Mirroirs Inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/24,1378.0000
Cogeco Connexion inc.,Cable and Internet Fees,2020/07/25,149.9500
Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/25,27.9600
"Boswell, Lee",Office Assistant,2020/07/27,650.0000
Secureway,Protection and Alarm Monitoring (Member's Office Budget),2020/07/28,28.3400
Secureway,"Office Supplies, Stationery and Accessories",2020/07/30,35.9000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,1150.2000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,920.1600
House of Commons – Chambre des communes,Language Training,2020/07/31,103.6500
House of Commons – Chambre des communes,Language Training,2020/07/31,69.1000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,164.0000
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,40.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,110.4200
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2020/08/01,50.0000
EyeTeeth Holdings Ltd.,Office Rental and Related Fees,2020/08/01,1100.0000
"Jackson, Robert",Office Assistant,2020/08/01,379.0000
"Lindsay, Keith",Office Rental and Related Fees,2020/08/01,1000.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,25.5000
Truespeed Internet,Cable and Internet Fees,2020/08/01,78.6700
"Boswell, Lee",Office Assistant,2020/08/10,1300.0000
NationBuilder,Professional Communication Services,2020/08/10,47.4800
"Boswell, Lee",Office Assistant,2020/08/14,520.0000
"Jackson, Robert",Office Assistant,2020/08/14,379.0000
Wix.com,Web Site Hosting/Domain Name,2020/08/20,18.7400
"Boswell, Lee","Temporary, Administrative Services",2020/08/21,130.0000
Evans Printing Ltd.,Advertising,2020/08/21,60.0000
Cogeco Connexion inc.,Cable and Internet Fees,2020/08/25,149.9500
Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/25,27.9600
Secureway,Protection and Alarm Monitoring (Member's Office Budget),2020/08/28,28.3400
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,116.5600
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,164.0000
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2020/09/01,25.0000
EyeTeeth Holdings Ltd.,Office Rental and Related Fees,2020/09/01,1100.0000
"Jackson, Robert",Office Assistant,2020/09/01,568.5000
"Lindsay, Keith",Office Rental and Related Fees,2020/09/01,1000.0000
Truespeed Internet,Cable and Internet Fees,2020/09/01,78.6700
Zoom Video Communications Inc.,Licence Renewal,2020/09/04,20.0000
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,445.0100
NationBuilder,Web Site Hosting/Domain Name,2020/09/10,46.8500
Jackson Robert,Office Assistant,2020/09/16,379.0000
OPTIMUM TALENT INC.,Other Training and Conferences,2020/09/18,2150.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,17.8000
Canada Post – Postes Canada,Courier Services,2020/09/23,15.9200
Canada Post – Postes Canada,Courier Services,2020/09/23,22.7200
Canada Post – Postes Canada,Courier Services,2020/09/30,80.0300
EyeTeeth Holdings Ltd.,Office Rental and Related Fees,2020/10/01,1100.0000
"Lindsay, Keith",Office Rental and Related Fees,2020/10/01,1000.0000
