"Members – Detailed Contract Expenditures Report – Jordan, Bernadette – Q2 2021"
Supplier,Description,Date,Total
QCCR,Advertising,2020/04/30,75.00
"Masthead News, The",Advertising,2020/05/13,190.70
Advocate media Inc.,Advertising,2020/05/31,70.00
Rogers,Internet (COVID19),2020/06/04,210.00
"Masthead News, The",Advertising,2020/06/08,269.10
REGION OF QUEENS MUNICIPALITY,Advertising,2020/06/15,360.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Eastlink,Cable and Internet,2020/06/17,110.42
Acadia Broadcasting,Advertising,2020/06/30,250.00
Advocate media Inc.,Advertising,2020/06/30,70.00
Advocate media Inc.,Advertising,2020/06/30,100.00
Christmas Tree Council of Nova Scotia,Advertising,2020/06/30,65.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,24.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,166.86
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Whynacht Security Solutions,Protection and Alarm Monitoring (Member's Office Budget),2020/07/01,280.00
Eastlink,Cable and Internet Fees,2020/07/03,406.79
Rogers,Internet (COVID19),2020/07/04,170.00
Golf 4 Charity,Advertising,2020/07/07,100.00
Staples Canada,Toner,2020/07/09,127.98
Staples Canada,Toner,2020/07/13,89.99
Staples Canada,"Office Supplies, Stationery and Accessories",2020/07/13,21.98
Eastlink,Internet (COVID19),2020/07/17,75.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,2.72
Gows Home Hardware,"Office Supplies, Stationery and Accessories",2020/07/19,42.99
INSIDE-OUT CLEANING SERVICES,Janitorial Services and Maintenance,2020/07/20,122.50
Costco Wholesale,Consumable Items for Constituency Offices (COVID19),2020/07/27,26.99
Acadia Broadcasting,Advertising,2020/07/31,164.34
Acadia Broadcasting,Advertising,2020/07/31,164.34
Advocate media Inc.,Advertising,2020/07/31,105.00
Advocate media Inc.,Advertising,2020/07/31,100.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,34.40
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,166.86
HARPRO LIMITED,Office Rental and Related Fees,2020/08/01,1700.00
INSIDE-OUT CLEANING SERVICES,Janitorial Services and Maintenance,2020/08/01,245.00
Eastlink,Cable and Internet Fees,2020/08/03,199.95
Rogers,Internet (COVID19),2020/08/04,165.00
Culligan Water Store,Spring Water,2020/08/10,9.00
STERLING MARKING PRODUCTS INC,"Office Supplies, Stationery and Accessories",2020/08/12,36.46
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Eastlink,Internet (COVID19),2020/08/17,120.57
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,28.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,166.86
BRIDGEWATER CURLING CLUB,Advertising,2020/09/01,125.00
HARPRO LIMITED,Office Rental and Related Fees,2020/09/01,1700.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
"Royal Canadian Legion, Branch 24, Poppy Account",Advertising,2020/09/01,250.00
eastlink,Cable and Internet Fees,2020/09/03,199.95
Staples Canada,"Office Supplies, Stationery and Accessories",2020/09/11,45.22
Canada Post – Postes Canada,Courier Services,2020/09/23,19.83
Canada Post – Postes Canada,Courier Services,2020/09/23,21.60
Canada Post – Postes Canada,Courier Services,2020/09/23,17.97
HARPRO LIMITED,Office Rental and Related Fees,2020/10/01,1700.00
