"Members – Detailed Travel Expenditures Report – Jordan, Bernadette – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202608,2020/04/01,2020/06/30,,,,,,,0.0000,130.7600,0.0000,0,0,0,130.76
T0202608,2020/04/01,2020/06/30,"Jordan, Bernadette",Member,Secondary Residence,2020/04/01,Ottawa,Ottawa,,,,,,,
T0202608,2020/04/01,2020/06/30,"Jordan, Bernadette",Member,Secondary Residence,2020/05/01,Ottawa,Ottawa,,,,,,,
T0202608,2020/04/01,2020/06/30,"Jordan, Bernadette",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0204209,2020/06/01,2020/08/31,,,,,,,0.0000,111.1600,0.0000,0,0,0,111.16
T0204209,2020/06/01,2020/08/31,"Jordan, Bernadette",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0204209,2020/06/01,2020/08/31,"Jordan, Bernadette",Member,Secondary Residence,2020/08/01,Ottawa,Ottawa,,,,,,,
T0204209,2020/06/01,2020/08/31,"Jordan, Bernadette",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0203129,2020/07/02,2020/07/10,,,,,,,85.5000,0.0000,18.3300,0.0000,0,0,103.83
T0203129,2020/07/02,2020/07/10,"Jordan, Bernadette",Member,To attend a constituency or community event,2020/07/02,West Dublin,Mahone Bay,,,,,,,
T0203129,2020/07/02,2020/07/10,"Jordan, Bernadette",Member,To attend a constituency or community event,2020/07/02,Mahone Bay,West Dublin,,,,,,,
T0203129,2020/07/02,2020/07/10,"Jordan, Bernadette",Member,To attend a constituency or community event,2020/07/10,West Dublin,White Point (Queens),,,,,,,
T0203129,2020/07/02,2020/07/10,"Jordan, Bernadette",Member,To attend a constituency or community event,2020/07/10,White Point (Queens),West Dublin,,,,,,,
T0203786,2020/07/24,2020/07/25,,,,,,,192.6000,0.0000,18.3300,0,0,0,210.93
T0203786,2020/07/24,2020/07/25,"Jordan, Bernadette",Member,To attend meetings about constituency issues,2020/07/24,West Dublin,Chester,,,,,,,
T0203786,2020/07/24,2020/07/25,"Jordan, Bernadette",Member,To attend meetings about constituency issues,2020/07/24,Chester,West Dublin,,,,,,,
T0203786,2020/07/24,2020/07/25,"Jordan, Bernadette",Member,To attend a regional or provincial caucus meeting,2020/07/25,West Dublin,Dartmouth,,,,,,,
T0203786,2020/07/24,2020/07/25,"Jordan, Bernadette",Member,To attend a regional or provincial caucus meeting,2020/07/25,Dartmouth,West Dublin,,,,,,,
200430732,2020/08/01,2020/08/31,,,,,,,0.0000,1935.0000,0.0000,0,0,0,1935.00
200430732,2020/08/01,2020/08/31,"Jordan, Bernadette",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
200437215,2020/09/01,2020/09/30,,,,,,,0.0000,1935.0000,0.0000,0,0,0,1935.00
200437215,2020/09/01,2020/09/30,"Jordan, Bernadette",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442076,2020/10/01,2020/10/31,,,,,,,0.0000,1935.0000,0.0000,0,0,0,1935.00
200442076,2020/10/01,2020/10/31,"Jordan, Bernadette",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
