"Members – Detailed Contract Expenditures Report – Bibeau, Marie-Claude – Q2 2021"
Supplier,Description,Date,Total
COMMUNICATIONS JN-PIERRE PATRY,Advertising,2020/02/03,445.0000
Bell Média Inc.,Advertising,2020/04/26,800.0000
Bell Média Inc.,Advertising,2020/04/26,204.5000
Les Immeubles DNR sep,Public Utilities,2020/05/01,125.0000
WALMART,Consumable Items for Constituency Offices (COVID19),2020/05/15,69.3600
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.3600
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.6200
CAISSE DESJARDINS,Banking Fees and Cheque Orders,2020/05/28,66.6900
Excel Entretien Ménager,Janitorial Services and Maintenance,2020/06/01,299.2200
JOURNAL DE RUE DE L'ESTRIE,Advertising,2020/06/01,150.0000
Les Immeubles DNR sep,Public Utilities,2020/06/01,125.0000
Maat Audio Group,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/03,689.3000
MOULIN DES CÈDRES,Advertising,2020/06/05,200.0000
MARCHÉ DE LA PETITE ÉCOLE,Advertising,2020/06/11,250.0000
"Sherbrooke Record, The",Advertising,2020/06/12,357.8000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
ÉCOLOBOUTIQUE,Consumable Items for Constituency Offices (COVID19),2020/06/17,24.5700
Softchoice,Licencing/Maintenance for Client Software Related to Distributed Computing Environment (DCE),2020/06/17,3.3500
Softchoice,Client Software Related to Distributed Computing Environment (DCE),2020/06/17,66.9600
EMPREINTE BLEUE,Advertising,2020/06/19,250.0000
POSTES CANADA,Courier Services,2020/06/19,23.8200
Journal régional le haut-Saint-françois,Advertising,2020/06/23,354.0000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,23.4000
RADIO COOPÉRATIVE DE COATICOOK,Advertising,2020/06/25,225.0000
RADIO COOPÉRATIVE DE COATICOOK,Advertising,2020/06/25,250.0000
RADIO COOPÉRATIVE DE COATICOOK,Professional Communication Services,2020/06/25,25.0000
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/06/26,169.0000
COSTCO,"Office Supplies, Stationery and Accessories",2020/06/26,99.9900
GROUPE CAPITALES MEDIAS,Advertising,2020/06/27,395.6700
Excel Entretien Ménager,Cleaning Products,2020/06/29,47.7000
IMACOM Communications,External Printing Costs,2020/06/29,119.0000
Blanchard Litho,Constituency Mail,2020/06/30,4185.0000
Grand & Toy,Cleaning Products,2020/06/30,6.6600
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,26.4300
