"Members – Detailed Travel Expenditures Report – Blaikie, Daniel – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202609,2020/03/19,2020/04/18,,,,,,,0.0000,136.6100,0.0000,0,0,0,136.6100
T0202609,2020/03/19,2020/04/18,"Blaikie, Daniel",Member,Secondary Residence,2020/03/19,Ottawa,Ottawa,,,,,,,
T0202611,2020/04/19,2020/05/18,,,,,,,0.0000,157.9800,0.0000,0,0,0,157.9800
T0202611,2020/04/19,2020/05/18,"Blaikie, Daniel",Member,Secondary Residence,2020/04/19,Ottawa,Ottawa,,,,,,,
200430675,2020/08/01,2020/08/31,,,,,,,0.0000,2064.0000,0.0000,0,0,0,2064.0000
200430675,2020/08/01,2020/08/31,"Blaikie, Daniel",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
200437157,2020/09/01,2020/09/30,,,,,,,0.0000,2064.0000,0.0000,0,0,0,2064.0000
200437157,2020/09/01,2020/09/30,"Blaikie, Daniel",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442017,2020/10/01,2020/10/31,,,,,,,0.0000,2064.0000,0.0000,0,0,0,2064.0000
200442017,2020/10/01,2020/10/31,"Blaikie, Daniel",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
