"Members – Detailed Contract Expenditures Report – Block, Kelly – Q2 2021"
Supplier,Description,Date,Total
Josh Boyes,Internet (COVID19),2020/04/05,73.9500
Josh Boyes,Internet (COVID19),2020/05/05,124.2200
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,12.7200
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,843.2500
Martensville Messenger,Advertising,2020/05/27,140.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,16.7900
INDEPENDENT PRINTERS LTD.,Advertising,2020/06/04,40.3200
Josh Boyes,Internet (COVID19),2020/06/05,99.9500
RM REVIEW,Advertising,2020/06/10,60.0000
RM REVIEW,Advertising,2020/06/10,25.0000
INDEPENDENT PRINTERS LTD.,Advertising,2020/06/11,40.3200
WDPLASTICS,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/15,106.0000
PROFESSIONAL COMPUTER SERVICES,Repair of Computer Equipment and Peripherals,2020/06/16,207.3400
SASKTEL,Cable and Internet Fees,2020/06/16,114.9500
SASKTEL,Cable and Internet Fees,2020/06/16,104.9500
SASKTEL,Cable and Internet Fees,2020/06/16,104.9500
SASKTEL,Cable and Internet,2020/06/16,79.3500
Humboldt Journal,Advertising,2020/06/17,85.0000
INDEPENDENT PRINTERS LTD.,Advertising,2020/06/18,40.3200
INDEPENDENT PRINTERS LTD.,Advertising,2020/06/18,25.0000
PROFESSIONAL COMPUTER SERVICES,Repair of Computer Equipment and Peripherals,2020/06/22,121.9000
ROSETOWN PUBLISHING CO. LTD.,Advertising,2020/06/22,35.0000
Blacklock's Reporter,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/23,314.0000
Humboldt Journal,Advertising,2020/06/24,85.0000
Martensville Messenger,Advertising,2020/06/24,70.0000
INDEPENDENT PRINTERS LTD.,Advertising,2020/06/25,25.0000
INDEPENDENT PRINTERS LTD.,Advertising,2020/06/25,40.3200
ROSETOWN PUBLISHING CO. LTD.,Advertising,2020/06/29,229.0000
TOWN OF BRUNO,Advertising,2020/06/29,10.0000
Golden West Broadcasting Ltd.,Advertising,2020/06/30,210.0000
Golden West Broadcasting Ltd.,Advertising,2020/06/30,122.5000
Golden West Broadcasting Ltd.,Advertising,2020/06/30,210.0000
Golden West Broadcasting Ltd.,Advertising,2020/06/30,122.5000
Humboldt Journal,Advertising,2020/06/30,85.0000
Humboldt Journal,Advertising,2020/06/30,230.0000
JENSON PUBLISHING,Advertising,2020/06/30,108.0000
SCOTIABANK,Banking Fees and Cheque Orders,2020/06/30,21.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,130.9200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,18.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,16.7900
INDEPENDENT PRINTERS LTD.,Advertising,2020/07/02,40.3200
"NOR-TEC LINEN SERVICES ",Janitorial Services and Maintenance,2020/07/02,21.0800
"WAKAW RECORDER, THE",Advertising,2020/07/07,840.0000
INDEPENDENT PRINTERS LTD.,Advertising,2020/07/08,40.3200
RM REVIEW,Advertising,2020/07/12,20.0000
RM REVIEW,Advertising,2020/07/12,120.0000
Humboldt Journal,Advertising,2020/07/15,170.0000
INDEPENDENT PRINTERS LTD.,Advertising,2020/07/16,40.3200
SASKTEL,Cable and Internet Fees,2020/07/16,114.9500
SASKTEL,Cable and Internet Fees,2020/07/16,114.9500
SASKTEL,Cable and Internet Fees,2020/07/16,79.3500
SASKTEL,Cable and Internet Fees,2020/07/16,114.9500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,4.6600
Mainstreet Computer Solutions,Toner,2020/07/21,137.6400
COOP,Spring Water,2020/07/22,21.9600
Humboldt Journal,Advertising,2020/07/22,85.0000
INDEPENDENT PRINTERS LTD.,Advertising,2020/07/23,40.3200
Martensville Messenger,Advertising,2020/07/24,140.0000
Saskatoon Media Group,Advertising,2020/07/26,599.0000
Saskatoon Media Group,Advertising,2020/07/26,599.0000
TOWN OF BRUNO,Advertising,2020/07/28,10.0000
BED BATH BEYOND,"Office Supplies, Stationery and Accessories",2020/07/29,15.8800
Humboldt Journal,Advertising,2020/07/29,85.0000
Martensville Messenger,Advertising,2020/07/29,140.0000
INDEPENDENT PRINTERS LTD.,Advertising,2020/07/30,40.3200
NOR-TEC LINEN SERVICES,Janitorial Services and Maintenance,2020/07/30,21.0800
Real Canadian Superstore,"Office Supplies, Stationery and Accessories",2020/07/30,11.6400
Golden West Broadcasting Ltd.,Advertising,2020/07/31,52.5000
Golden West Broadcasting Ltd.,Advertising,2020/07/31,105.0000
Golden West Broadcasting Ltd.,Advertising,2020/07/31,105.0000
Golden West Broadcasting Ltd.,Advertising,2020/07/31,52.5000
Grand & Toy,Bulk Paper Purchases,2020/07/31,114.9000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,11.4200
Grand & Toy,"Freight, Express and Cartage",2020/07/31,28.0900
JENSON PUBLISHING,Advertising,2020/07/31,108.0000
SCOTIABANK,Banking Fees and Cheque Orders,2020/07/31,21.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,39.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,132.0600
Coleen Bowman CPA Prof. Corp. LTD,Office Rental and Related Fees,2020/08/01,350.0000
FDG Developments Inc,Office Rental and Related Fees,2020/08/01,3653.5300
Gibbins Holdings Inc.,Office Rental and Related Fees,2020/08/01,530.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,16.7900
Humboldt Journal,Advertising,2020/08/04,85.0000
CANADIAN TIRE,"Office Supplies, Stationery and Accessories",2020/08/05,16.9500
Martensville Messenger,Advertising,2020/08/06,164.0000
Biggar Recreation Valley Inc.,Advertising,2020/08/09,300.0000
INDEPENDENT PRINTERS LTD.,Advertising,2020/08/13,40.3200
RM REVIEW,Advertising,2020/08/15,20.0000
RM REVIEW,Advertising,2020/08/15,60.0000
Chalmers Contracting,Office Renovations,2020/08/17,852.9900
INDEPENDENT PRINTERS LTD.,Advertising,2020/08/20,40.3200
Humboldt Journal,Advertising,2020/08/26,85.0000
INDEPENDENT PRINTERS LTD.,Advertising,2020/08/27,40.3200
NOR-TEC LINEN SERVICES,Janitorial Services and Maintenance,2020/08/27,21.0800
Humboldt Journal,Advertising,2020/08/31,85.0000
Humboldt Journal,Advertising,2020/08/31,102.0000
Martensville Messenger,Advertising,2020/08/31,105.0000
ROSETOWN PUBLISHING CO. LTD.,Advertising,2020/08/31,229.0000
TOWN OF BRUNO,Advertising,2020/08/31,10.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,35.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,131.6400
Bell Mobility – Bell Mobilité,Long Distance,2020/09/01,0.0800
Coleen Bowman CPA Prof. Corp. LTD,Office Rental and Related Fees,2020/09/01,350.0000
FDG Developments Inc,Office Rental and Related Fees,2020/09/01,3653.5300
Gibbins Holdings Inc.,Office Rental and Related Fees,2020/09/01,530.0000
Delisle & District Recreation Association,Advertising,2020/09/03,119.0500
PROFESSIONAL COMPUTER SERVICES,Toner,2020/09/03,1546.8600
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,186.9900
Canada Post – Postes Canada,Courier Services,2020/09/30,669.5600
Coleen Bowman CPA Prof. Corp. LTD,Office Rental and Related Fees,2020/10/01,350.0000
FDG Developments Inc,Office Rental and Related Fees,2020/10/01,3653.5300
Gibbins Holdings Inc.,Office Rental and Related Fees,2020/10/01,530.0000
