"Members – Detailed Contract Expenditures Report – Benzen, Bob – Q2 2021"
Supplier,Description,Date,Total
Bow Valley College,Other Training and Conferences,2020/05/01,1140.00
Shaw Direct,Cable and Internet Fees,2020/06/02,204.21
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/06/04,114.24
CO-OP,Consumable Items for Constituency Offices (COVID19),2020/06/04,95.43
XEROX CANADA LTD,Photocopier Rental and Related Costs,2020/06/23,215.93
Grand & Toy,Cleaning Products,2020/06/30,4.46
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,144.05
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,88.88
Shaw Direct,Cable and Internet Fees,2020/07/02,204.29
Costco,Spring Water,2020/07/16,18.28
Fleurish Flower Shop,Gifts given as a matter of protocol,2020/07/30,90.00
The Hill Times Publishing,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/30,99.00
Grand & Toy,Bulk Paper Purchases,2020/07/31,54.20
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,124.75
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,88.88
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,66.32
Indigo Park Canada Inc.,Office Rental and Related Fees,2020/08/01,440.00
LCPF Realty Inc. and Southland Park Inc.,Office Rental and Related Fees,2020/08/01,5577.76
Shaw Direct,Cable and Internet Fees,2020/08/02,208.57
Irwin Law,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/13,67.95
Fleurish Flower Shop,Gifts given as a matter of protocol,2020/08/28,122.50
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,88.88
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,27.00
Indigo Park Canada Inc.,Office Rental and Related Fees,2020/09/01,440.00
LCPF Realty Inc. and Southland Park Inc.,Office Rental and Related Fees,2020/09/01,5577.76
Shaw Direct,Cable and Internet Fees,2020/09/02,200.01
Canada Post – Postes Canada,Courier Services,2020/09/23,14.77
Canada Post – Postes Canada,Courier Services,2020/09/23,14.77
Canada Post – Postes Canada,Courier Services,2020/09/23,10.18
Canada Post – Postes Canada,Courier Services,2020/09/23,108.56
Canada Post – Postes Canada,Courier Services,2020/09/23,16.51
Canada Post – Postes Canada,Courier Services,2020/09/23,12.22
Indigo Park Canada Inc.,Office Rental and Related Fees,2020/10/01,440.00
LCPF Realty Inc. and Southland Park Inc.,Office Rental and Related Fees,2020/10/01,5577.76
