"Members – Detailed Contract Expenditures Report – Saroya, Bob – Q2 2021"
Supplier,Description,Date,Total
MADD Canada,Advertising,2019/11/04,279.00
York Regional Police Association,Advertising,2020/01/31,325.00
Grammarly,Computer Software,2020/02/21,167.49
Bell,Cable and Internet Fees,2020/04/13,76.00
MailChimp,Professional Communication Services,2020/04/18,211.99
Bell,Cable and Internet Fees,2020/05/13,76.00
MailChimp,Professional Communication Services,2020/05/18,211.98
SNAPD MARKHAM,Advertising,2020/05/25,170.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,149.29
CAMPAIGN LIFE COALITION,Advertising,2020/06/06,280.00
Papersavers,Shredding,2020/06/08,55.00
SOL PORTUGUES PUBLISHING INC.,Advertising,2020/06/12,303.15
Bell,Cable and Internet Fees,2020/06/13,76.00
MailChimp,Professional Communication Services,2020/06/18,204.13
TORONTOHYE,Advertising,2020/06/18,450.00
Reproart Imaging,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/22,1890.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,152.54
Dollarama,"Office Supplies, Stationery and Accessories",2020/07/04,14.00
Shoppers Drug Mart,Consumable Items for Constituency Offices (COVID19),2020/07/04,30.00
Papersavers,Shredding,2020/07/06,55.00
Reproart Imaging,"Householders ",2020/07/07,4680.00
Bell,Cable and Internet Fees,2020/07/13,76.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/13,530.23
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,9.07
MailChimp,Professional Communication Services,2020/07/18,217.75
TORONTOHYE,Advertising,2020/07/18,450.00
SNAPD MARKHAM,Advertising,2020/07/22,295.00
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2020/07/24,500.00
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/07/25,56.24
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/07/27,169.00
Staples,"Framing, Outside Supplier",2020/07/28,51.96
8300 WOODBINE CENTRE,Office Rental and Related Fees,2020/08/01,3030.75
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,194.29
Papersavers,Shredding,2020/08/10,55.00
Bell,Cable and Internet Fees,2020/08/13,76.00
MailChimp,Professional Communication Services,2020/08/18,212.67
TORONTOHYE,"Advertising ",2020/08/20,450.00
TORONTOHYE,"Advertising ",2020/08/20,450.00
Reproart Imaging,Signage,2020/08/24,700.00
8300 WOODBINE CENTRE,Office Rental and Related Fees,2020/09/01,3030.75
"KOREA TIMES DAILY, THE",Advertising,2020/09/01,100.00
Papersavers,Shredding,2020/09/08,55.00
Island Ink Jet Markham,Toner,2020/09/16,39.99
MailChimp,Professional Communication Services,2020/09/18,212.27
8300 WOODBINE CENTRE,Office Rental and Related Fees,2020/10/01,3030.75
