"Members – Detailed Contract Expenditures Report – Vis, Brad – Q2 2021"
Supplier,Description,Date,Total
Canada Post,Courier Services,2020/05/21,22.30
Zoom Video Communications Inc.,Licence Renewal,2020/05/26,20.00
PATRIKA MEDIA LTD.,Advertising,2020/05/30,1000.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,306.04
"Black Bond Books Ltd. ","Printed Matter, Books, Newspapers and Subscriptions",2020/06/06,55.90
Fraser Valley Repro Ltd.,External Printing Costs,2020/06/08,11.59
London Drugs,Consumable Items for Constituency Offices (COVID19),2020/06/08,15.69
London Drugs,Cleaning Products,2020/06/08,10.46
London Drugs,Consumable Items for Constituency Offices (COVID19),2020/06/08,15.69
Dollarama,"Office Supplies, Stationery and Accessories",2020/06/16,2.41
Nutek Sign,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/18,406.60
Sooters Photography,"Framing, Outside Supplier",2020/06/19,13.98
Reyfort Publishing,Advertising,2020/06/20,29.42
Best Buy,Photographic Equipment,2020/06/22,106.99
Best Buy Marketplace,Video Communication and Broadcasting Equipment,2020/06/22,956.57
Best Buy Marketplace,Photographic Equipment,2020/06/22,47.13
Clearbrook Golden Age Society,"Framing, Outside Supplier",2020/06/22,25.00
Sue's Copy Place,External Printing Costs,2020/06/23,28.89
"Fraser Valley Repro Ltd. ",Signage,2020/06/24,42.86
Staples Canada,"Office Supplies, Stationery and Accessories",2020/06/25,294.95
Engravex,"Framing, Outside Supplier",2020/06/26,20.28
PATRIKA MEDIA LTD.,Advertising,2020/06/26,350.00
Best Buy,"Office Supplies, Stationery and Accessories",2020/06/30,90.93
Black Press Group Ltd.,Advertising,2020/06/30,1364.12
Botanie Valley Productions Inc,Writer,2020/06/30,1450.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,307.54
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/07/02,40.27
Canadian Tire,"Safety Supplies (fire extinguishers, first aid kits)",2020/07/07,85.59
Michaels,"Framing, Outside Supplier",2020/07/07,55.30
COLUMBIA SECURITY SYSTEMS & SURVEILLANCE INC.,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/07/09,322.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,50.57
London Drugs,Consumable Items for Constituency Offices (COVID19),2020/07/14,67.08
"Above the Rest Cleaning Services Ltd. ",Janitorial Services and Maintenance,2020/07/15,60.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,31.69
Staples Canada,"Office Supplies, Stationery and Accessories",2020/07/21,128.37
Sue's Copy Place,External Printing Costs,2020/07/21,555.86
London Drugs,Consumable Items for Constituency Offices (COVID19),2020/07/25,166.12
London Drugs,Photographic Equipment,2020/07/26,74.89
Above the Rest Cleaning Services,Janitorial Services and Maintenance,2020/07/29,50.00
Sue's Copy Place,External Printing Costs,2020/07/30,28.90
Black Press Group Ltd.,Advertising,2020/07/31,252.75
Botanie Valley Productions Inc,Writer,2020/07/31,825.00
Friesen Ventures Ltd,Office Rental and Related Fees,2020/08/01,2760.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,321.30
ADT Security Services Canada Inc. – Services de sécurité ADT Canada Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/08/02,40.27
London Drugs,Consumable Items for Constituency Offices (COVID19),2020/08/04,614.81
Staples Canada,"Office Supplies, Stationery and Accessories",2020/08/06,161.43
Urdu Journal,Advertising,2020/08/06,63.38
Village of Lytton,Public Meeting Room Rentals,2020/08/10,50.00
BC Hydro,Public Utilities,2020/08/11,112.54
Above the Rest Cleaning Services Ltd.,Janitorial Services and Maintenance,2020/08/12,50.00
Kirby Insurance Agencies Ltd.,Constituency Office Insurance,2020/08/13,659.00
Browns Social House,Public Meeting Room Rentals,2020/08/18,41.75
Fraser Valley Reprographics,External Printing Costs,2020/08/21,19.31
London Drugs,External Printing Costs,2020/08/21,10.89
Shoppers Drug Mart,Courier Services,2020/08/21,11.69
Above the Rest Cleaning Services,Janitorial Services and Maintenance,2020/08/26,50.00
The Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/26,8.36
Shoppers Drug Mart,Courier Services,2020/08/27,15.40
Staples,Office Furniture and Fixtures,2020/08/27,641.99
