"Members – Detailed Travel Expenditures Report – Vis, Brad – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203333,2020/05/29,2020/06/28,,,,,,,0.0000,26.1900,0.0000,0,0,0,26.19
T0203333,2020/05/29,2020/06/28,"Vis, Brad",Member,Secondary Residence,2020/05/29,Ottawa,Ottawa,,,,,,,
T0202253,2020/06/01,2020/06/03,,,,,,,226.7900,0.0000,105.8700,0.5000,0,0,332.66
T0202253,2020/06/01,2020/06/03,"Vis, Brad",Member,To attend meetings about constituency issues,2020/06/01,Mission,Cache Creek,,,,,,,
T0202356,2020/06/01,2020/06/30,,,,,,,0.0000,24.9500,0.0000,0,0,0,24.95
T0202356,2020/06/01,2020/06/30,"Vis, Brad",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0202772,2020/06/15,2020/06/23,,,,,,,4269.5800,0.0000,482.2800,2.0000,0,0,4751.86
T0202772,2020/06/15,2020/06/23,"Vis, Brad",Member,To travel to/from constituency and Ottawa,2020/06/15,Mission,Ottawa,,,,,,,
T0202772,2020/06/15,2020/06/23,,Designated Traveller,To unite the family with the Member,2020/06/15,Mission,Ottawa,,,,,,,
T0202772,2020/06/15,2020/06/23,,Dependant,To unite the family with the Member,2020/06/15,Mission,Ottawa,,,,,,,
T0202772,2020/06/15,2020/06/23,"Vis, Brad",Member,To travel to/from constituency and Ottawa,2020/06/23,Ottawa,Mission,,,,,,,
T0202772,2020/06/15,2020/06/23,,Designated Traveller,To unite the family with the Member,2020/06/23,Ottawa,Mission,,,,,,,
T0202772,2020/06/15,2020/06/23,,Dependant,To unite the family with the Member,2020/06/23,Ottawa,Mission,,,,,,,
T0202773,2020/06/23,2020/06/25,,,,,,,276.9100,0.0000,39.7100,0.0000,0,0,316.62
T0202773,2020/06/23,2020/06/25,"Rachel, Alison",Employee,To attend meetings about constituency issues,2020/06/24,Mission,Cache Creek,,,,,,,
T0202868,2020/06/25,2020/06/25,,,,,,,57.4000,0.0000,0.0000,0,0,0,57.40
T0202868,2020/06/25,2020/06/25,"Vis, Brad",Member,To attend meetings about constituency issues,2020/06/25,Mission,Chilliwack,,,,,,,
T0202868,2020/06/25,2020/06/25,"Vis, Brad",Member,To attend meetings about constituency issues,2020/06/25,Chilliwack,Mission,,,,,,,
T0203920,2020/06/28,2020/07/29,,,,,,,0.0000,27.7200,0.0000,0,0,0,27.72
T0203920,2020/06/28,2020/07/29,"Vis, Brad",Member,Secondary Residence,2020/06/28,Ottawa,Ottawa,,,,,,,
T0204946,2020/06/29,2020/06/29,,,,,,,369.5400,0.0000,0.0000,0.5000,0,0,369.54
T0204946,2020/06/29,2020/06/29,"Kesteven, Blair",Employee,To travel to/from constituency and Ottawa,2020/06/29,Ottawa,Mission,,,,,,,
T0202862,2020/07/01,2020/07/31,,,,,,,0.0000,1999.0000,0.0000,0,0,0,1999.00
T0202862,2020/07/01,2020/07/31,"Vis, Brad",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0203221,2020/07/07,2020/07/09,,,,,,,478.9800,100.9600,317.6000,0.5000,0,0,897.54
T0203221,2020/07/07,2020/07/09,"Kesteven, Blair",Employee,To attend meetings about constituency issues,2020/07/07,Mission,Gold Bridge,,,,,,,
T0203328,2020/07/07,2020/07/09,,,,,,,0.0000,0.0000,122.5000,0.0000,0,0,122.50
