"Members – Detailed Contract Expenditures Report – Brassard, John – Q2 2021"
Supplier,Description,Date,Total
Walmart,Consumable Items for Constituency Offices (COVID19),2020/04/06,2.9600
Meridian,Banking Fees and Cheque Orders,2020/04/30,5.0000
Zehrs,Spring Water,2020/04/30,14.9700
Star Metroland Media,Advertising,2020/05/17,299.0000
Network Solutions,Web Site Hosting/Domain Name,2020/05/19,6.1800
Meridian,Banking Fees and Cheque Orders,2020/05/31,5.0000
SNAPD BARRIE,Advertising,2020/06/01,319.0000
Network Solutions,Web Site Hosting/Domain Name,2020/06/02,13.5100
"Less Annoying Software, LLC",Computer Software,2020/06/03,81.1200
2025105 Ontario Inc. o/a Water Depot,Spring Water,2020/06/04,7.4900
"Canadian Tire ",Consumable Items for Constituency Offices (COVID19),2020/06/04,31.9800
Rogers,Cable and Internet Fees,2020/06/06,99.9800
Rona H & G,Consumable Items for Constituency Offices (COVID19),2020/06/07,2.2200
"MacLennan, Robin",Subject Matter Expert,2020/06/08,3480.0000
Zoom,Licence Renewal,2020/06/11,20.0000
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/06/15,95.9400
Cyncor,Consumable Items for Constituency Offices (COVID19),2020/06/15,322.3300
NOFRILLS,Consumable Items for Constituency Offices (COVID19),2020/06/15,5.0000
Best Buy,"Office Supplies, Stationery and Accessories",2020/06/16,9.9900
Network Solutions,Web Site Hosting/Domain Name,2020/06/16,5.9500
Alcona Home Hardware,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/19,7.5800
Responsive Mailing Inc.,"Householders ",2020/06/19,6606.0000
SNAPD BARRIE,Advertising,2020/06/19,319.0000
SNAPD BARRIE,Advertising,2020/06/19,319.0000
Walmart,Consumable Items for Constituency Offices (COVID19),2020/06/21,11.9400
BEST BUY,"Office Supplies, Stationery and Accessories",2020/06/22,9.9900
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,35.4200
Acrylic Custom Design,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/26,180.0000
"MacLennan, Robin",Subject Matter Expert,2020/06/26,2525.0000
Rona H & G,Consumable Items for Constituency Offices (COVID19),2020/06/26,4.9500
Village Media Inc,Advertising,2020/06/27,349.9900
Star Metroland Media,Advertising,2020/06/28,499.0000
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/06/30,169.0000
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/06/30,44.9900
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,249.9500
Meridian,Banking Fees and Cheque Orders,2020/06/30,5.0000
Network Solutions,Web Site Hosting/Domain Name,2020/06/30,13.5100
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,196.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,28.0000
"Less Annoying Software, LLC",Computer Software,2020/07/03,81.4000
Rogers,Cable and Internet Fees,2020/07/06,99.9800
Costco Wholesale,Cleaning Products,2020/07/09,22.7900
Costco Wholesale,"Television, Video and Fax",2020/07/09,489.9800
Costco Wholesale,"Office Supplies, Stationery and Accessories",2020/07/09,21.9900
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/07/10,47.9700
"Zoom Video Communications Inc. ",Licence Renewal,2020/07/11,20.0000
"Mailchimp c/o The Rocket Science Group, LLC",Professional Communication Services,2020/07/12,48.0700
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,77.6600
"Network Solutions, LLC",Web Site Hosting/Domain Name,2020/07/14,6.1600
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,12.8000
Rona H & G,Cleaning Products,2020/07/19,10.9800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,31.7200
"Network Solutions, LLC",Web Site Hosting/Domain Name,2020/07/28,13.7400
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,338.0400
Meridian,Banking Fees and Cheque Orders,2020/07/31,5.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,176.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,40.0000
EAGLE RIDGE PROFESSIONAL COMPLEX INC.,Office Rental and Related Fees,2020/08/01,2679.1700
SNAPD BARRIE,Advertising,2020/08/01,319.0000
"Less Annoying Software, LLC",Licence Renewal,2020/08/03,81.4000
"Less Annoying Software, LLC",Computer Software,2020/08/03,82.7400
"MacLennan, Robin",Subject Matter Expert,2020/08/06,2335.0000
"MacLennan, Robin",Subject Matter Expert,2020/08/06,3010.0000
Rogers,Cable and Internet Fees,2020/08/06,99.9800
"Network Solutions, LLC",Web Site Hosting/Domain Name,2020/08/11,6.0300
Zoom Video Communications Inc.,Licence Renewal,2020/08/11,20.0000
" Mailchimp, c/o The Rocket Science Group, LLC",Professional Communication Services,2020/08/12,47.1100
BEST BUY,"Office Supplies, Stationery and Accessories",2020/08/13,99.9900
BEST BUY,"Office Supplies, Stationery and Accessories",2020/08/18,25.0000
Costco Wholesale,"Office Supplies, Stationery and Accessories",2020/08/18,39.9900
Zehrs,Spring Water,2020/08/20,4.9800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,9.3800
Meridian,Banking Fees and Cheque Orders,2020/08/31,5.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,22.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,176.0000
EAGLE RIDGE PROFESSIONAL COMPLEX INC.,Office Rental and Related Fees,2020/09/01,2679.1700
Mr. Handyman of Simcoe West,Repair of Machinery and Office Furniture,2020/09/02,172.4100
Rogers,Cable and Internet Fees,2020/09/06,99.9800
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,403.7300
Eagle Ridge Professional Complex,Constituency Office Reconfigurations and Fixtures (COVID19),2020/09/10,45.0000
"MacLennan, Robin",Subject Matter Expert,2020/09/10,1800.0000
"Mailchimp c/o The Rocket Science Group, LLC",Professional Communication Services,2020/09/12,46.5500
The Home Depot,Appliances,2020/09/18,298.0000
Canada Post – Postes Canada,Courier Services,2020/09/23,15.9900
Canada Post – Postes Canada,Courier Services,2020/09/23,17.8000
EAGLE RIDGE PROFESSIONAL COMPLEX INC.,Office Rental and Related Fees,2020/10/01,2679.1700
