"Members – Detailed Contract Expenditures Report – Brière, Élisabeth – Q2 2021"
Supplier,Description,Date,Total
Walmart,"Office Supplies, Stationery and Accessories",2020/04/28,16.4100
Pharmacie Sophie Deschenes,Cleaning Products,2020/05/22,14.9700
SOCIÉTÉ CANADIENNE DE LA SCLÉROSE EN PLAQUES,Advertising,2020/05/26,250.0000
Maat Audio Group,Consumable Items for Constituency Offices (COVID19),2020/06/08,148.7500
Dollar King Ouest,"Office Supplies, Stationery and Accessories",2020/06/12,13.0000
IGA,Consumable Items for Constituency Offices (COVID19),2020/06/13,9.9900
Pharmacie Esther Meilleur,Consumable Items for Constituency Offices (COVID19),2020/06/13,11.9700
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Facebook,Advertising,2020/06/18,25.0000
Multi clés,Repair of Office Equipment,2020/06/18,62.5000
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,58.6200
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/26,157.2100
GROUPE CAPITALES MEDIAS,Advertising,2020/06/27,407.6600
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,72.9900
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,28.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,193.3800
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,1.2000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,95.6500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.7800
9381-0323 Québec Inc. C/O Coliers International,"Office Rentals, Taxes, Common Area Fees",2020/07/31,1472.1700
9381-0323 Québec Inc. C/O Coliers International,"Office Rentals, Taxes, Common Area Fees",2020/07/31,-4.0300
House of Commons – Chambre des communes,Language Training,2020/07/31,51.9100
9381-0323 Québec Inc. C/O Coliers International,Office Rental and Related Fees,2020/08/01,3028.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,28.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,223.3800
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0400
Festival-Concours de musique de Sherbrooke,Advertising,2020/08/14,300.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/28,307.6000
9381-0323 Québec Inc. C/O Coliers International,Office Rental and Related Fees,2020/09/01,3028.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,23.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,223.3800
Chambre commerce de Sherbrooke,Advertising,2020/09/01,300.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Canada Post – Postes Canada,Courier Services,2020/09/23,5.2400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.7700
9381-0323 Québec Inc. C/O Coliers International,Office Rental and Related Fees,2020/10/01,3028.0000
