"Members – Detailed Contract Expenditures Report – Brunelle-Duceppe, Alexis – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Changes - Services and/or Equipment (Telemanagement) - Federal Government Departments,2020/05/25,214.1500
Caisse Desjardins,Banking Fees and Cheque Orders,2020/05/31,11.4500
Cogeco Connexion inc.,Cable and Internet Fees,2020/06/22,130.1000
POSTES CANADA,Postage and Parcel Post,2020/06/22,17.7800
Bell Média Inc.,Advertising,2020/06/28,368.0000
Bell Média Inc.,Advertising,2020/06/28,85.0000
Cogeco Media Inc.,Advertising,2020/06/28,275.0000
Cogeco Media Inc.,Advertising,2020/06/28,230.0000
Cogeco Media Inc.,Advertising,2020/06/28,207.0000
GROUPE TVA INC,Advertising,2020/06/28,462.6100
Desjardins,Banking Fees and Cheque Orders,2020/06/30,11.4500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,94.4600
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,26.0000
Métro,Cleaning Products,2020/07/06,7.7600
Dollarama,"Office Supplies, Stationery and Accessories",2020/07/07,10.0500
Serruries Protec,"Office Supplies, Stationery and Accessories",2020/07/09,25.2000
Jean Coutu,Consumable Items for Constituency Offices (COVID19),2020/07/13,84.9500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,57.7100
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.1500
Cogeco Connexion inc.,Cable and Internet Fees,2020/07/22,132.6100
"Jardins Mistouk, Les",Advertising,2020/07/28,434.8800
Caisse Desjardins,Banking Fees and Cheque Orders,2020/07/31,11.4500
Groupe Performance Stratégique inc.,Subject Matter Expert,2020/07/31,1500.0000
3098-6145 Québec Inc,Office Rental and Related Fees,2020/08/01,1901.2500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,94.4600
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,1.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,35.0000
Corporation du circuit cyclable,Advertising,2020/08/15,434.8800
Megaburo Inc.,Cleaning Products,2020/08/18,10.6900
Megaburo Inc.,Computer Equipment,2020/08/18,33.4900
Megaburo Inc.,Appliances,2020/08/18,479.0000
Maxi,Cleaning Products,2020/08/19,9.0000
Jean Coutu,Consumable Items for Constituency Offices (COVID19),2020/08/20,36.4400
Lettrage GD,Signage,2020/08/21,195.0000
Cogeco Connexion inc.,Cable and Internet Fees,2020/08/22,129.7800
Trium Médias,Advertising,2020/08/26,1836.0000
Desjardins,Banking Fees and Cheque Orders,2020/08/31,11.4500
3098-6145 Québec Inc,Office Rental and Related Fees,2020/09/01,1901.2500
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,60.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,94.4600
Trium Médias,Advertising,2020/09/02,760.0000
Bureau en gros,Consumable Items for Constituency Offices (COVID19),2020/09/10,13.9800
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/09/10,76.5200
La Source,Voice Communication Equipment,2020/09/10,25.9800
Canada Post – Postes Canada,Courier Services,2020/09/23,13.1500
Canada Post – Postes Canada,Courier Services,2020/09/23,17.3400
Canada Post – Postes Canada,Courier Services,2020/09/23,17.0900
Canada Post – Postes Canada,Courier Services,2020/09/23,15.3800
Canada Post – Postes Canada,Courier Services,2020/09/23,13.1500
Canada Post – Postes Canada,Courier Services,2020/09/23,17.3400
Canada Post – Postes Canada,Courier Services,2020/09/23,13.9300
Canada Post – Postes Canada,Courier Services,2020/09/23,13.5900
Canada Post – Postes Canada,Courier Services,2020/09/23,13.1500
Canada Post – Postes Canada,Courier Services,2020/09/23,13.4100
Canada Post – Postes Canada,Courier Services,2020/09/23,13.4100
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/25,292.5800
3098-6145 Québec Inc,Office Rental and Related Fees,2020/10/01,1901.2500
