"Members – Detailed Contract Expenditures Report – Bérubé, Sylvie – Q2 2021"
Supplier,Description,Date,Total
RNC Média Inc,Advertising,2020/04/26,2030.0000
RNC Média Inc,Advertising,2020/04/26,465.0000
Tire-Media Inc.,Advertising,2020/05/04,500.0000
Polyvalente Le Carrefour,Advertising,2020/05/28,500.0000
Tire-Media Inc.,Advertising,2020/06/01,450.0000
Together We Stand Flags,Pins and Flags,2020/06/02,67.1000
Banque Royale du Canada,Banking Fees and Cheque Orders,2020/06/03,15.9500
Dicom,Courier Services,2020/06/16,95.4100
Fleuriste Maya,Gifts given as a matter of protocol,2020/06/17,30.0000
Impression 4P Inc.,Constituency Mail,2020/06/17,6223.0000
Tire-Media Inc.,Advertising,2020/06/17,250.0000
Tire-Media Inc.,Advertising,2020/06/17,475.0000
Groupe Lexis Média Inc.,Advertising,2020/06/18,470.0000
Cablevision du Nord de Québec Inc.,Cable and Internet Fees,2020/06/20,163.0800
Tire-Media Inc.,Advertising,2020/06/23,250.0000
Groupe Lexis Média Inc.,Advertising,2020/06/25,393.0000
Groupe Lexis Média Inc.,Advertising,2020/06/25,369.0000
Télébec S.E.C,Cable and Internet Fees,2020/06/25,104.9500
Dicom,Postage and Parcel Post,2020/06/26,31.0300
Bell Média Inc.,Advertising,2020/06/28,321.3000
Cogeco Media Inc.,Advertising,2020/06/28,264.0000
Cogeco Media Inc.,Advertising,2020/06/28,420.0000
Cogeco Media Inc.,Advertising,2020/06/28,396.0000
RNC Média Inc,Advertising,2020/06/28,520.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,35.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,137.3800
ENTRETIEN KD,Janitorial Services and Maintenance,2020/07/01,280.0000
Offroy.ca,Repair of Computer Equipment and Peripherals,2020/07/02,95.0000
Banque Royale du Canada,Banking Fees and Cheque Orders,2020/07/03,15.9500
"St-Amant, Éric",Internet (COVID19),2020/07/03,65.9500
Cablevision du Nord de Québec Inc.,Advertising,2020/07/06,2380.1300
Claudette Happyjack,Gifts given as a matter of protocol,2020/07/07,60.0000
Claudette Happyjack,"Framing, Outside Supplier",2020/07/07,70.0000
Zoom,Licence Renewal,2020/07/07,20.0000
"CHEF 99,9 RADIO MATAGAMI",Advertising,2020/07/13,213.7500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,67.4200
IFmerch.com,Consumable Items for Constituency Offices (COVID19),2020/07/14,239.6800
Elcom Radio,Service and/or Equipment Changes,2020/07/16,402.9500
Elcom Radio,Voice Communication Equipment,2020/07/17,5.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.0700
Cablevision du Nord de Québec Inc.,Cable and Internet Fees,2020/07/20,87.1600
Marché public de la Vallée-de-l'Or,Advertising,2020/07/20,500.0000
Télébec S.E.C,Cable and Internet Fees,2020/07/25,105.5500
Bell Média Inc.,Advertising,2020/07/26,232.9500
Cogeco Media Inc.,Advertising,2020/07/26,296.9600
Cogeco Media Inc.,Advertising,2020/07/26,157.5000
Cogeco Media Inc.,Advertising,2020/07/26,198.0800
RNC Média Inc,Advertising,2020/07/26,780.0000
"St-Amant, Éric",Internet (COVID19),2020/07/31,65.9500
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,137.3800
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,20.0000
Club de golf Chibougamau-Chapais,Office Rental and Related Fees,2020/08/01,500.0000
GESTION DAD,Office Rental and Related Fees,2020/08/01,2308.5400
Pavillon de la Rose,Office Rental and Related Fees,2020/08/01,500.0000
Canadian Tire,"Office Supplies, Stationery and Accessories",2020/08/04,96.9900
Dollorama,"Office Supplies, Stationery and Accessories",2020/08/04,94.0000
Pharmacie Jean Coutu,Cleaning Products,2020/08/04,19.9800
Pharmacie Jean Coutu,"Safety Supplies (fire extinguishers, first aid kits)",2020/08/04,29.9800
Nutrition sports fitness,Consumable Items for Constituency Offices (COVID19),2020/08/05,40.0000
ENTRETIEN KD,Janitorial Services and Maintenance,2020/08/06,280.0000
L'Or Bleu,Spring Water,2020/08/06,27.0000
PAPETERIE COMMERCIALE,"Office Supplies, Stationery and Accessories",2020/08/06,59.9900
"CAPITALE ASSURANCES GENERALES INC., LA",Constituency Office Insurance,2020/08/07,140.6100
PAPETERIE COMMERCIALE,"Office Supplies, Stationery and Accessories",2020/08/07,101.9800
Zoom,Licence Renewal,2020/08/07,20.0000
Fondation LSQ,Office Furniture and Fixtures,2020/08/11,50.0000
PAPETERIE COMMERCIALE,"Office Supplies, Stationery and Accessories",2020/08/13,303.5800
CET Creation,Other Training and Conferences,2020/08/16,150.0000
Ferlac,"Office Supplies, Stationery and Accessories",2020/08/17,100.0400
Équipement bureau Ungava,"Office Supplies, Stationery and Accessories",2020/08/18,43.8300
Distribution CB,Spring Water,2020/08/19,54.7500
SSJB Richelieu/Yamaska,Gifts given as a matter of protocol,2020/08/19,424.0000
Cablevision du Nord de Québec Inc.,Cable and Internet Fees,2020/08/20,84.5400
Club de golf Chibougamau-Chapais,Office Furniture and Fixtures,2020/08/21,375.0000
Télébec S.E.C,Cable and Internet Fees,2020/08/25,246.8300
