"Members – Detailed Travel Expenditures Report – Calkins, Blaine – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203272,2020/06/01,2020/07/01,,,,,,,0.0000,23.6300,0.0000,0,0,0,23.6300
T0203272,2020/06/01,2020/07/01,"Calkins, Blaine",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0202561,2020/06/14,2020/06/19,,,,,,,2612.7100,0.0000,525.4000,1.0000,0,0,3138.1100
T0202561,2020/06/14,2020/06/19,"Calkins, Blaine",Member,To travel to/from constituency and Ottawa,2020/06/14,Lacombe,Ottawa,,,,,,,
T0202561,2020/06/14,2020/06/19,"Calkins, Blaine",Member,To travel to/from constituency and Ottawa,2020/06/19,Ottawa,Lacombe,,,,,,,
T0203028,2020/06/30,2020/06/30,,,,,,,52.2600,0.0000,0.0000,0.0000,0,0,52.2600
T0203028,2020/06/30,2020/06/30,"Boston, Shelley",Employee,Attending event with Member,2020/06/30,Lacombe,Rimbey,,,,,,,
T0203028,2020/06/30,2020/06/30,"Boston, Shelley",Employee,Attending event with Member,2020/06/30,Rimbey,Lacombe,,,,,,,
T0202875,2020/07/01,2020/07/31,,,,,,,0.0000,1680.0500,0.0000,0,0,0,1680.0500
T0202875,2020/07/01,2020/07/31,"Calkins, Blaine",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0204095,2020/07/01,2020/08/01,,,,,,,0.0000,25.7100,0.0000,0,0,0,25.7100
T0204095,2020/07/01,2020/08/01,"Calkins, Blaine",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0202894,2020/07/03,2020/08/02,,,,,,,0.0000,59.9900,0.0000,0,0,0,59.9900
T0202894,2020/07/03,2020/08/02,"Calkins, Blaine",Member,Secondary Residence,2020/07/03,Ottawa,Ottawa,,,,,,,
T0203694,2020/07/19,2020/07/23,,,,,,,2104.4600,0.0000,417.1000,1.0000,0,0,2521.5600
T0203694,2020/07/19,2020/07/23,"Calkins, Blaine",Member,To travel to/from constituency and Ottawa,2020/07/19,Lacombe,Ottawa,,,,,,,
T0203694,2020/07/19,2020/07/23,"Calkins, Blaine",Member,To travel to/from constituency and Ottawa,2020/07/23,Ottawa,Lacombe,,,,,,,
T0203696,2020/08/01,2020/08/31,,,,,,,0.0000,1680.0500,0.0000,0,0,0,1680.0500
T0203696,2020/08/01,2020/08/31,"Calkins, Blaine",Member,Secondary Residence,2020/08/01,Ottawa,Ottawa,,,,,,,
T0203757,2020/08/03,2020/09/02,,,,,,,0.0000,59.9900,0.0000,0,0,0,59.9900
T0203757,2020/08/03,2020/09/02,"Calkins, Blaine",Member,Secondary Residence,2020/08/03,Ottawa,Ottawa,,,,,,,
T0204243,2020/08/23,2020/08/24,,,,,,,2234.8200,0.0000,196.6100,1.0000,0,0,2431.4300
T0204243,2020/08/23,2020/08/24,"Calkins, Blaine",Member,To travel to/from constituency and Ottawa,2020/08/23,Lacombe,Ottawa,,,,,,,
T0204243,2020/08/23,2020/08/24,"Calkins, Blaine",Member,To travel to/from constituency and Ottawa,2020/08/24,Ottawa,Lacombe,,,,,,,
200441660,2020/09/01,2020/09/30,,,,,,,0.0000,1680.0500,0.0000,0,0,0,1680.0500
200441660,2020/09/01,2020/09/30,"Calkins, Blaine",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442027,2020/10/01,2020/10/31,,,,,,,0.0000,1680.0500,0.0000,0,0,0,1680.0500
200442027,2020/10/01,2020/10/31,"Calkins, Blaine",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
