"Members – Detailed Travel Expenditures Report – Bergen, Candice – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202673,2020/05/23,2020/06/25,,,,,,,280.8400,0.0000,0.0000,0.0000,0,0,280.84
T0202673,2020/05/23,2020/06/25,"Bergen, Candice",Member,To attend meetings about constituency issues,2020/05/23,Morden,Carman,,,,,,,
T0202673,2020/05/23,2020/06/25,"Bergen, Candice",Member,To attend meetings about constituency issues,2020/05/23,Carman,Morden,,,,,,,
T0202673,2020/05/23,2020/06/25,"Bergen, Candice",Member,To attend meetings about constituency issues,2020/06/19,Morden,Winkler,,,,,,,
T0202673,2020/05/23,2020/06/25,"Bergen, Candice",Member,To attend meetings about constituency issues,2020/06/19,Winkler,Morden,,,,,,,
T0202673,2020/05/23,2020/06/25,"Bergen, Candice",Member,To attend meetings about constituency issues,2020/06/24,Morden,Portage la Prairie (City),,,,,,,
T0202673,2020/05/23,2020/06/25,"Bergen, Candice",Member,To attend meetings about constituency issues,2020/06/24,Portage la Prairie (City),Morden,,,,,,,
T0202673,2020/05/23,2020/06/25,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/06/25,Morden,Rosenort,,,,,,,
T0202673,2020/05/23,2020/06/25,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/06/25,Rosenort,Morden,,,,,,,
T0202693,2020/06/01,2020/06/30,,,,,,,0.0000,1500.0000,0.0000,0,0,0,1500.00
T0202693,2020/06/01,2020/06/30,"Bergen, Candice",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0202637,2020/06/03,2020/06/25,,,,,,,755.9800,0.0000,511.2000,0.0000,0,0,1267.18
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/06/03,Oak Bluff,Morden,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings about constituency issues,2020/06/16,Morden,Oak Bluff,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings about constituency issues,2020/06/18,Oak Bluff,Morden,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings about constituency issues,2020/06/18,Morden,Oak Bluff,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings about constituency issues,2020/06/24,Oak Bluff,Portage la Prairie (City),,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings about constituency issues,2020/06/24,Portage la Prairie (City),Oak Bluff,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings about constituency issues,2020/06/24,Portage la Prairie (City),Altamont,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings about constituency issues,2020/06/24,Altamont,Portage la Prairie (City),,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/06/25,Oak Bluff,Rosenort,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/06/25,Rosenort,Oak Bluff,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/06/03,Morden,Oak Bluff,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/06/05,Oak Bluff,Morden,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/06/05,Morden,Oak Bluff,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/06/08,Oak Bluff,Winnipeg,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/06/08,Winnipeg,Oak Bluff,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend a constituency or community event,2020/06/09,Oak Bluff,Carman,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/06/16,Morden,Oak Bluff,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/06/09,Carman,Oak Bluff,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings about constituency issues,2020/06/16,Morden,Winkler,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/06/16,Winkler,Morden,,,,,,,
T0202637,2020/06/03,2020/06/25,"Bergen, Candice",Member,To attend a constituency or community event,2020/06/16,Oak Bluff,Morden,,,,,,,
T0202596,2020/06/21,2020/07/20,,,,,,,0.0000,109.9900,0.0000,0,0,0,109.99
T0202596,2020/06/21,2020/07/20,"Bergen, Candice",Member,Secondary Residence,2020/06/21,Ottawa,Ottawa,,,,,,,
T0203031,2020/07/01,2020/07/01,,,,,,,40.4400,0.0000,0.0000,0.0000,0,0,40.44
T0203031,2020/07/01,2020/07/01,"Kyle, Colleen",Employee,To attend a constituency or community event,2020/07/01,Morden,Rosenfeld,,,,,,,
T0203031,2020/07/01,2020/07/01,"Kyle, Colleen",Employee,To attend a constituency or community event,2020/07/01,Rosenfeld,Morden,,,,,,,
T0202882,2020/07/01,2020/07/02,,,,,,,162.7900,149.6800,206.5400,0.0000,0,0,519.01
T0202882,2020/07/01,2020/07/02,"Bergen, Candice",Member,To attend a constituency or community event,2020/07/01,Oak Bluff,Altona,,,,,,,
T0202882,2020/07/01,2020/07/02,"Bergen, Candice",Member,To attend a constituency or community event,2020/07/01,Altona,Morden,,,,,,,
T0202882,2020/07/01,2020/07/02,"Bergen, Candice",Member,To attend a constituency or community event,2020/07/01,Morden,Winkler,,,,,,,
T0202882,2020/07/01,2020/07/02,"Bergen, Candice",Member,To attend a constituency or community event,2020/07/02,Winkler,Morden,,,,,,,
T0202882,2020/07/01,2020/07/02,"Bergen, Candice",Member,To attend meetings about constituency issues,2020/07/02,Morden,Oak Bluff,,,,,,,
T0203621,2020/07/01,2020/07/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0203621,2020/07/01,2020/07/31,"Bergen, Candice",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0203040,2020/07/06,2020/07/07,,,,,,,110.5000,0.0000,97.8800,0.0000,0,0,208.38
T0203040,2020/07/06,2020/07/07,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/07/06,Oak Bluff,Portage la Prairie (City),,,,,,,
T0203040,2020/07/06,2020/07/07,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/07/06,Portage la Prairie (City),Oak Bluff,,,,,,,
T0203040,2020/07/06,2020/07/07,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/07/07,Oak Bluff,Winnipeg,,,,,,,
T0203040,2020/07/06,2020/07/07,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/07/07,Winnipeg,Oak Bluff,,,,,,,
T0203653,2020/07/09,2020/07/15,,,,,,,250.0900,118.3700,254.9000,0.0000,0,0,623.36
T0203653,2020/07/09,2020/07/15,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/07/09,Oak Bluff,Carman,,,,,,,
T0203653,2020/07/09,2020/07/15,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/07/09,Carman,Oak Bluff,,,,,,,
T0203653,2020/07/09,2020/07/15,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/07/10,Oak Bluff,Portage la Prairie (City),,,,,,,
T0203653,2020/07/09,2020/07/15,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/07/10,Portage la Prairie (City),Oak Bluff,,,,,,,
T0203653,2020/07/09,2020/07/15,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/07/15,Oak Bluff,Winkler,,,,,,,
T0203653,2020/07/09,2020/07/15,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/07/15,Winkler,Morden,,,,,,,
T0203653,2020/07/09,2020/07/15,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/07/15,Morden,Oak Bluff,,,,,,,
T0204805,2020/07/16,2020/07/26,,,,,,,1659.0600,0.0000,0.0000,0,2.0000,0,1659.06
T0204805,2020/07/16,2020/07/26,,Designated Traveller,Attending event with Member,2020/07/16,Oak Bluff,Vancouver,,,,,,,
T0203657,2020/07/16,2020/07/26,,,,,,,2725.2400,1466.6300,843.2200,0,1.0000,0,5035.09
T0203657,2020/07/16,2020/07/26,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/07/16,Oak Bluff,Vancouver,,,,,,,
T0203657,2020/07/16,2020/07/26,"Bergen, Candice",Member,To attend meetings with stakeholders about business of the House,2020/07/26,Vancouver,Oak Bluff,,,,,,,
T0204805,2020/07/16,2020/07/26,,Designated Traveller,Attending event with Member,2020/07/17,Vancouver,Cranbrook,,,,,,,
