"Members – Detailed Travel Expenditures Report – Hughes, Carol – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0204494,2020/04/01,2020/09/01,,,,,,,0.0000,500.0000,0.0000,0,0,0,500.00
T0204494,2020/04/01,2020/09/01,"Hughes, Carol",Member,Secondary Residence,2020/04/01,Ottawa,Ottawa,,,,,,,
T0202945,2020/06/19,2020/06/20,,,,,,,137.0600,130.1500,82.8600,0,0,0,350.07
T0202945,2020/06/19,2020/06/20,"Hughes, Carol",Member,To attend a constituency or community event,2020/06/19,Greater Sudbury,Little Current,,,,,,,
T0202945,2020/06/19,2020/06/20,"Hughes, Carol",Member,To attend a constituency or community event,2020/06/20,Little Current,Greater Sudbury,,,,,,,
T0202948,2020/06/23,2020/06/24,,,,,,,497.3100,120.5400,162.7200,1.0000,0,0,780.57
T0202948,2020/06/23,2020/06/24,"Hughes, Carol",Member,To attend a constituency or community event,2020/06/23,Hanmer,Kapuskasing,,,,,,,
T0202948,2020/06/23,2020/06/24,"Hughes, Carol",Member,To attend a constituency or community event,2020/06/24,Kapuskasing,Hearst,,,,,,,
T0202950,2020/06/29,2020/06/29,,,,,,,184.6400,0.0000,64.4200,0.0000,0,0,249.06
T0202950,2020/06/29,2020/06/29,"Hughes, Carol",Member,To attend a constituency or community event,2020/06/29,Hanmer,Elliot Lake,,,,,,,
T0202964,2020/07/01,2020/07/01,,,,,,,291.7800,0.0000,64.4200,1.0000,0,0,356.20
T0202964,2020/07/01,2020/07/01,"Hughes, Carol",Member,To attend a constituency or community event,2020/07/01,Hanmer,Elliot Lake,,,,,,,
T0202964,2020/07/01,2020/07/01,"Hughes, Carol",Member,To attend a constituency or community event,2020/07/01,Elliot Lake,Hanmer,,,,,,,
T0203024,2020/07/06,2020/07/09,,,,,,,458.0400,0.0000,340.6600,1.0000,0,0,798.70
T0203024,2020/07/06,2020/07/09,"Hughes, Carol",Member,To travel to/from constituency and Ottawa,2020/07/06,Hanmer,Ottawa,,,,,,,
T0203024,2020/07/06,2020/07/09,"Hughes, Carol",Member,To travel to/from constituency and Ottawa,2020/07/09,Ottawa,Hanmer,,,,,,,
T0203320,2020/07/17,2020/07/17,,,,,,,93.4400,0.0000,18.6600,0.0000,0,0,112.10
T0203320,2020/07/17,2020/07/17,"Hughes, Carol",Member,To attend a constituency or community event,2020/07/17,Hanmer,Espanola,,,,,,,
T0203320,2020/07/17,2020/07/17,"Hughes, Carol",Member,To attend a constituency or community event,2020/07/17,Espanola,Hanmer,,,,,,,
T0203522,2020/07/21,2020/07/24,,,,,,,456.2000,0.0000,340.6600,1.0000,0,0,796.86
T0203522,2020/07/21,2020/07/24,"Hughes, Carol",Member,To travel to/from constituency and Ottawa,2020/07/21,Hanmer,Ottawa,,,,,,,
T0203522,2020/07/21,2020/07/24,"Hughes, Carol",Member,To travel to/from constituency and Ottawa,2020/07/24,Ottawa,Hanmer,,,,,,,
T0204371,2020/07/27,2020/07/28,,,,,,,435.5900,139.2500,144.0600,1.0000,0,0,718.90
T0204371,2020/07/27,2020/07/28,"Hughes, Carol",Member,To conduct constituency office business,2020/07/27,Hanmer,Kapuskasing,,,,,,,
T0204371,2020/07/27,2020/07/28,"Hughes, Carol",Member,To conduct constituency office business,2020/07/28,Kapuskasing,Hanmer,,,,,,,
T0204377,2020/07/29,2020/07/29,,,,,,,121.8400,0.0000,0.0000,0.0000,0,0,121.84
T0204377,2020/07/29,2020/07/29,"Hughes, Carol",Member,To attend a constituency or community event,2020/07/29,Hanmer,Walford,,,,,,,
T0204377,2020/07/29,2020/07/29,"Hughes, Carol",Member,To attend a constituency or community event,2020/07/29,Walford,Hanmer,,,,,,,
T0204379,2020/07/30,2020/07/31,,,,,,,228.1000,0.0000,162.7200,0.0000,0,0,390.82
T0204379,2020/07/30,2020/07/31,"Hughes, Carol",Member,To attend meetings about constituency issues,2020/07/30,Hanmer,Blind River,,,,,,,
T0204379,2020/07/30,2020/07/31,"Hughes, Carol",Member,To attend meetings about constituency issues,2020/07/31,Blind River,Hanmer,,,,,,,
200430728,2020/08/01,2020/08/31,,,,,,,0.0000,1630.0000,0.0000,0,0,0,1630.00
200430728,2020/08/01,2020/08/31,"Hughes, Carol",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204380,2020/08/15,2020/08/15,,,,,,,176.3400,0.0000,18.6600,0.0000,0,0,195.00
T0204380,2020/08/15,2020/08/15,"Hughes, Carol",Member,To conduct constituency office business,2020/08/15,Hanmer,Elliot Lake,,,,,,,
T0204380,2020/08/15,2020/08/15,"Hughes, Carol",Member,To conduct constituency office business,2020/08/15,Elliot Lake,Hanmer,,,,,,,
T0204544,2020/08/21,2020/08/22,,,,,,,185.0600,146.2900,82.8600,1.0000,0,0,414.21
T0204544,2020/08/21,2020/08/22,"Hughes, Carol",Member,To attend a constituency or community event,2020/08/21,Hanmer,Providence Bay,,,,,,,
T0204544,2020/08/21,2020/08/22,"Hughes, Carol",Member,To attend a constituency or community event,2020/08/22,Providence Bay,Hanmer,,,,,,,
T0204781,2020/08/25,2020/08/26,,,,,,,219.4000,0.0000,98.3000,0.0000,0,0,317.70
T0204781,2020/08/25,2020/08/26,"Hughes, Carol",Member,To attend meetings about constituency issues,2020/08/25,Hanmer,Elliot Lake,,,,,,,
T0204781,2020/08/25,2020/08/26,"Hughes, Carol",Member,To conduct constituency office business,2020/08/26,Elliot Lake,Hanmer,,,,,,,
T0204786,2020/08/29,2020/08/30,,,,,,,431.0100,138.5500,144.0600,0,1.0000,0,713.62
T0204786,2020/08/29,2020/08/30,"Hughes, Carol",Member,To conduct constituency office business,2020/08/29,Hanmer,Timmins,,,,,,,
T0204786,2020/08/29,2020/08/30,"Hughes, Carol",Member,To attend a constituency or community event,2020/08/30,Timmins,Hanmer,,,,,,,
200437211,2020/09/01,2020/09/30,,,,,,,0.0000,1630.0000,0.0000,0,0,0,1630.00
200437211,2020/09/01,2020/09/30,"Hughes, Carol",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0204858,2020/09/04,2020/09/04,,,,,,,94.3600,0.0000,45.7600,0.0000,0,0,140.12
