"Members – Detailed Contract Expenditures Report – Bennett, Carolyn – Q2 2021"
Supplier,Description,Date,Total
Xerox Canada Ltd.,Photocopier Rental and Related Costs,2020/04/01,120.49
NGP VAN Inc.,Professional Communication Services,2020/04/07,20.00
Zoom Video Communications Inc.,Licence Renewal,2020/04/10,20.00
CANADIAN SPRINGS,Spring Water,2020/04/19,20.10
TekSavvy Solutions Inc.,Internet (COVID19),2020/04/23,53.27
TekSavvy Solutions Inc.,Internet (COVID19),2020/04/25,51.95
Zoom Video Communications Inc.,Licence Renewal,2020/04/27,20.00
ROGERS,Cable and Internet Fees,2020/04/29,261.96
Rogers,Internet (COVID19),2020/04/30,99.99
"TD CANADA TRUST ",Banking Fees and Cheque Orders,2020/04/30,9.95
Xerox Canada Ltd.,Photocopier Rental and Related Costs,2020/04/30,2.03
NGP VAN Inc.,Professional Communication Services,2020/05/01,20.00
Xerox Canada Ltd.,Photocopier Rental and Related Costs,2020/05/01,120.49
"Bloomex Inc ",Gifts given as a matter of protocol,2020/05/10,58.99
40 Holly Street Limited Partnership,Protection and Alarm Monitoring (Member's Office Budget),2020/05/11,7306.25
40 Holly Street Limited Partnership,Janitorial Services and Maintenance,2020/05/11,223.85
40 Holly Street Limited Partnership,Protection and Alarm Monitoring (Member's Office Budget),2020/05/12,3517.64
"Choice Communication ",Advertising,2020/05/23,180.84
TekSavvy Solutions Inc.,Internet (COVID19),2020/05/23,58.27
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.63
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.36
TekSavvy Solutions Inc.,Internet (COVID19),2020/05/25,56.95
Zoom Video Communications Inc.,Licence Renewal,2020/05/27,20.00
Canada Post,Postage and Parcel Post,2020/05/28,13.80
ROGERS,Cable and Internet Fees,2020/05/29,261.96
TD CANADA TRUST,Banking Fees and Cheque Orders,2020/05/29,9.95
ROGERS,Internet (COVID19),2020/05/31,99.99
Microsoft Canada Inc,Computer Software,2020/06/01,11.59
NGP VAN Inc.,Professional Communication Services,2020/06/01,20.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,131.00
Xerox Canada Ltd.,Photocopier Rental and Related Costs,2020/06/01,120.49
STAPLES Canada,"Office Supplies, Stationery and Accessories",2020/06/02,32.97
Campaign Print,Promotional Items,2020/06/05,1490.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Amazon.ca,Office Equipment,2020/06/18,39.99
AMAZON.CA,Office Equipment,2020/06/18,8.99
TekSavvy Solutions Inc.,Internet (COVID19),2020/06/23,58.27
TekSavvy Solutions Inc.,Internet (COVID19),2020/06/25,56.95
Zoom Video Communications Inc.,Licence Renewal,2020/06/27,20.00
POST CITY MAGAZINES,Advertising,2020/06/29,276.00
ROGERS,Cable and Internet Fees,2020/06/29,261.96
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,605.00
Grand & Toy,Cleaning Products,2020/06/30,90.44
Rogers,Internet (COVID19),2020/06/30,99.99
TD CANADA TRUST,Banking Fees and Cheque Orders,2020/06/30,79.33
Bell Mobility – Bell Mobilité,Long Distance,2020/07/01,3.04
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,202.30
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,66.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
NGP VAN Inc.,Professional Communication Services,2020/07/01,20.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,131.00
Xerox Canada Ltd.,Photocopier Rental and Related Costs,2020/07/01,120.49
Rogers Wireless – Rogers sans-fil,Voice Communication Equipment,2020/07/06,580.00
PRIMECONTACT INC.,Professional Communication Services,2020/07/07,675.22
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,2.37
Grand & Toy,Cleaning Products,2020/07/31,112.90
40 Holly Street Limited Partnership,Office Rental and Related Fees,2020/08/01,3883.25
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,147.09
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,66.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,281.25
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/08/04,169.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.04
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,22.32
40 Holly Street Limited Partnership,Office Rental and Related Fees,2020/09/01,3883.25
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,8.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,66.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
Canada Post – Postes Canada,Courier Services,2020/09/23,6.92
Canada Post – Postes Canada,Courier Services,2020/09/23,6.85
Canada Post – Postes Canada,Courier Services,2020/09/23,13.99
Canada Post – Postes Canada,Courier Services,2020/09/23,7.54
Canada Post – Postes Canada,Courier Services,2020/09/23,6.85
Canada Post – Postes Canada,Courier Services,2020/09/23,7.38
Canada Post – Postes Canada,Courier Services,2020/09/23,7.64
Canada Post – Postes Canada,Courier Services,2020/09/23,7.26
Canada Post – Postes Canada,Courier Services,2020/09/23,6.81
40 Holly Street Limited Partnership,Office Rental and Related Fees,2020/10/01,3926.21
