"Members – Detailed Contract Expenditures Report – Carrie, Colin – Q2 2021"
Supplier,Description,Date,Total
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/05/25,14.9500
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8200
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,199.8300
Drialys Isaac Matos,Janitorial Services and Maintenance,2020/06/06,60.0000
STANLEY STREET COMMUNICATIONS,Communications Officer,2020/06/12,2193.7500
Dollarama,Consumable Items for Constituency Offices (COVID19),2020/06/17,10.5000
"OSHAWA EXPRESS, THE",Advertising,2020/06/18,525.0000
Drialys Isaac Matos,Janitorial Services and Maintenance,2020/06/20,60.0000
SHRED-IT INTERNATIONAL ULC.,Shredding,2020/06/22,172.1200
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,16.5200
Rogers,Cable and Internet Fees,2020/06/24,327.1300
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/06/25,14.9500
Maracle,"Householders ",2020/06/26,7960.8500
STANLEY STREET COMMUNICATIONS,Communications Officer,2020/06/26,2193.7500
Star Metroland Media,Advertising,2020/06/28,565.0000
Grand & Toy,Bulk Paper Purchases,2020/06/30,44.7000
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,428.3000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,223.3300
Snapd Inc,Advertising,2020/07/01,395.0000
Drialys Isaac Matos,Janitorial Services and Maintenance,2020/07/04,60.0000
Dollarama,Consumable Items for Constituency Offices (COVID19),2020/07/09,105.9900
Dollarama,Consumable Items for Constituency Offices (COVID19),2020/07/09,12.0000
STANLEY STREET COMMUNICATIONS,Communications Officer,2020/07/10,2193.7500
Costco Wholesale,Cleaning Products,2020/07/15,17.9900
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,38.0400
Driayls Isaac Matos,Janitorial Services and Maintenance,2020/07/18,60.0000
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/07/24,14.9500
Rogers,Cable and Internet Fees,2020/07/24,327.1300
STANLEY STREET COMMUNICATIONS,Communications Officer,2020/07/24,2193.7500
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,93.8900
358097 ONTARIO LIMITED,Office Rental and Related Fees,2020/08/01,2850.0000
Drialys Isaac Matos,Janitorial Services and Maintenance,2020/08/01,60.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,255.4800
Snapd Inc,Advertising,2020/08/01,395.0000
MADD Canada,Advertising,2020/08/04,279.0000
LIsa Belcourt,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/11,30.0000
Drilys Isaac Matos,Janitorial Services and Maintenance,2020/08/15,60.0000
STANLEY STREET COMMUNICATIONS,Communications Officer,2020/08/17,2193.7500
SHRED-IT INTERNATIONAL ULC.,Shredding,2020/08/22,184.1700
358097 ONTARIO LIMITED,Office Rental and Related Fees,2020/09/01,2850.0000
STANLEY STREET COMMUNICATIONS,Communications Officer,2020/09/01,2193.7500
Canada Post – Postes Canada,Courier Services,2020/09/23,19.1000
358097 ONTARIO LIMITED,Office Rental and Related Fees,2020/10/01,2850.0000
