"Members – Detailed Contract Expenditures Report – Wagantall, Cathay – Q2 2021"
Supplier,Description,Date,Total
"FOUR-TOWN JOURNAL, THE",Advertising,2020/03/23,72.03
CIBC,Banking Fees and Cheque Orders,2020/03/31,4.00
SASKATCHEWAN SENIORS MECHANISM,Advertising,2020/04/24,72.25
"Canora Courier, The",Advertising,2020/05/31,66.00
CAMPAIGN LIFE COALITION,Advertising,2020/06/06,350.00
SaskEnergy,Public Utilities,2020/06/08,52.30
SaskPower,Public Utilities,2020/06/08,93.41
"WORLD SPECTATOR, THE",Advertising,2020/06/08,90.00
WalMart,Cleaning Products,2020/06/09,34.29
"Canora Courier, The",Advertising,2020/06/10,33.00
ACCESS Communications,Cable and Internet Fees,2020/06/15,180.85
Zoom Video Communications,Licence Renewal,2020/06/16,17.02
GRASSLANDS NEWS GROUP,Advertising,2020/06/17,50.00
GRASSLANDS NEWS GROUP,Advertising,2020/06/18,295.00
Less Annoying CRM,Licence Renewal,2020/06/18,94.64
Staples,Toner,2020/06/18,105.99
Staples,"Office Supplies, Stationery and Accessories",2020/06/18,17.48
"WORLD SPECTATOR, THE",Advertising,2020/06/19,290.00
"FOUR-TOWN JOURNAL, THE",Advertising,2020/06/22,15.00
sendinblue,Licence Renewal,2020/06/22,27.00
Wheatland Water,Spring Water,2020/06/23,20.00
"Canora Courier, The",Advertising,2020/06/24,33.00
Yorkton This Week,Advertising,2020/06/24,85.00
Yorkton This Week,Advertising,2020/06/24,239.00
GRASSLANDS NEWS GROUP,Advertising,2020/06/25,150.00
Nation Builders,Professional Communication Services,2020/06/25,79.77
Yorkton Film Festival,Advertising,2020/06/25,300.00
"Rock 98 Five, The",Advertising,2020/06/26,266.00
FOAM LAKE REVIEW LTD.,Advertising,2020/06/29,133.50
WADENA NEWS LTD.,Advertising,2020/06/29,89.96
"WORLD SPECTATOR, THE",Advertising,2020/06/29,203.00
"Canora Courier, The",Advertising,2020/06/30,94.66
"Canora Courier, The",Advertising,2020/06/30,97.24
"Canora Courier, The",Advertising,2020/06/30,33.00
"Canora Courier, The",Advertising,2020/06/30,33.00
"Canora Courier, The",Advertising,2020/06/30,97.24
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,119.44
"Junction Review, The",Advertising,2020/06/30,69.22
New Pathway Ukrainian News,Advertising,2020/06/30,93.00
Yorkton This Week,Advertising,2020/06/30,190.78
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,253.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,64.47
"Rock 98 Five, The",Advertising,2020/07/01,460.00
Yorkton Chamber of Commerce,Advertising,2020/07/01,43.18
CIBC,Banking Fees and Cheque Orders,2020/07/02,4.00
"FOUR-TOWN JOURNAL, THE",Advertising,2020/07/02,15.00
"FOUR-TOWN JOURNAL, THE",Advertising,2020/07/02,139.68
SASKATCHEWAN SENIORS MECHANISM,Advertising,2020/07/02,72.25
"FOUR-TOWN JOURNAL, THE",Advertising,2020/07/06,15.00
KELVINGTON CHRONICLE,Advertising,2020/07/09,90.00
SaskEnergy,Public Utilities,2020/07/09,47.66
SaskPower,Public Utilities,2020/07/09,33.01
"Canora Courier, The","Printed Matter, Books, Newspapers and Subscriptions",2020/07/13,40.00
FOAM LAKE REVIEW LTD.,Advertising,2020/07/13,117.25
WADENA NEWS LTD.,Advertising,2020/07/13,62.56
"WORLD SPECTATOR, THE",Advertising,2020/07/13,152.00
KELVINGTON CHRONICLE,Advertising,2020/07/14,70.00
ACCESS Communications,Cable and Internet Fees,2020/07/15,192.85
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2020/07/16,112.48
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2020/07/16,1522.10
GRASSLANDS NEWS GROUP,Advertising,2020/07/16,120.93
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/16,218.25
ZOOM,Licence Renewal,2020/07/16,16.27
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,4.91
Less Annoying CRM,Licence Renewal,2020/07/18,94.97
R.H Electric LTD,Office Renovations,2020/07/20,845.54
"Canora Courier, The",Advertising,2020/07/22,185.40
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/22,751.02
SENDINBLUE,Licence Renewal,2020/07/22,27.00
Yorkton This Week,Advertising,2020/07/22,318.50
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/07/23,338.00
NationBuilder,Licence Renewal,2020/07/25,80.05
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/27,218.25
Staples,External Printing Costs,2020/07/28,7.35
Thirty Day Properties,Public Utilities,2020/07/29,108.44
Yorkton This Week,Advertising,2020/07/29,49.00
CIBC,Banking Fees and Cheque Orders,2020/07/31,4.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,119.44
"Junction Review, The",Advertising,2020/07/31,52.77
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,35.00
Bell Mobility – Bell Mobilité,Voice and data roaming fees for mobile devices,2020/08/01,50.00
