"Members – Detailed Travel Expenditures Report – McLeod, Cathy – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202096,2020/05/22,2020/05/28,,,,,,,-201.9200,0.0000,0.0000,0,0,0,-201.92
T0202096,2020/05/22,2020/05/28,"McLeod, Cathy",Member,To travel to/from constituency and Ottawa,2020/05/22,Kamloops,Ottawa,,,,,,,
T0203242,2020/05/30,2020/08/04,,,,,,,0.0000,190.4400,0.0000,0,0,0,190.44
T0203242,2020/05/30,2020/08/04,"McLeod, Cathy",Member,Secondary Residence,2020/05/30,Ottawa,Ottawa,,,,,,,
T0203242,2020/05/30,2020/08/04,"McLeod, Cathy",Member,Secondary Residence,2020/07/05,Ottawa,Ottawa,,,,,,,
T0204059,2020/06/29,2020/09/04,,,,,,,0.0000,129.6800,0.0000,0,0,0,129.68
T0204059,2020/06/29,2020/09/04,"McLeod, Cathy",Member,Secondary Residence,2020/08/05,Ottawa,Ottawa,,,,,,,
T0203991,2020/07/19,2020/07/22,,,,,,,576.1500,0.0000,0.0000,0,2.0000,0,576.15
T0203991,2020/07/19,2020/07/22,"McLeod, Cathy",Member,To attend meetings about constituency issues,2020/07/19,Kamloops,Tsawwassen,,,,,,,
T0203991,2020/07/19,2020/07/22,"McLeod, Cathy",Member,To attend meetings about constituency issues,2020/07/19,Tsawwassen,Swartz Bay,,,,,,,
T0203991,2020/07/19,2020/07/22,"McLeod, Cathy",Member,To attend meetings about constituency issues,2020/07/22,Horseshoe Bay,Kamloops,,,,,,,
T0203991,2020/07/19,2020/07/22,"McLeod, Cathy",Member,To attend meetings about constituency issues,2020/07/22,Nanaimo,Horseshoe Bay,,,,,,,
T0205322,2020/07/30,2020/10/04,,,,,,,0.0000,182.3200,0.0000,0,0,0,182.32
T0205322,2020/07/30,2020/10/04,"McLeod, Cathy",Member,Secondary Residence,2020/09/05,Ottawa,Ottawa,,,,,,,
T0205322,2020/07/30,2020/10/04,"McLeod, Cathy",Member,Secondary Residence,2020/07/30,Ottawa,Ottawa,,,,,,,
200430759,2020/08/01,2020/08/31,,,,,,,0.0000,1898.5200,0.0000,0,0,0,1898.52
200430759,2020/08/01,2020/08/31,"McLeod, Cathy",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0203993,2020/08/14,2020/08/17,,,,,,,189.9200,0.0000,0.0000,0,0,0,189.92
T0203993,2020/08/14,2020/08/17,"McLeod, Cathy",Member,To attend meetings about constituency issues,2020/08/14,Kamloops,Kamloops,,,,,,,
T0203993,2020/08/14,2020/08/17,"McLeod, Cathy",Member,To attend meetings about constituency issues,2020/08/14,Kamloops,Darfield,,,,,,,
T0203993,2020/08/14,2020/08/17,"McLeod, Cathy",Member,To attend meetings about constituency issues,2020/08/14,Darfield,Kamloops,,,,,,,
T0203993,2020/08/14,2020/08/17,"McLeod, Cathy",Member,To attend meetings about constituency issues,2020/08/17,Kamloops,Westwold,,,,,,,
T0203993,2020/08/14,2020/08/17,"McLeod, Cathy",Member,To attend meetings about constituency issues,2020/08/17,Westwold,Stump Lake,,,,,,,
T0203993,2020/08/14,2020/08/17,"McLeod, Cathy",Member,To attend meetings about constituency issues,2020/08/17,Stump Lake,Kamloops,,,,,,,
200437241,2020/09/01,2020/09/30,,,,,,,0.0000,1898.5200,0.0000,0,0,0,1898.52
200437241,2020/09/01,2020/09/30,"McLeod, Cathy",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0205377,2020/09/03,2020/09/05,,,,,,,257.4800,566.8000,158.3700,0,1.0000,0,982.65
T0205377,2020/09/03,2020/09/05,"McLeod, Cathy",Member,To attend a regional or provincial caucus meeting,2020/09/03,Kamloops,Penticton,,,,,,,
T0205377,2020/09/03,2020/09/05,"McLeod, Cathy",Member,To attend a regional or provincial caucus meeting,2020/09/05,Penticton,Kamloops,,,,,,,
T0205379,2020/09/06,2020/09/10,,,,,,,2948.0800,0.0000,0.0000,1.0000,0,0,2948.08
T0205379,2020/09/06,2020/09/10,,Designated Traveller,To unite the family with the Member,2020/09/06,Kamloops,Ottawa,,,,,,,
T0205378,2020/09/06,2020/09/10,,,,,,,2995.5500,208.8000,248.5700,1.0000,0,0,3452.92
T0205378,2020/09/06,2020/09/10,"McLeod, Cathy",Member,To travel to/from constituency and Ottawa,2020/09/06,Kamloops,Ottawa,,,,,,,
T0205378,2020/09/06,2020/09/10,"McLeod, Cathy",Member,To travel to/from constituency and Ottawa,2020/09/10,Ottawa,Kamloops,,,,,,,
T0205379,2020/09/06,2020/09/10,,Designated Traveller,To unite the family with the Member,2020/09/10,Ottawa,Kamloops,,,,,,,
T0205381,2020/09/13,2020/09/18,,,,,,,591.4200,147.2300,39.9500,0.0000,0.0000,0,778.60
T0205381,2020/09/13,2020/09/18,"McLeod, Cathy",Member,To attend meetings with stakeholders about business of the House,2020/09/13,Kamloops,Chilliwack,,,,,,,
T0205381,2020/09/13,2020/09/18,"McLeod, Cathy",Member,To attend meetings with stakeholders about business of the House,2020/09/13,Chilliwack,Kamloops,,,,,,,
T0205381,2020/09/13,2020/09/18,"McLeod, Cathy",Member,To attend meetings with stakeholders about business of the House,2020/09/13,Kamloops,Sun Peaks,,,,,,,
T0205381,2020/09/13,2020/09/18,"McLeod, Cathy",Member,To attend meetings with stakeholders about business of the House,2020/09/13,Sun Peaks,Kamloops,,,,,,,
T0205381,2020/09/13,2020/09/18,"McLeod, Cathy",Member,To attend meetings with stakeholders about business of the House,2020/09/17,Kamloops,Lac la Hache,,,,,,,
T0205381,2020/09/13,2020/09/18,"McLeod, Cathy",Member,To attend meetings with stakeholders about business of the House,2020/09/18,Lac la Hache,Kamloops,,,,,,,
200442104,2020/10/01,2020/10/31,,,,,,,0.0000,1898.5200,0.0000,0,0,0,1898.52
200442104,2020/10/01,2020/10/31,"McLeod, Cathy",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
