"Members – Detailed Travel Expenditures Report – Champagne, François-Philippe – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202711,2020/05/11,2020/06/11,,,,,,,0.0000,25.6100,0.0000,0,0,0,25.6100
T0202711,2020/05/11,2020/06/11,"Champagne, François-Philippe",Member,Secondary Residence,2020/05/11,Ottawa,Ottawa,,,,,,,
T0202531,2020/06/06,2020/06/06,,,,,,,52.4500,0.0000,0.0000,0.0000,0,0,52.4500
T0202531,2020/06/06,2020/06/06,"Champagne, François-Philippe",Member,To attend a constituency or community event,2020/06/06,Shawinigan,Trois-Rivières,,,,,,,
T0203038,2020/06/20,2020/07/10,,,,,,,76.6600,0.0000,0.0000,0.0000,0,0,76.6600
T0203038,2020/06/20,2020/07/10,"Deschênes, Catherine",Employee,To represent the Member at an event,2020/06/20,Trois-Rivières,Shawinigan,,,,,,,
T0203038,2020/06/20,2020/07/10,"Deschênes, Catherine",Employee,To attend a constituency or community event,2020/07/10,Shawinigan,Trois-Rivières,,,,,,,
200430686,2020/08/01,2020/08/31,,,,,,,0.0000,1925.0000,0.0000,0,0,0,1925.0000
200430686,2020/08/01,2020/08/31,"Champagne, François-Philippe",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
200437169,2020/09/01,2020/09/30,,,,,,,0.0000,1925.0000,0.0000,0,0,0,1925.0000
200437169,2020/09/01,2020/09/30,"Champagne, François-Philippe",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442030,2020/10/01,2020/10/31,,,,,,,0.0000,1925.0000,0.0000,0,0,0,1925.0000
200442030,2020/10/01,2020/10/31,"Champagne, François-Philippe",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
