"Members – Detailed Contract Expenditures Report – Champoux, Martin – Q2 2021"
Supplier,Description,Date,Total
BUROPRO CITATION,"Office Supplies, Stationery and Accessories",2020/05/25,30.6700
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
RCL,Protection and Alarm Monitoring (Member's Office Budget),2020/06/19,30.9500
Cogeco Connexion inc.,Cable and Internet Fees,2020/06/22,175.8300
Impressions Lemire,"Householders ",2020/06/22,5925.0000
Express Drummondville Inc. L`,Advertising,2020/06/24,550.0000
Lettrage Marc Lambert,Signage,2020/06/24,280.0000
BUROPRO CITATION,"Office Supplies, Stationery and Accessories",2020/06/25,9.5800
Bell Média Inc.,Advertising,2020/06/28,175.0000
Bell Média Inc.,Advertising,2020/06/28,210.0000
9348-9987 Québec inc.,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/29,1465.0000
Drummondville Olympique A/S Club Les  Dragons,Advertising,2020/06/29,350.0000
CENTRE COMMUNAUTAIRE DE LOISIRS CLAUDE-NAULT,Advertising,2020/06/30,500.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,192.3000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,40.0000
EXPRESS NETTOYAGE,Janitorial Services and Maintenance,2020/07/01,325.0000
Municipalité de Wickham,Advertising,2020/07/02,50.0000
La Source d'eau,Spring Water,2020/07/03,13.0000
Axin,External Printing Costs,2020/07/07,455.7100
Protection incendie MCI,"Safety Supplies (fire extinguishers, first aid kits)",2020/07/07,36.4000
BUROPRO CITATION,"Office Supplies, Stationery and Accessories",2020/07/09,14.3800
BUROPRO CITATION,"Office Supplies, Stationery and Accessories",2020/07/09,19.9900
BUROPRO CITATION,"Office Supplies, Stationery and Accessories",2020/07/10,36.8900
Fleuriste Bergeron,Gifts given as a matter of protocol,2020/07/10,84.0000
Fleuriste Bergeron,Gifts given as a matter of protocol,2020/07/10,74.0000
Dollorama,Cleaning Products,2020/07/12,3.5000
Lettrage Marc Lambert,Advertising,2020/07/12,325.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,103.3500
"BOUCLIER PRÉVENTION, LE",Advertising,2020/07/15,500.0000
BUROPRO CITATION,Photography and Video Services,2020/07/15,26.9700
BUROPRO CITATION,"Office Supplies, Stationery and Accessories",2020/07/17,0.7600
BUROPRO CITATION,"Office Supplies, Stationery and Accessories",2020/07/17,30.2400
Galerie MP Tresart,Gifts given as a matter of protocol,2020/07/17,49.9500
Lettrage Marc Lambert,Signage,2020/07/17,150.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,1.6500
Cogeco Connexion inc.,Cable and Internet Fees,2020/07/22,170.8300
"Express Drummondville Inc., L`",Advertising,2020/07/29,650.0000
150 MARCHAND HOLDINGS INC.,Office Rental and Related Fees,2020/08/01,2885.6200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,44.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,192.3000
EXPRESS NETTOYAGE,Janitorial Services and Maintenance,2020/08/01,320.0000
BUROPRO CITATION,Office Furniture and Fixtures,2020/08/04,858.0000
La Source d'eau,Spring Water,2020/08/04,105.0000
150 MARCHAND HOLDINGS INC.,"Office Rentals, Taxes, Common Area Fees",2020/08/05,229.1700
Association québécoise des retraités des secteurs public et parapublic,Advertising,2020/08/05,90.0000
Association des personnes handicapées de Drummond,Advertising,2020/08/10,50.0000
Drummondville Olympique,Advertising,2020/08/10,500.0000
Cogeco Connexion inc.,Cable and Internet Fees,2020/08/22,174.3000
Fleuriste L'Orchidée,Gifts given as a matter of protocol,2020/08/25,99.9900
EXPRESS NETTOYAGE,Janitorial Services and Maintenance,2020/08/30,431.5000
Paparmane,Professional Communication Services,2020/08/31,1361.2500
150 MARCHAND HOLDINGS INC.,Office Rental and Related Fees,2020/09/01,2885.6200
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,46.3000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,192.3000
BUROPRO CITATION,Computer Equipment,2020/09/02,100.1900
Jean Coutu,Consumable Items for Constituency Offices (COVID19),2020/09/04,15.9900
Canada Post – Postes Canada,Courier Services,2020/09/23,10.0300
Canada Post – Postes Canada,Courier Services,2020/09/23,8.1000
Canada Post – Postes Canada,Courier Services,2020/09/23,9.6300
Canada Post – Postes Canada,Courier Services,2020/09/23,9.6500
Canada Post – Postes Canada,Courier Services,2020/09/23,8.0600
Canada Post – Postes Canada,Courier Services,2020/09/23,7.0600
Canada Post – Postes Canada,Courier Services,2020/09/23,8.9600
Canada Post – Postes Canada,Courier Services,2020/09/23,7.9400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.4700
Canada Post – Postes Canada,Courier Services,2020/09/23,7.3700
Canada Post – Postes Canada,Courier Services,2020/09/23,9.7900
150 MARCHAND HOLDINGS INC.,Office Rental and Related Fees,2020/10/01,2885.6200
