"Members – Detailed Travel Expenditures Report – Bittle, Chris – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203754,2020/04/08,2020/07/09,,,,,,,0.0000,80.5500,0.0000,0,0,0,80.55
T0203754,2020/04/08,2020/07/09,"Bittle, Chris",Member,Secondary Residence,2020/05/09,Ottawa,Ottawa,,,,,,,
T0203754,2020/04/08,2020/07/09,"Bittle, Chris",Member,Secondary Residence,2020/04/08,Ottawa,Ottawa,,,,,,,
T0203754,2020/04/08,2020/07/09,"Bittle, Chris",Member,Secondary Residence,2020/06/09,Ottawa,Ottawa,,,,,,,
T0202654,2020/05/13,2020/07/12,,,,,,,0.0000,204.4100,0.0000,0,0,0,204.41
T0202654,2020/05/13,2020/07/12,"Bittle, Chris",Member,Secondary Residence,2020/05/13,Ottawa,Ottawa,,,,,,,
T0202654,2020/05/13,2020/07/12,"Bittle, Chris",Member,Secondary Residence,2020/06/20,Ottawa,Ottawa,,,,,,,
T0205114,2020/06/14,2020/06/17,,,,,,,542.5200,0.0000,165.7100,1.0000,0,0,708.23
T0205114,2020/06/14,2020/06/17,"Bittle, Chris",Member,To travel to/from constituency and Ottawa,2020/06/14,St. Catharines,Ottawa,,,,,,,
T0205114,2020/06/14,2020/06/17,"Bittle, Chris",Member,To travel to/from constituency and Ottawa,2020/06/17,Ottawa,St. Catharines,,,,,,,
T0205139,2020/07/09,2020/08/09,,,,,,,0.0000,27.3800,0.0000,0,0,0,27.38
T0205139,2020/07/09,2020/08/09,"Bittle, Chris",Member,Secondary Residence,2020/07/09,Ottawa,Ottawa,,,,,,,
T0203740,2020/07/13,2020/08/12,,,,,,,0.0000,102.4600,0.0000,0,0,0,102.46
T0203740,2020/07/13,2020/08/12,"Bittle, Chris",Member,Secondary Residence,2020/07/13,Ottawa,Ottawa,,,,,,,
200430674,2020/08/01,2020/08/31,,,,,,,0.0000,1941.0000,0.0000,0,0,0,1941.00
200430674,2020/08/01,2020/08/31,"Bittle, Chris",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0205121,2020/08/13,2020/10/12,,,,,,,0.0000,203.9000,0.0000,0,0,0,203.90
T0205121,2020/08/13,2020/10/12,"Bittle, Chris",Member,Secondary Residence,2020/09/13,Ottawa,Ottawa,,,,,,,
T0205121,2020/08/13,2020/10/12,"Bittle, Chris",Member,Secondary Residence,2020/08/13,Ottawa,Ottawa,,,,,,,
200437156,2020/09/01,2020/09/30,,,,,,,0.0000,1941.0000,0.0000,0,0,0,1941.00
200437156,2020/09/01,2020/09/30,"Bittle, Chris",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442016,2020/10/01,2020/10/31,,,,,,,0.0000,1941.0000,0.0000,0,0,0,1941.00
200442016,2020/10/01,2020/10/31,"Bittle, Chris",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
