"Members – Detailed Travel Expenditures Report – Lewis, Chris – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203077,2020/07/06,2020/07/10,,,,,,,683.4000,0.0000,445.7600,1.0000,0,0,1129.16
T0203077,2020/07/06,2020/07/10,"Lewis, Chris",Member,To travel to/from constituency and Ottawa,2020/07/06,Kingsville,Ottawa,,,,,,,
T0203077,2020/07/06,2020/07/10,"Lewis, Chris",Member,To travel to/from constituency and Ottawa,2020/07/10,Ottawa,Kingsville,,,,,,,
200430746,2020/08/01,2020/08/31,,,,,,,0.0000,1999.0000,0.0000,0,0,0,1999.00
200430746,2020/08/01,2020/08/31,"Lewis, Chris",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204073,2020/08/16,2020/08/21,,,,,,,793.5100,0.0000,537.2800,1.0000,0,0,1330.79
T0204073,2020/08/16,2020/08/21,"Pouget, Marnie",Employee,To travel to/from constituency and Ottawa,2020/08/16,LaSalle,Ottawa,,,,,,,
T0204073,2020/08/16,2020/08/21,"Pouget, Marnie",Employee,To travel to/from constituency and Ottawa,2020/08/21,Ottawa,LaSalle,,,,,,,
200437229,2020/09/01,2020/09/30,,,,,,,0.0000,1999.0000,0.0000,0,0,0,1999.00
200437229,2020/09/01,2020/09/30,"Lewis, Chris",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0205198,2020/09/08,2020/09/10,,,,,,,683.4000,0.0000,294.9100,1.0000,0,0,978.31
T0205198,2020/09/08,2020/09/10,"Lewis, Chris",Member,To travel to/from constituency and Ottawa,2020/09/08,Kingsville,Ottawa,,,,,,,
T0205198,2020/09/08,2020/09/10,"Lewis, Chris",Member,To travel to/from constituency and Ottawa,2020/09/10,Ottawa,Kingsville,,,,,,,
200442091,2020/10/01,2020/10/31,,,,,,,0.0000,1999.0000,0.0000,0,0,0,1999.00
200442091,2020/10/01,2020/10/31,"Lewis, Chris",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
