"Members – Detailed Contract Expenditures Report – Normandin, Christine – Q2 2021"
Supplier,Description,Date,Total
Vidéotron,Internet (COVID19),2020/02/21,62.00
Vidéotron,Internet (COVID19),2020/03/20,62.00
Vidéotron,Internet (COVID19),2020/04/24,62.00
Squarespace,Web Site Hosting/Domain Name,2020/04/25,34.21
Vidéotron,Internet (COVID19),2020/05/22,62.00
Vidéotron,Cable and Internet Fees,2020/05/22,246.58
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.36
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.62
Squarespace,Web Site Hosting/Domain Name,2020/05/25,36.53
Ibiscom,"Householders ",2020/05/29,5292.00
Desjardins,Banking Fees and Cheque Orders,2020/05/31,15.95
Groupe Securite Alarma INC.,"Security Equipment, Intercom and Alarm System (Member's Office Budget)",2020/06/01,501.25
Les Disques Gavroche,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/01,200.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,120.79
SNQ de St-Jean-sur-Richelieu,Advertising,2020/06/03,250.00
Dollarama,"Office Supplies, Stationery and Accessories",2020/06/09,63.30
Dollars Pluss,"Office Supplies, Stationery and Accessories",2020/06/09,7.49
Ibiscom,Promotional Items,2020/06/09,1785.00
COMITÉ CHÔMAGE DU HAUT-RICHELIEU ET DU SUROIT,Advertising,2020/06/10,350.00
"Bonneville, Mario",Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/12,1225.00
Vidéotron,Internet (COVID19),2020/06/13,60.00
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/06/14,125.21
CHAMBRE DE COMMERCE ET DE L'INDUSTRIE DU HAUT-RICHELIEU,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/16,166.71
Icimédias Inc.,Advertising,2020/06/16,595.00
Icimédias Inc.,Advertising,2020/06/18,1000.00
Cyberimpact,Web Site Hosting/Domain Name,2020/06/19,25.00
POSA Source des Monts,Advertising,2020/06/19,250.00
Fondation Santé,Advertising,2020/06/23,500.00
Squarespace,Web Site Hosting/Domain Name,2020/06/25,35.15
Vidéotron,Cable and Internet Fees,2020/06/26,246.58
Bell Média Inc.,Advertising,2020/06/28,800.00
Desjardins,Banking Fees and Cheque Orders,2020/06/30,3.95
Relais d'eau pure St-Jean inc.,Spring Water,2020/06/30,73.35
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,16.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,96.92
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,124.80
Ibiscom,"Householders ",2020/07/02,5292.00
Ibiscom,Promotional Items,2020/07/02,750.00
Cyberimpact,Professional Communication Services,2020/07/03,10.00
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/07/10,139.57
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/07/13,134.45
Bureau en gros,Consumable Items for Constituency Offices (COVID19),2020/07/13,34.99
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,142.22
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,5.15
Cyberimpact,Professional Communication Services,2020/07/19,35.00
Vidéotron,Cable and Internet Fees,2020/07/24,246.58
Squarespace,Web Site Hosting/Domain Name,2020/07/25,35.27
Desjardins,Banking Fees and Cheque Orders,2020/07/31,3.95
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,115.48
Grand & Toy,Bulk Paper Purchases,2020/07/31,7.80
Softchoice,Client Software Related to Distributed Computing Environment (DCE),2020/07/31,66.96
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,96.92
Place Héritage,Office Rental and Related Fees,2020/08/01,2000.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,107.25
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/08/19,130.82
Cyberimpact,Professional Communication Services,2020/08/19,35.00
Squarespace,Web Site Hosting/Domain Name,2020/08/25,34.81
Vidéotron,Cable and Internet Fees,2020/08/28,246.58
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,96.92
Place Héritage,Office Rental and Related Fees,2020/09/01,2000.00
Jean Coutu,Consumable Items for Constituency Offices (COVID19),2020/09/04,30.30
Canada Post – Postes Canada,Courier Services,2020/09/23,10.03
Canada Post – Postes Canada,Courier Services,2020/09/23,13.04
Canada Post – Postes Canada,Courier Services,2020/09/23,7.23
Canada Post – Postes Canada,Courier Services,2020/09/23,9.58
Canada Post – Postes Canada,Courier Services,2020/09/23,9.14
Canada Post – Postes Canada,Courier Services,2020/09/23,7.23
Canada Post – Postes Canada,Courier Services,2020/09/23,7.94
Canada Post – Postes Canada,Courier Services,2020/09/23,8.10
Canada Post – Postes Canada,Courier Services,2020/09/23,7.19
Canada Post – Postes Canada,Courier Services,2020/09/23,7.94
Canada Post – Postes Canada,Courier Services,2020/09/23,8.06
Canada Post – Postes Canada,Courier Services,2020/09/23,7.65
Canada Post – Postes Canada,Courier Services,2020/09/23,10.61
Place Héritage,Office Rental and Related Fees,2020/10/01,2000.00
