"Members – Detailed Contract Expenditures Report – Freeland, Chrystia – Q2 2021"
Supplier,Description,Date,Total
CORRIERE CANADESE INC.,Advertising,2020/04/09,256.00
Rogers,Cable and Internet Fees,2020/04/23,114.99
XEROX CANADA LTD,Photocopier Rental and Related Costs,2020/04/23,147.81
E.B. Maintenance,Janitorial Services and Maintenance,2020/05/04,320.00
XEROX CANADA LTD,Photocopier Rental and Related Costs,2020/05/22,134.04
Rogers,Cable and Internet Fees,2020/05/23,114.99
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
E.B. Maintenance,Janitorial Services and Maintenance,2020/05/29,320.00
LoSpecchio,"Advertising ",2020/05/29,151.15
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,307.25
Rogers Wireless – Rogers sans-fil,Long Distance,2020/06/01,73.50
CORRIERE CANADESE INC.,Advertising,2020/06/02,256.00
XEROX CANADA LTD,Photocopier Rental and Related Costs,2020/06/08,133.85
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Rogers,Cable and Internet Fees,2020/06/23,114.99
XEROX CANADA LTD,Photocopier Rental and Related Costs,2020/06/29,134.15
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,24.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Rogers Wireless – Rogers sans-fil,Long Distance,2020/07/01,12.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,337.25
Canada Post,Postage and Parcel Post,2020/07/16,39.90
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.45
Rogers,Cable and Internet Fees,2020/07/23,114.99
XEROX CANADA LTD,Photocopier Rental and Related Costs,2020/07/27,139.55
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,24.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,15.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,423.25
STARBANK DEVELOPMENTS 350 CORP.,Office Rental and Related Fees,2020/08/01,3190.42
E.B. Maintenance,Janitorial Services and Maintenance,2020/08/04,320.00
JONES DESLAURIERS INS MGMT INC.,Constituency Office Insurance,2020/08/10,1534.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
No Frills,"Office Supplies, Stationery and Accessories",2020/08/19,25.43
Rogers,Cable and Internet Fees,2020/08/23,114.99
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/08/25,169.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,24.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
STARBANK DEVELOPMENTS 350 CORP.,Office Rental and Related Fees,2020/09/01,3190.42
Canada Post – Postes Canada,Courier Services,2020/09/30,18.00
STARBANK DEVELOPMENTS 350 CORP.,Office Rental and Related Fees,2020/10/01,3190.42
