"Members – Detailed Contract Expenditures Report – Kurek, Damien – Q2 2021"
Supplier,Description,Date,Total
FORT McMURRAY STAR NEWS,Advertising,2019/11/08,180.00
Direct Energy Regulated Services,Public Utilities,2019/12/01,91.98
FORT McMURRAY STAR NEWS,Advertising,2019/12/20,250.00
Direct Energy Regulated Services,Public Utilities,2020/02/01,80.77
Nutec Electro Tel,Protection and Alarm Monitoring (Member's Office Budget),2020/03/01,479.40
EPCOR,Public Utilities,2020/03/12,179.06
FORT McMURRAY STAR NEWS,Advertising,2020/03/13,100.00
CAPITAL PRINTERS LTD.,Advertising,2020/03/20,150.25
Direct Energy Regulated Services,Public Utilities,2020/03/31,43.90
Royal Bank of Canada,Banking Fees and Cheque Orders,2020/04/01,16.00
"CONSORT ENTERPRISE, THE",Advertising,2020/04/29,131.25
TOFIELD MERCURY,Advertising,2020/05/06,299.50
EPCOR,Public Utilities,2020/05/13,148.35
TOFIELD MERCURY,Advertising,2020/05/13,173.69
EASTLINK,Public Utilities,2020/05/24,98.46
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,421.62
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,6.36
City of Camrose,Public Utilities,2020/06/06,58.43
EPCOR,Public Utilities,2020/06/11,147.19
Staples Canada,"Office Supplies, Stationery and Accessories",2020/06/12,30.87
Telus,Protection and Alarm Monitoring (Member's Office Budget),2020/06/15,126.36
Direct Energy Regulated Services,Public Utilities,2020/06/17,62.83
TOFIELD MERCURY,Advertising,2020/06/17,299.50
Wild Rose Co-op,Constituency Office Reconfigurations and Fixtures (COVID19),2020/06/17,975.00
Camrose Glass & Overhead Doors,Promotional Items,2020/06/18,94.00
Roger E. Johnson Enterprises Inc.,"Television, Video and Fax",2020/06/18,468.00
Amazon,Photographic Equipment,2020/06/19,193.98
CAPITAL PRINTERS LTD.,Advertising,2020/06/19,110.00
CAPITAL PRINTERS LTD.,Advertising,2020/06/24,197.50
"CONSORT ENTERPRISE, THE",Advertising,2020/06/24,187.50
EASTLINK,Public Utilities,2020/06/24,93.52
TOFIELD MERCURY,Advertising,2020/06/24,368.13
Apparel Plus,Consumable Items for Constituency Offices (COVID19),2020/06/25,59.85
ECA REVIEW,Advertising,2020/06/25,57.87
