"Members – Detailed Travel Expenditures Report – Kurek, Damien – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202549,2020/04/10,2020/04/10,,,,,,,548.5900,0.0000,0.0000,0.5000,0,0,548.59
T0202549,2020/04/10,2020/04/10,"Bekkeheim, Bradley",Employee,To travel to/from constituency and Ottawa,2020/04/10,Ottawa,Edmonton,,,,,,,
T0202546,2020/06/13,2020/06/22,,,,,,,929.1500,0.0000,188.6500,0,0,0,1117.80
T0202546,2020/06/13,2020/06/22,"Kurek, Damien",Member,To attend a constituency or community event,2020/06/13,Camrose,Consort,,,,,,,
T0202546,2020/06/13,2020/06/22,"Kurek, Damien",Member,To attend a constituency or community event,2020/06/13,Consort,Camrose,,,,,,,
T0202546,2020/06/13,2020/06/22,"Kurek, Damien",Member,To attend meetings about constituency issues,2020/06/14,Camrose,Consort,,,,,,,
T0202546,2020/06/13,2020/06/22,"Kurek, Damien",Member,To attend a constituency or community event,2020/06/20,Consort,Wainwright,,,,,,,
T0202546,2020/06/13,2020/06/22,"Kurek, Damien",Member,To attend a constituency or community event,2020/06/20,Camrose,Stettler,,,,,,,
T0202546,2020/06/13,2020/06/22,"Kurek, Damien",Member,To attend a constituency or community event,2020/06/20,Stettler,Camrose,,,,,,,
T0202546,2020/06/13,2020/06/22,"Kurek, Damien",Member,To attend meetings with stakeholders about business of the House,2020/06/22,Camrose,Calgary,,,,,,,
T0202546,2020/06/13,2020/06/22,"Kurek, Damien",Member,To attend meetings with stakeholders about business of the House,2020/06/22,Calgary,Camrose,,,,,,,
T0202727,2020/06/25,2020/06/27,,,,,,,382.3200,0.0000,191.8700,0.0000,0,0,574.19
T0202727,2020/06/25,2020/06/27,"Kurek, Damien",Member,To attend a constituency or community event,2020/06/25,Camrose,Veteran,,,,,,,
T0202727,2020/06/25,2020/06/27,"Kurek, Damien",Member,To attend a constituency or community event,2020/06/25,Veteran,Camrose,,,,,,,
T0202727,2020/06/25,2020/06/27,"Kurek, Damien",Member,To attend a constituency or community event,2020/06/27,Camrose,Drumheller,,,,,,,
T0202727,2020/06/25,2020/06/27,"Kurek, Damien",Member,To attend a constituency or community event,2020/06/27,Drumheller,Camrose,,,,,,,
T0202799,2020/06/30,2020/07/02,,,,,,,819.9100,0.0000,248.4600,0,0,0,1068.37
T0202799,2020/06/30,2020/07/02,"Kurek, Damien",Member,To attend meetings about constituency issues,2020/06/30,Camrose,Three Hills,,,,,,,
T0202799,2020/06/30,2020/07/02,"Kurek, Damien",Member,To attend meetings about constituency issues,2020/06/30,Three Hills,Calgary,,,,,,,
T0202799,2020/06/30,2020/07/02,"Kurek, Damien",Member,To attend meetings about constituency issues,2020/06/30,Calgary,Camrose,,,,,,,
T0202799,2020/06/30,2020/07/02,"Kurek, Damien",Member,To attend a constituency or community event,2020/07/01,Camrose,Drumheller,,,,,,,
T0202799,2020/06/30,2020/07/02,"Kurek, Damien",Member,To attend a constituency or community event,2020/07/01,Drumheller,Provost,,,,,,,
T0202799,2020/06/30,2020/07/02,"Kurek, Damien",Member,To attend a constituency or community event,2020/07/01,Provost,Camrose,,,,,,,
T0202799,2020/06/30,2020/07/02,"Kurek, Damien",Member,To attend a constituency or community event,2020/07/02,Camrose,Drumheller,,,,,,,
T0202799,2020/06/30,2020/07/02,"Kurek, Damien",Member,To attend a constituency or community event,2020/07/02,Drumheller,Camrose,,,,,,,
T0203140,2020/07/04,2020/07/10,,,,,,,271.3000,0.0000,93.3200,0.0000,0,0,364.62
