"Members – Detailed Contract Expenditures Report – Albas, Dan – Q2 2021"
Supplier,Description,Date,Total
"Chapters ","Printed Matter, Books, Newspapers and Subscriptions",2020/03/15,94.30
Shaw,Internet (COVID19),2020/04/06,85.60
Shaw,Internet (COVID19),2020/05/06,85.60
Okanagan Paper Shredding,Shredding,2020/05/22,60.00
Four Star Communications Inc.,"Temporary, Administrative Services",2020/06/01,268.35
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,122.54
Shaw Cable,Cable and Internet Fees,2020/06/05,142.26
Shaw,Internet (COVID19),2020/06/06,85.60
Shaw Cable,Cable and Internet Fees,2020/06/06,82.73
Westside Post,Advertising,2020/06/11,150.00
Shaw Cable,Cable and Internet Fees,2020/06/12,142.26
Amazon.ca,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/16,29.60
Shaw Cable,Cable and Internet Fees,2020/06/16,232.37
Fortis BC,Public Utilities,2020/06/22,29.71
Shawna Kallstrom,Janitorial Services and Maintenance,2020/06/24,200.00
The Logic,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/29,75.00
ABERDEEN PUBLISHING INC,Advertising,2020/06/30,484.00
Black Press Group Ltd.,Advertising,2020/06/30,1416.32
MERRITT HERALD,Advertising,2020/06/30,623.00
"Okanagan Valley Newspaper Group, The",Advertising,2020/06/30,399.00
Q101,Advertising,2020/06/30,599.00
Softchoice,Client Software Related to Distributed Computing Environment (DCE),2020/06/30,351.99
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,54.83
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,136.31
Four Star Communications Inc.,"Temporary, Administrative Services",2020/07/01,233.35
Paladin Technologies,Protection and Alarm Monitoring (Member's Office Budget),2020/07/01,84.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,147.25
Shaw Cable,Cable and Internet Fees,2020/07/05,142.26
Shaw,Internet (COVID19),2020/07/06,85.60
Shaw Cable,Cable and Internet,2020/07/06,82.73
the westside post,Advertising,2020/07/11,150.00
Amazon.ca,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/12,225.94
Shaw Cable,Cable and Internet Fees,2020/07/12,142.26
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,67.55
Shaw Business,Cable and Internet Fees,2020/07/16,242.88
Okanagan Paper Shredding,Shredding,2020/07/17,60.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,4.31
Shawna Kallstrom,Janitorial Services and Maintenance,2020/07/22,200.00
BC Hydro,Public Utilities,2020/07/27,220.06
The Line,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/27,50.00
ABERDEEN PUBLISHING INC,Advertising,2020/07/31,480.00
Black Press Group Ltd.,Advertising,2020/07/31,926.50
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/07/31,32.06
Grand & Toy,Cleaning Products,2020/07/31,149.45
House of Commons – Chambre des communes,Language Training,2020/07/31,27.64
House of Commons – Chambre des communes,Language Training,2020/07/31,55.28
MERRITT HERALD,Advertising,2020/07/31,511.25
"Okanagan Valley Newspaper Group, The",Advertising,2020/07/31,399.00
0466545 BC LTD.,Office Rental and Related Fees,2020/08/01,887.50
Arico Distributors Ltd.,Office Rental and Related Fees,2020/08/01,1700.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,20.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,133.88
Canadian Spring,Spring Water,2020/08/01,8.94
Four Star Communications Inc,Professional Communication Services,2020/08/01,237.10
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,203.79
Shaw Business,Cable and Internet Fees,2020/08/05,142.26
"Shaw ",Internet (COVID19),2020/08/06,85.60
Shaw Business,Cable and Internet Fees,2020/08/06,82.73
Urdu Journal,Advertising,2020/08/06,63.38
Evernote Corporation,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/09,89.99
The Westside Post,Advertising,2020/08/10,150.00
Shaw Business,Cable and Internet Fees,2020/08/12,142.26
Area Maintenance and Building Construction,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/08/14,3970.00
Shaw Business,Cable and Internet Fees,2020/08/16,230.77
Shawna Kallstrom,Janitorial Services and Maintenance,2020/08/19,200.00
LexisNexis Online Store,"Printed Matter, Books, Newspapers and Subscriptions",2020/08/26,152.75
ABERDEEN PUBLISHING INC,Advertising,2020/08/31,384.00
Black Press Group Ltd.,Advertising,2020/08/31,351.00
MERRITT HERALD,Advertising,2020/08/31,169.25
MERRITT HERALD,Advertising,2020/08/31,484.00
0466545 BC LTD.,Office Rental and Related Fees,2020/09/01,887.50
Arico Distributors Ltd.,Office Rental and Related Fees,2020/09/01,1700.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,138.68
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,88.80
Canadian Springs,Spring Water,2020/09/01,43.43
Four Star Communications Inc.,Professional Communication Services,2020/09/01,234.10
Canada Post – Postes Canada,Courier Services,2020/09/23,87.04
0466545 BC LTD.,Office Rental and Related Fees,2020/10/01,887.50
Arico Distributors Ltd.,Office Rental and Related Fees,2020/10/01,1700.00
