"Members – Detailed Contract Expenditures Report – Vandal, Dan – Q2 2021"
Supplier,Description,Date,Total
Access Information Management of Canada,Shredding,2020/04/30,20.10
Zoom Video Communications Inc.,Licence Renewal,2020/05/02,20.00
Choice Communication (Canada) Ltd.,Advertising,2020/05/23,153.81
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.81
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
WINNIPEG JEWISH REVIEW,Advertising,2020/05/29,80.00
Access Information Management of Canada,Shredding,2020/05/31,70.10
BENCHMARK ADVERTISING LTD.,Advertising,2020/06/01,1280.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,249.25
Zoom Video Communications Inc.,Licence Renewal,2020/06/02,20.00
Anne Mulaire,Consumable Items for Constituency Offices (COVID19),2020/06/05,32.10
MANITOBA HYDRO,Public Utilities,2020/06/05,53.80
MANITOBA HYDRO,Public Utilities,2020/06/05,110.82
Canstar Community News,Advertising,2020/06/06,288.83
ST. VITAL MUSEUM,Advertising,2020/06/08,75.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Bell MTS,Cable and Internet,2020/06/19,57.73
Canstar Community News,Advertising,2020/06/20,288.83
"Walsh, Claire",Professional Communication Services,2020/06/20,100.00
Winnipeg Free Press,Advertising,2020/06/21,187.49
Myant PPE Solutions,Consumable Items for Constituency Offices (COVID19),2020/06/22,50.66
Molave Publishing Company Inc.,Advertising,2020/06/23,110.00
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,49.64
"Liberté, La",Advertising,2020/06/24,199.65
Canstar Community News,Advertising,2020/06/27,288.83
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/06/29,420.00
Access Information Management of Canada,Shredding,2020/06/30,20.10
Facebook,Advertising,2020/06/30,30.00
Grand & Toy,Office Equipment,2020/06/30,31.61
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,134.79
Grand & Toy,Cleaning Products,2020/06/30,57.27
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,24.00
Bell MTS,Cable and Internet Fees,2020/07/01,123.00
BENCHMARK ADVERTISING LTD.,Advertising,2020/07/01,1280.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.52
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,236.00
Zoom Video Communications Inc.,Licence Renewal,2020/07/02,20.00
MANITOBA HYDRO,Public Utilities,2020/07/08,1.60
MANITOBA HYDRO,Public Utilities,2020/07/08,254.77
MPD Glass & Vinyl Graphics,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/09,296.80
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,30.36
Bell MTS,Cable and Internet Fees,2020/07/19,57.73
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/07/22,49.14
OAKLEY ALARMS INC.,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/07/24,6425.14
OAKLEY ALARMS INC.,Protection and Alarm Monitoring (Member's Office Budget),2020/07/24,535.00
WINNIPEG JEWISH REVIEW,Advertising,2020/07/27,100.00
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/07/27,420.00
ST. VITAL MUSEUM,Advertising,2020/07/30,75.00
Winnipeg Waste & Water Department,Public Utilities,2020/07/30,94.67
Access Information Management,Shredding,2020/07/31,20.10
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,24.00
Bell MTS,Cable and Internet Fees,2020/08/01,123.00
BENCHMARK ADVERTISING LTD.,Advertising,2020/08/01,1280.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,270.00
SCOURAS BROS. INVESTMENTS LTD.,Office Rental and Related Fees,2020/08/01,3689.72
Zoom Video Communications Inc.,Licence Renewal,2020/08/02,21.40
Facebook Ads,Advertising,2020/08/07,25.00
MANITOBA HYDRO,Public Utilities,2020/08/10,23.20
MANITOBA HYDRO,Public Utilities,2020/08/10,145.29
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Bell MTS,Cable and Internet Fees,2020/08/19,57.73
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/08/24,5.40
WINNIPEG OUTDOOR MARKETING GROUP INC.,Advertising,2020/08/24,420.00
Grand & Toy,Cleaning Products,2020/08/31,172.23
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,21.39
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,24.00
Bell MTS,Cable and Internet Fees,2020/09/01,123.00
BENCHMARK ADVERTISING LTD.,Advertising,2020/09/01,1280.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.05
SCOURAS BROS. INVESTMENTS LTD.,Office Rental and Related Fees,2020/09/01,3689.72
Winnipeg Free Press,Advertising,2020/09/06,206.24
MANITOBA HYDRO,Public Utilities,2020/09/08,222.39
MANITOBA HYDRO,Public Utilities,2020/09/08,7.16
Canada Post – Postes Canada,Courier Services,2020/09/23,10.28
Canada Post – Postes Canada,Courier Services,2020/09/23,8.97
Canada Post – Postes Canada,Courier Services,2020/09/23,14.48
Canada Post – Postes Canada,Courier Services,2020/09/23,14.41
Canada Post – Postes Canada,Courier Services,2020/09/23,9.29
Canada Post – Postes Canada,Courier Services,2020/09/23,10.86
Canada Post – Postes Canada,Courier Services,2020/09/23,78.36
Canada Post – Postes Canada,Courier Services,2020/09/23,12.63
Canada Post – Postes Canada,Courier Services,2020/09/23,11.05
Canada Post – Postes Canada,Courier Services,2020/09/23,14.48
Canada Post – Postes Canada,Courier Services,2020/09/23,16.23
Canada Post – Postes Canada,Courier Services,2020/09/23,10.96
Canada Post – Postes Canada,Courier Services,2020/09/23,26.47
SCOURAS BROS. INVESTMENTS LTD.,Office Rental and Related Fees,2020/10/01,3689.72
