"Members – Detailed Travel Expenditures Report – Epp, Dave – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202918,2020/03/30,2020/05/30,,,,,,,0.0000,58.8700,0.0000,0,0,0,58.87
T0202918,2020/03/30,2020/05/30,"Epp, Dave",Member,Secondary Residence,2020/04/29,Ottawa,Ottawa,,,,,,,
T0202918,2020/03/30,2020/05/30,"Epp, Dave",Member,Secondary Residence,2020/03/30,Ottawa,Ottawa,,,,,,,
T0202919,2020/04/13,2020/06/13,,,,,,,0.0000,193.9000,0.0000,0,0,0,193.90
T0202919,2020/04/13,2020/06/13,"Epp, Dave",Member,Secondary Residence,2020/05/13,Ottawa,Ottawa,,,,,,,
T0202919,2020/04/13,2020/06/13,"Epp, Dave",Member,Secondary Residence,2020/04/13,Ottawa,Ottawa,,,,,,,
T0203284,2020/05/30,2020/07/13,,,,,,,0.0000,132.1600,0.0000,0,0,0,132.16
T0203284,2020/05/30,2020/07/13,"Epp, Dave",Member,Secondary Residence,2020/05/30,Ottawa,Ottawa,,,,,,,
T0203284,2020/05/30,2020/07/13,"Epp, Dave",Member,Secondary Residence,2020/06/13,Ottawa,Ottawa,,,,,,,
T0202923,2020/05/31,2020/06/05,,,,,,,750.9600,0.0000,589.8200,1.0000,0,0,1340.78
T0202923,2020/05/31,2020/06/05,"Epp, Dave",Member,To travel to/from constituency and Ottawa,2020/05/31,Leamington,Ottawa,,,,,,,
T0202923,2020/05/31,2020/06/05,"Epp, Dave",Member,To travel to/from constituency and Ottawa,2020/06/05,Ottawa,Leamington,,,,,,,
T0202926,2020/06/06,2020/06/30,,,,,,,347.3800,0.0000,0.0000,0,0,0,347.38
T0202926,2020/06/06,2020/06/30,"Epp, Dave",Member,To attend meetings about constituency issues,2020/06/06,Leamington,Chatham-Kent,,,,,,,
T0202926,2020/06/06,2020/06/30,"Epp, Dave",Member,To attend meetings about constituency issues,2020/06/30,Chatham-Kent,Leamington,,,,,,,
T0202926,2020/06/06,2020/06/30,"Epp, Dave",Member,To attend meetings about constituency issues,2020/06/10,Leamington,Windsor,,,,,,,
T0202926,2020/06/06,2020/06/30,"Epp, Dave",Member,To attend meetings about constituency issues,2020/06/10,Windsor,Leamington,,,,,,,
T0202926,2020/06/06,2020/06/30,"Epp, Dave",Member,To attend meetings about constituency issues,2020/06/06,Chatham-Kent,Leamington,,,,,,,
T0202926,2020/06/06,2020/06/30,"Epp, Dave",Member,To attend meetings about constituency issues,2020/06/09,Leamington,Chatham-Kent,,,,,,,
T0202926,2020/06/06,2020/06/30,"Epp, Dave",Member,To attend meetings about constituency issues,2020/06/09,Chatham-Kent,Leamington,,,,,,,
T0202926,2020/06/06,2020/06/30,"Epp, Dave",Member,To attend meetings about constituency issues,2020/06/12,Leamington,Chatham-Kent,,,,,,,
T0202926,2020/06/06,2020/06/30,"Epp, Dave",Member,To attend meetings about constituency issues,2020/06/12,Chatham-Kent,Leamington,,,,,,,
T0202926,2020/06/06,2020/06/30,"Epp, Dave",Member,To attend meetings about constituency issues,2020/06/23,Leamington,Chatham-Kent,,,,,,,
T0202926,2020/06/06,2020/06/30,"Epp, Dave",Member,To attend meetings about constituency issues,2020/06/23,Chatham-Kent,Leamington,,,,,,,
T0202926,2020/06/06,2020/06/30,"Epp, Dave",Member,To attend meetings about constituency issues,2020/06/30,Leamington,Chatham-Kent,,,,,,,
T0202927,2020/06/29,2020/07/03,,,,,,,632.2700,457.4900,491.5200,1.0000,0,0,1581.28
T0202927,2020/06/29,2020/07/03,"Pennell, William",Employee,To travel to/from constituency and Ottawa,2020/06/29,Ottawa,Chatham,,,,,,,
T0202927,2020/06/29,2020/07/03,"Pennell, William",Employee,To travel to/from constituency and Ottawa,2020/07/03,Chatham,Ottawa,,,,,,,
T0204299,2020/06/29,2020/08/13,,,,,,,0.0000,165.9100,0.0000,0,0,0,165.91
