"Members – Detailed Contract Expenditures Report – Lametti, David – Q2 2021"
Supplier,Description,Date,Total
AMAZON.CA,"Printed Matter, Books, Newspapers and Subscriptions",2019/11/12,49.40
AMAZON.CA,"Printed Matter, Books, Newspapers and Subscriptions",2019/11/17,20.88
Centre de laminage et d'encadrement,"Framing, Outside Supplier",2019/11/23,215.00
AMAZON.CA,"Printed Matter, Books, Newspapers and Subscriptions",2019/12/01,31.30
AMAZON.CA,"Printed Matter, Books, Newspapers and Subscriptions",2019/12/01,28.69
AMAZON.CA,"Printed Matter, Books, Newspapers and Subscriptions",2019/12/09,29.75
AMAZON.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/01/31,38.50
AMAZON.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/02/09,43.21
AMAZON.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/02/09,42.70
AMAZON.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/02/16,33.95
AMAZON.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/03/25,34.65
AMAZON.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/03/27,19.51
AMAZON.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/03/27,34.60
"Journal El Chasqui Latino Inc. ",Advertising,2020/04/01,29.41
AMAZON.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/04/09,41.84
AMAZONE.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/04/10,59.88
St. John Brébeuf Parish,Advertising,2020/04/27,250.00
AMAZONE.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/04/29,36.14
Métro Média,Advertising,2020/05/09,72.00
AMAZON.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/14,24.70
Nawa-I-Pakistan,Advertising,2020/05/21,35.30
AMAZONE.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/02,40.58
AMAZONE.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/02,33.66
AMAZONE.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/02,25.00
CLAN CREATIF INC.,Advertising,2020/06/10,136.76
ERIN SPORTS ASS.,Advertising,2020/06/10,350.00
Filipino Forum,Advertising,2020/06/12,75.00
Hydro Quebec,Public Utilities,2020/06/12,227.86
AMAZONE.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/14,20.95
ALMA CANADA INC.,Advertising,2020/06/15,225.00
Canadian Tire,Cleaning Products,2020/06/16,41.95
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
AMAZONE.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/18,36.14
Cittadino Canadese,Advertising,2020/06/23,71.00
CLAN CREATIF INC.,Advertising,2020/06/23,50.95
Bell,Cable and Internet Fees,2020/06/25,78.90
Radio Humsafar,Advertising,2020/06/27,40.00
bureau en gros,Consumable Items for Constituency Offices (COVID19),2020/06/29,67.96
bureau en gros,Office Furniture and Fixtures,2020/06/29,464.97
bureau en gros,"Office Supplies, Stationery and Accessories",2020/06/29,74.45
Cirka Distilleries,Consumable Items for Constituency Offices (COVID19),2020/06/29,260.00
The North American Filipino Star,Advertising,2020/06/29,73.53
Journal El Chasqui Latino Inc.,Advertising,2020/06/30,29.41
"SUBURBAN, THE",Advertising,2020/06/30,129.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,18.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,274.76
La Presse Chinoise,Advertising,2020/07/01,82.35
Montreal Africain,Advertising,2020/07/01,87.94
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
ZigZag Roman-Canadian Inc.,Advertising,2020/07/01,22.50
Montreal Community Contact,Advertising,2020/07/02,58.86
E Box,Cable and Internet Fees,2020/07/07,76.11
Maghreb Canada Express,Advertising,2020/07/07,29.41
AMAZONE.CA,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/13,28.22
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,11.87
Hydro Quebec,Public Utilities,2020/07/14,227.86
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,5.52
Walmart,"Framing, Outside Supplier",2020/07/20,106.92
Service D Affaires Sud Asiatiques Sawid,Advertising,2020/07/22,35.29
BELL CANADA,Cable and Internet Fees,2020/07/25,91.20
BELL CANADA,Cable and Internet Fees,2020/07/25,78.90
