"Members – Detailed Travel Expenditures Report – Lametti, David – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0203137,2020/06/22,2020/06/26,,,,,,,186.6100,0.0000,181.1600,1.0000,0,0,367.77
T0203137,2020/06/22,2020/06/26,"Lametti, David",Member,To travel to/from constituency and Ottawa,2020/06/22,Montréal,Ottawa,,,,,,,
T0203137,2020/06/22,2020/06/26,"Lametti, David",Member,To travel to/from constituency and Ottawa,2020/06/26,Ottawa,Montréal,,,,,,,
T0203142,2020/06/23,2020/06/23,,,,,,,185.6600,0.0000,0.0000,1.0000,0,0,185.66
T0203142,2020/06/23,2020/06/23,"Rémillard, François",Employee,To travel to/from constituency and Ottawa,2020/06/23,Verdun,Ottawa,,,,,,,
T0203142,2020/06/23,2020/06/23,"Rémillard, François",Employee,To travel to/from constituency and Ottawa,2020/06/23,Ottawa,Verdun,,,,,,,
T0203139,2020/06/29,2020/07/03,,,,,,,183.0500,0.0000,181.1600,1.0000,0,0,364.21
T0203139,2020/06/29,2020/07/03,"Lametti, David",Member,To travel to/from constituency and Ottawa,2020/06/29,Montréal,Ottawa,,,,,,,
T0203139,2020/06/29,2020/07/03,"Lametti, David",Member,To travel to/from constituency and Ottawa,2020/07/03,Ottawa,Montréal,,,,,,,
T0203143,2020/06/30,2020/06/30,,,,,,,185.6600,0.0000,0.0000,1.0000,0,0,185.66
T0203143,2020/06/30,2020/06/30,"Rémillard, François",Employee,To travel to/from constituency and Ottawa,2020/06/30,Verdun,Ottawa,,,,,,,
T0203143,2020/06/30,2020/06/30,"Rémillard, François",Employee,To travel to/from constituency and Ottawa,2020/06/30,Ottawa,Verdun,,,,,,,
T0203141,2020/07/06,2020/07/10,,,,,,,179.6000,0.0000,181.1600,1.0000,0,0,360.76
T0203141,2020/07/06,2020/07/10,"Lametti, David",Member,To travel to/from constituency and Ottawa,2020/07/06,Montréal,Ottawa,,,,,,,
T0203141,2020/07/06,2020/07/10,"Lametti, David",Member,To travel to/from constituency and Ottawa,2020/07/10,Ottawa,Montréal,,,,,,,
T0203144,2020/07/08,2020/07/08,,,,,,,178.7000,0.0000,0.0000,1.0000,0,0,178.70
T0203144,2020/07/08,2020/07/08,"Rémillard, François",Employee,To travel to/from constituency and Ottawa,2020/07/08,Verdun,Ottawa,,,,,,,
T0203144,2020/07/08,2020/07/08,"Rémillard, François",Employee,To travel to/from constituency and Ottawa,2020/07/08,Ottawa,Verdun,,,,,,,
T0203378,2020/07/13,2020/07/16,,,,,,,180.0500,0.0000,199.6000,1.0000,0,0,379.65
T0203378,2020/07/13,2020/07/16,"Lametti, David",Member,To travel to/from constituency and Ottawa,2020/07/13,Montréal,Ottawa,,,,,,,
T0203378,2020/07/13,2020/07/16,"Lametti, David",Member,To travel to/from constituency and Ottawa,2020/07/16,Ottawa,Montréal,,,,,,,
T0203380,2020/07/14,2020/07/14,,,,,,,178.7000,0.0000,0.0000,1.0000,0,0,178.70
T0203380,2020/07/14,2020/07/14,"Rémillard, François",Employee,To travel to/from constituency and Ottawa,2020/07/14,Verdun,Ottawa,,,,,,,
T0203380,2020/07/14,2020/07/14,"Rémillard, François",Employee,To travel to/from constituency and Ottawa,2020/07/14,Ottawa,Verdun,,,,,,,
T0203381,2020/07/20,2020/07/21,,,,,,,178.7000,135.3600,0.0000,1.0000,0,0,314.06
T0203381,2020/07/20,2020/07/21,"Rémillard, François",Employee,To travel to/from constituency and Ottawa,2020/07/20,Verdun,Ottawa,,,,,,,
T0203381,2020/07/20,2020/07/21,"Rémillard, François",Employee,To travel to/from constituency and Ottawa,2020/07/21,Ottawa,Verdun,,,,,,,
T0203379,2020/07/20,2020/07/22,,,,,,,180.0500,0.0000,101.2900,1.0000,0,0,281.34
T0203379,2020/07/20,2020/07/22,"Lametti, David",Member,To travel to/from constituency and Ottawa,2020/07/20,Montréal,Ottawa,,,,,,,
T0203379,2020/07/20,2020/07/22,"Lametti, David",Member,To travel to/from constituency and Ottawa,2020/07/22,Ottawa,Montréal,,,,,,,
200430743,2020/08/01,2020/08/31,,,,,,,0.0000,1760.0000,0.0000,0,0,0,1760.00
200430743,2020/08/01,2020/08/31,"Lametti, David",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204764,2020/08/17,2020/08/20,,,,,,,178.7000,0.0000,184.1500,1.0000,0,0,362.85
T0204764,2020/08/17,2020/08/20,"Lametti, David",Member,To travel to/from constituency and Ottawa,2020/08/17,Verdun,Ottawa,,,,,,,
T0204764,2020/08/17,2020/08/20,"Lametti, David",Member,To travel to/from constituency and Ottawa,2020/08/20,Ottawa,Verdun,,,,,,,
T0204770,2020/08/18,2020/08/18,,,,,,,178.7000,0.0000,0.0000,1.0000,0,0,178.70
T0204770,2020/08/18,2020/08/18,"Rémillard, François",Employee,To travel to/from constituency and Ottawa,2020/08/18,Verdun,Ottawa,,,,,,,
T0204770,2020/08/18,2020/08/18,"Rémillard, François",Employee,To travel to/from constituency and Ottawa,2020/08/18,Ottawa,Verdun,,,,,,,
T0204766,2020/08/24,2020/08/27,,,,,,,178.7000,0.0000,184.1500,1.0000,0,0,362.85
T0204766,2020/08/24,2020/08/27,"Lametti, David",Member,To travel to/from constituency and Ottawa,2020/08/24,Verdun,Ottawa,,,,,,,
T0204766,2020/08/24,2020/08/27,"Lametti, David",Member,To travel to/from constituency and Ottawa,2020/08/27,Ottawa,Verdun,,,,,,,
T0204769,2020/08/26,2020/08/26,,,,,,,178.7000,0.0000,0.0000,1.0000,0,0,178.70
T0204769,2020/08/26,2020/08/26,"Rémillard, François",Employee,To travel to/from constituency and Ottawa,2020/08/26,Verdun,Ottawa,,,,,,,
T0204769,2020/08/26,2020/08/26,"Rémillard, François",Employee,To travel to/from constituency and Ottawa,2020/08/26,Ottawa,Verdun,,,,,,,
T0204767,2020/08/31,2020/09/03,,,,,,,178.7000,0.0000,184.1500,1.0000,0,0,362.85
T0204767,2020/08/31,2020/09/03,"Lametti, David",Member,To travel to/from constituency and Ottawa,2020/08/31,Verdun,Ottawa,,,,,,,
T0204767,2020/08/31,2020/09/03,"Lametti, David",Member,To travel to/from constituency and Ottawa,2020/09/03,Ottawa,Verdun,,,,,,,
200437226,2020/09/01,2020/09/30,,,,,,,0.0000,1760.0000,0.0000,0,0,0,1760.00
200437226,2020/09/01,2020/09/30,"Lametti, David",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0204768,2020/09/04,2020/09/04,,,,,,,111.2300,0.0000,0.0000,0,1.0000,0,111.23
T0204768,2020/09/04,2020/09/04,"Rémillard, François",Employee,Attending event with Member,2020/09/04,Montréal,Magog,,,,,,,
T0204768,2020/09/04,2020/09/04,"Rémillard, François",Employee,Attending event with Member,2020/09/04,Magog,Montréal,,,,,,,
200442087,2020/10/01,2020/10/31,,,,,,,0.0000,1760.0000,0.0000,0,0,0,1760.00
200442087,2020/10/01,2020/10/31,"Lametti, David",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
