"Members – Detailed Contract Expenditures Report – Sweet, David – Q2 2021"
Supplier,Description,Date,Total
WILLOW PRINTING AND PUBLISHING CO.,Advertising,2020/01/14,375.00
Rozalia Campbell,Janitorial Services and Maintenance,2020/03/06,85.00
Rozalia Campbell,Janitorial Services and Maintenance,2020/03/13,85.00
Silo Wireless,Internet (COVID19),2020/03/15,65.00
Rozalia Campbell,Janitorial Services and Maintenance,2020/03/20,85.00
Bell,Internet (COVID19),2020/03/23,95.95
Niagara Escarpment Views,Advertising,2020/04/01,249.00
Silo Wireless,Internet (COVID19),2020/04/15,74.42
Bell,Internet (COVID19),2020/04/23,95.95
Cogeco,Internet (COVID19),2020/04/23,94.51
Niagara Escarpment Views,Advertising,2020/04/29,249.00
Softchoice,Client Software Related to Distributed Computing Environment (DCE),2020/05/12,67.89
Silo Wireless,Internet (COVID19),2020/05/15,70.00
Bell,Internet (COVID19),2020/05/23,95.95
Cogeco,Internet (COVID19),2020/05/23,90.00
"ELECTED TECHNOLOGIES ",Computer Software,2020/05/28,1500.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,195.04
Certas home and auto insurance,Constituency Office Insurance,2020/06/11,59.94
Bell,Internet (COVID19),2020/06/14,85.95
Canadian Tire,Consumable Items for Constituency Offices (COVID19),2020/06/15,245.95
Silo Wireless,Internet (COVID19),2020/06/15,70.00
Amazon,Consumable Items for Constituency Offices (COVID19),2020/06/16,74.99
Walmart,Consumable Items for Constituency Offices (COVID19),2020/06/16,138.29
Rozalia Campbell,Janitorial Services and Maintenance,2020/06/19,85.00
videotron,Internet (COVID19),2020/06/19,84.95
Cogeco,Cable and Internet Fees,2020/06/20,87.95
Bell,Cable and Internet Fees,2020/06/21,73.85
Ancaster Mini Storage,Storage and Warehousing,2020/06/22,290.00
Signocity,Promotional Items,2020/06/22,735.00
Bell,Internet (COVID19),2020/06/23,95.95
Cogeco,Internet (COVID19),2020/06/23,93.00
Printing by Innovation,"Householders ",2020/06/23,3141.17
Rozalia Campbell,Janitorial Services and Maintenance,2020/06/26,85.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,94.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,2.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,191.09
Rozalia Campbell,Janitorial Services and Maintenance,2020/07/03,85.00
Clarity Communications & Consulting,Photography and Video Services,2020/07/08,2309.00
HYDRO ONE NETWORKS INC.,Public Utilities,2020/07/10,216.24
Rozalia Campbell,Janitorial Services and Maintenance,2020/07/10,85.00
Star Metroland Media,Advertising,2020/07/12,130.00
The Epoch Times,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/12,89.00
Certas Home and auto insurance,Constituency Office Insurance,2020/07/13,59.94
Silo Wireless,Cable and Internet Fees,2020/07/15,250.00
Silo Wireless,Internet (COVID19),2020/07/15,70.00
Rozalia Campbell,Janitorial Services and Maintenance,2020/07/17,85.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,6.59
Videotron,Internet (COVID19),2020/07/17,84.95
Ancaster Mini Storage,Storage and Warehousing,2020/07/20,290.00
Cogeco,Cable and Internet Fees,2020/07/20,87.95
Bell,Cable and Internet Fees,2020/07/21,73.85
Cogeco,Internet (COVID19),2020/07/23,93.00
Rozalia Campbell,Janitorial Services and Maintenance,2020/07/24,85.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/27,251.10
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/07/31,4.00
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/07/31,22.50
Rozalia Campbell,Janitorial Services and Maintenance,2020/07/31,85.00
10231606 Canada Inc. - Donghui Yang,Office Rental and Related Fees,2020/08/01,1500.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,94.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,183.29
Rozalia Campbell,Janitorial Services and Maintenance,2020/08/07,85.00
HYDRO ONE NETWORKS INC.,Public Utilities,2020/08/10,223.54
"Certas Home and Auto Insurance ",Constituency Office Insurance,2020/08/11,59.94
Fortinos,Cleaning Products,2020/08/13,54.42
Rozalia Campbell,Janitorial Services and Maintenance,2020/08/14,85.00
Silo Wireless,Cable and Internet Fees,2020/08/15,250.00
Ancaster Mini Storage,Storage and Warehousing,2020/08/17,267.88
Cogeco,Cable and Internet Fees,2020/08/20,87.95
Bell,Cable and Internet Fees,2020/08/21,73.85
Rozalia Campbell,Janitorial Services and Maintenance,2020/08/21,85.00
videotron,Internet (COVID19),2020/08/21,84.62
Gemstone Window Cleaning,Janitorial Services and Maintenance,2020/08/25,80.00
Rozalia Campbell,Janitorial Services and Maintenance,2020/08/28,85.00
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/08/31,22.50
Bank of Montreal – Banque de Montréal,Banking Fees and Cheque Orders,2020/08/31,4.00
Grand & Toy,Bulk Paper Purchases,2020/08/31,89.40
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/08/31,135.17
10231606 Canada Inc. - Donghui Yang,Office Rental and Related Fees,2020/09/01,1500.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,94.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,30.40
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/08,1601.00
HYDRO ONE NETWORKS INC.,Public Utilities,2020/09/09,252.63
Certas Home and auto insurance,Constituency Office Insurance,2020/09/11,59.94
Ancaster Mini Storage,Storage and Warehousing,2020/09/14,290.00
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/09/15,1680.00
Xplornet Entreprise Solutions,Cable and Internet Fees,2020/09/15,250.00
The Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2020/09/18,19.89
Videotron,Internet (COVID19),2020/09/18,97.67
Canada Post – Postes Canada,Courier Services,2020/09/23,11.00
Canada Post – Postes Canada,Courier Services,2020/09/23,20.80
Amazon,"Office Supplies, Stationery and Accessories",2020/09/24,48.99
10231606 Canada Inc. - Donghui Yang,Office Rental and Related Fees,2020/10/01,1500.00
