"Members – Detailed Contract Expenditures Report – Davies, Don – Q2 2021"
Supplier,Description,Date,Total
NETFORE SYSTEMS INC.,Licence Renewal,2020/04/01,4000.0000
"Zoom ",Licence Renewal,2020/04/14,20.0000
Indo Canadian Awaaz,Advertising,2020/04/17,200.0000
Facebook,Advertising,2020/04/22,400.0900
Zoom,Licence Renewal,2020/04/22,38.8700
Mainstream Broadcasting Corporation,Advertising,2020/04/23,500.0000
BeLive,Licence Renewal,2020/04/27,43.8800
FAIRCHILD RADIO GROUP LTD.,Advertising,2020/04/30,1000.0000
LMP Publication Limited Partnership,Advertising,2020/04/30,100.0000
Blacklock's Reporter,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/01,314.0000
LMP Publication Limited Partnership,Advertising,2020/05/01,400.0000
COLLINGWOOD NEIGHBOURHOOD HOUSE,Advertising,2020/05/08,275.0000
Zoom,Licence Renewal,2020/05/14,20.0000
Facebook,Advertising,2020/05/22,50.0000
Facebook,Advertising,2020/05/22,60.0000
Facebook,Advertising,2020/05/22,41.0300
Thunderbird Press,Constituency Mail,2020/05/26,5136.0000
Thunderbird Press,"Householders ",2020/05/26,5136.0000
BeLIve,Licence Renewal,2020/05/27,43.4100
Rogers Wireless – Rogers sans-fil,Long Distance,2020/06/01,0.7500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,364.7500
TechSmith,Computer Software,2020/06/03,180.6900
COLLINGWOOD NEIGHBOURHOOD HOUSE,Advertising,2020/06/08,250.0000
Apple,Voice Communication Equipment,2020/06/12,41.7300
Zoom,Licence Renewal,2020/06/14,20.0000
Kapwing,Licence Renewal,2020/06/15,28.3400
Shaw Direct,Cable and Internet Fees,2020/06/19,218.3000
Adobe Inc,Licence Renewal,2020/06/22,47.7800
Facebook,Advertising,2020/06/22,158.9700
Facebook,Advertising,2020/06/22,24.2200
Facebook,Advertising,2020/06/22,2.1100
Facebook,Advertising,2020/06/22,37.2900
Microsoft Store,Computer Equipment,2020/06/24,116.6200
Microsoft Store,Computer Equipment,2020/06/24,26.9500
C & N CLEANING SERVICES,Janitorial Services and Maintenance,2020/06/30,200.0000
LMP Publication Limited Partnership,Advertising,2020/06/30,600.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,0.3000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,48.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,368.7500
Xing Fa Hang Trading LTD,"Office Supplies, Stationery and Accessories",2020/07/03,14.9800
Source Office Furnishings,Office Furniture and Fixtures,2020/07/08,246.1000
Source Office Furnishings,Office Furniture and Fixtures,2020/07/08,4053.1600
Source Office Furnishings,Office Furniture and Fixtures,2020/07/08,637.7200
Source Office Furnishings,Courier Services,2020/07/08,133.7500
Source Office Furnishings,Office Furniture and Fixtures,2020/07/08,394.8300
Trail Appliances,Appliances,2020/07/08,1010.2900
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,15.9000
COLLINGWOOD NEIGHBOURHOOD HOUSE,Advertising,2020/07/17,250.0000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,2.8700
Facebook,Advertising,2020/07/22,262.7100
CANADA TIMES,Advertising,2020/07/25,125.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,48.0000
Kinh Do Holdings Ltd.,Office Rental and Related Fees,2020/08/01,4000.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,438.0000
JOSHUA BERSON PHOTOGRAPHY LTD.,Photography and Video Services,2020/08/13,1407.5000
SING TAO NEWSPAPERS(CANADA 1988) LIMITED,Advertising,2020/08/31,394.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,48.0000
Kinh Do Holdings Ltd.,Office Rental and Related Fees,2020/09/01,4000.0000
Mosaic,Translation Services,2020/09/02,554.4400
Kinh Do Holdings Ltd.,Office Rental and Related Fees,2020/10/01,4000.0000
