"Members – Detailed Travel Expenditures Report – DeBellefeuille, Claude – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202857,2020/05/31,2020/06/30,,,,,,,49.2000,0.0000,0.0000,0,0,0,49.2000
T0202857,2020/05/31,2020/06/30,"DeBellefeuille, Claude",Member,To attend an event as a matter of protocol,2020/06/19,Salaberry-de-Valleyfield,Montréal,,,,,,,
T0202857,2020/05/31,2020/06/30,"DeBellefeuille, Claude",Member,To attend an event as a matter of protocol,2020/06/19,Montréal,Salaberry-de-Valleyfield,,,,,,,
T0202510,2020/06/15,2020/06/18,,,,,,,279.8900,0.0000,347.4600,1.0000,0,0,627.3500
T0202510,2020/06/15,2020/06/18,"DeBellefeuille, Claude",Member,To travel to/from constituency and Ottawa,2020/06/15,Ormstown,Ottawa,,,,,,,
T0202510,2020/06/15,2020/06/18,"DeBellefeuille, Claude",Member,To travel to/from constituency and Ottawa,2020/06/18,Ottawa,Ormstown,,,,,,,
T0204425,2020/07/01,2020/08/31,,,,,,,180.4800,0.0000,0.0000,0.0000,0.0000,0,180.4800
T0204425,2020/07/01,2020/08/31,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2020/07/13,Salaberry-de-Valleyfield,Saint-Rédempteur,,,,,,,
T0204425,2020/07/01,2020/08/31,"DeBellefeuille, Claude",Member,To attend meetings about constituency issues,2020/08/27,Dundee,Salaberry-de-Valleyfield,,,,,,,
T0204425,2020/07/01,2020/08/31,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2020/08/28,Salaberry-de-Valleyfield,Saint-Chrysostome,,,,,,,
T0204425,2020/07/01,2020/08/31,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2020/08/28,Saint-Chrysostome,Salaberry-de-Valleyfield,,,,,,,
T0204425,2020/07/01,2020/08/31,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2020/07/13,Saint-Rédempteur,Salaberry-de-Valleyfield,,,,,,,
T0204425,2020/07/01,2020/08/31,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2020/07/22,Salaberry-de-Valleyfield,Saint-Zotique,,,,,,,
T0204425,2020/07/01,2020/08/31,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2020/07/22,Saint-Zotique,Salaberry-de-Valleyfield,,,,,,,
T0204425,2020/07/01,2020/08/31,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2020/08/14,Salaberry-de-Valleyfield,Beauharnois,,,,,,,
T0204425,2020/07/01,2020/08/31,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2020/08/14,Beauharnois,Salaberry-de-Valleyfield,,,,,,,
T0204425,2020/07/01,2020/08/31,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2020/08/22,Ormstown,Beauharnois,,,,,,,
T0204425,2020/07/01,2020/08/31,"DeBellefeuille, Claude",Member,To attend a constituency or community event,2020/08/22,Beauharnois,Ormstown,,,,,,,
T0204425,2020/07/01,2020/08/31,"DeBellefeuille, Claude",Member,To attend meetings about constituency issues,2020/08/27,Salaberry-de-Valleyfield,Dundee,,,,,,,
