"Members – Detailed Travel Expenditures Report – Schulte, Deb – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202856,2020/05/12,2020/06/12,,,,,,,0.0000,63.0400,0.0000,0,0,0,63.04
T0202856,2020/05/12,2020/06/12,"Schulte, Deb",Member,Secondary Residence,2020/05/12,Ottawa,Ottawa,,,,,,,
T0203544,2020/06/12,2020/07/12,,,,,,,0.0000,40.8300,0.0000,0,0,0,40.83
T0203544,2020/06/12,2020/07/12,"Schulte, Deb",Member,Secondary Residence,2020/06/12,Ottawa,Ottawa,,,,,,,
200430788,2020/08/01,2020/08/31,,,,,,,0.0000,1940.0000,0.0000,0,0,0,1940.00
200430788,2020/08/01,2020/08/31,"Schulte, Deb",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
200437270,2020/09/01,2020/09/30,,,,,,,0.0000,1940.0000,0.0000,0,0,0,1940.00
200437270,2020/09/01,2020/09/30,"Schulte, Deb",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442132,2020/10/01,2020/10/31,,,,,,,0.0000,1940.0000,0.0000,0,0,0,1940.00
200442132,2020/10/01,2020/10/31,"Schulte, Deb",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
