"Members – Detailed Contract Expenditures Report – Desilets, Luc – Q2 2021"
Supplier,Description,Date,Total
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.8100
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.1800
Entretien menager Quattro,Janitorial Services and Maintenance,2020/05/29,340.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,35.7500
Carboneutre Québec,Subject Matter Expert,2020/06/05,538.0200
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/12,92.7000
GROUPE JCL,Advertising,2020/06/17,947.0000
"Lopin, Se rassembler pour cultiver",Advertising,2020/06/17,500.0000
"Lopin, Se rassembler pour cultiver",Advertising,2020/06/17,500.0000
FestivalOpera de Saint-Eustache,Advertising,2020/06/18,500.0000
BUREAU EN GROS,"Office Supplies, Stationery and Accessories",2020/06/20,89.7400
Miximage Imprimerie,Promotional Items,2020/06/20,2760.0000
Entretien menager Quattro,Janitorial Services and Maintenance,2020/06/24,340.0000
Softchoice,Licencing/Maintenance for Client Software Related to Distributed Computing Environment (DCE),2020/06/25,3.3500
Softchoice,Client Software Related to Distributed Computing Environment (DCE),2020/06/25,66.9600
Atelier Altitude Inc,Advertising,2020/06/26,300.0000
Club de soccer Lanaudière-Nord,Advertising,2020/06/26,500.0000
HYDRO QUÉBEC,Public Utilities,2020/06/26,422.2300
Matinées mères-enfants des Deux-Montagnes,Advertising,2020/06/26,350.0000
Miximage Imprimerie,External Printing Costs,2020/06/26,998.0000
Electronique addison,"Office Supplies, Stationery and Accessories",2020/06/27,79.9300
"Emballages Carrousel inc., Les",Cleaning Products,2020/06/29,156.6300
LA CORPORATION DES FETES DE SAINT-EUSTACHE INC.,Advertising,2020/06/29,125.0000
"Richard, Stéphane",Communications Officer,2020/06/30,300.0000
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,10.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,30.0000
Clair Obscur Photographie Inc.,Photography and Video Services,2020/07/01,1950.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,29.7500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,114.3300
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.6400
Vidéotron s.e.n.c,Cable and Internet Fees,2020/07/17,89.9500
CCITB,Advertising,2020/07/22,399.0000
"Aubé, Laurie",Janitorial Services and Maintenance,2020/07/31,340.0000
"Richard, Stéphane",Communications Officer,2020/07/31,300.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,30.0000
"Courtier, Pierre Dupuis",Office Rental and Related Fees,2020/08/01,2000.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,35.7500
Services de Développement Professionnels SDP inc,Licence Renewal,2020/08/03,4300.0000
Services d'entraide Le Relais,Advertising,2020/08/13,500.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/14,89.9500
Canadian Tire,"Office Supplies, Stationery and Accessories",2020/08/17,110.3900
Centre Marie Eve,Advertising,2020/08/18,500.0000
Bureau en Gros,"Office Supplies, Stationery and Accessories",2020/08/20,114.3500
Parkinson Québec,Advertising,2020/08/20,500.0000
Bureau en Gros,"Office Supplies, Stationery and Accessories",2020/08/26,75.7800
HYDRO QUÉBEC,Public Utilities,2020/08/26,518.0900
"Lavage de Vitres PLP Inc. ",Janitorial Services and Maintenance,2020/08/26,25.0000
Costco,"Office Supplies, Stationery and Accessories",2020/08/29,67.9600
BUREAU EN GROS,"Office Supplies, Stationery and Accessories",2020/08/31,139.9900
Entretien menager Quattro,Janitorial Services and Maintenance,2020/08/31,340.0000
"Richard, Stéphane",Communications Officer,2020/08/31,300.0000
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,30.0000
Centre d'entraide Racine-Lavoie,Advertising,2020/09/01,500.0000
"Courtier, Pierre Dupuis",Office Rental and Related Fees,2020/09/01,2000.0000
Patrick Morin inc.,Office Renovations,2020/09/02,20.9800
Patrick Morin inc.,Office Renovations,2020/09/02,11.6800
Club de Curling Rosemere,Public Meeting Room Rentals,2020/09/03,200.0000
Société de développement de Saint-Eustache,Advertising,2020/09/03,500.0000
Solutions Orbit Inc.,Cleaning Products,2020/09/15,345.4500
AQDR LAVAL,Advertising,2020/09/16,175.0000
Vidéotron s.e.n.c,Cable and Internet Fees,2020/09/18,392.8900
Canada Post – Postes Canada,Courier Services,2020/09/23,5.5100
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,5.1400
Canada Post – Postes Canada,Courier Services,2020/09/23,7.5000
Canada Post – Postes Canada,Courier Services,2020/09/23,6.0900
Canada Post – Postes Canada,Courier Services,2020/09/23,5.5000
Canada Post – Postes Canada,Courier Services,2020/09/23,7.1800
Canada Post – Postes Canada,Courier Services,2020/09/23,5.2400
Canada Post – Postes Canada,Courier Services,2020/09/23,5.5900
Canada Post – Postes Canada,Courier Services,2020/09/23,5.6200
Entretien menager Quattro,Janitorial Services and Maintenance,2020/09/28,340.0000
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/30,425.9000
"Courtier, Pierre Dupuis",Office Rental and Related Fees,2020/10/01,2000.0000
