"Members – Detailed Travel Expenditures Report – Dhaliwal, Sukh – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202929,2020/06/27,2020/07/06,,,,,,,1335.3100,0.0000,846.9200,1.0000,0,0,2182.2300
T0202929,2020/06/27,2020/07/06,"Bahia, Pavandip",Employee,To travel to/from constituency and Ottawa,2020/06/27,Ottawa,Surrey,,,,,,,
T0202929,2020/06/27,2020/07/06,"Bahia, Pavandip",Employee,To travel to/from constituency and Ottawa,2020/07/06,Surrey,Ottawa,,,,,,,
T0203132,2020/07/08,2020/07/10,,,,,,,2520.4600,0.0000,294.9100,1.0000,0,0,2815.3700
T0203132,2020/07/08,2020/07/10,"Dhaliwal, Sukh",Member,To travel to/from constituency and Ottawa,2020/07/08,Surrey,Ottawa,,,,,,,
T0203132,2020/07/08,2020/07/10,"Dhaliwal, Sukh",Member,To travel to/from constituency and Ottawa,2020/07/10,Ottawa,Surrey,,,,,,,
200430699,2020/08/01,2020/08/31,,,,,,,0.0000,1800.0000,0.0000,0,0,0,1800.0000
200430699,2020/08/01,2020/08/31,"Dhaliwal, Sukh",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
200437182,2020/09/01,2020/09/30,,,,,,,0.0000,1800.0000,0.0000,0,0,0,1800.0000
200437182,2020/09/01,2020/09/30,"Dhaliwal, Sukh",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442043,2020/10/01,2020/10/31,,,,,,,0.0000,1800.0000,0.0000,0,0,0,1800.0000
200442043,2020/10/01,2020/10/31,"Dhaliwal, Sukh",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
