"Members – Detailed Contract Expenditures Report – Finley, Diane – Q2 2021"
Supplier,Description,Date,Total
snapd Haldimand-Norfolk,Advertising,2020/04/01,125.00
Port Rowan Good News,Advertising,2020/04/03,53.00
SOMNIA,Web Site Hosting/Domain Name,2020/04/03,400.00
ADOBE INC.,Licence Renewal,2020/04/04,43.75
J2 GLOBAL - E-FAX,Monthly Phone Service,2020/04/08,12.49
OOMA,Voice and Data Plan for Mobile Devices,2020/04/14,25.00
SOMNIA,Web Site Hosting/Domain Name,2020/04/15,225.00
Willow Publishing Co.,Advertising,2020/04/15,275.00
EASTLINK,Cable and Internet Fees,2020/04/17,205.78
OOMA,Voice and Data Plan for Mobile Devices,2020/04/17,87.72
MAILCHIMP,Professional Communication Services,2020/04/21,32.07
OOMA,Voice and Data Plan for Mobile Devices,2020/04/21,25.00
ERTH Solutions,Public Utilities,2020/04/22,57.91
WALMART 5752,"Office Supplies, Stationery and Accessories",2020/04/22,114.96
HYDRO ONE,Public Utilities,2020/04/23,66.12
OOMA,Voice and Data Plan for Mobile Devices,2020/04/24,25.00
My Broadcasting Corporation,Advertising,2020/04/26,609.00
My Broadcasting Corporation,Advertising,2020/04/26,636.00
My Broadcasting Corporation,Advertising,2020/04/26,304.50
Reliance Home Comfort,Equipment Rental (non-hospitality related),2020/04/27,15.00
ADOBE INC.,Licence Renewal,2020/04/29,42.91
MICROSOFT,Licence Renewal,2020/04/29,6.40
OOMA,Voice and Data Plan for Mobile Devices,2020/04/30,25.00
TD BANK,Banking Fees and Cheque Orders,2020/04/30,19.00
The Haldimand Press 2017 Inc.,Advertising,2020/04/30,48.00
ADOBE INC.,Licence Renewal,2020/05/04,43.33
HYDRO ONE,Public Utilities,2020/05/05,22.42
ERTH Solutions,Public Utilities,2020/05/06,21.86
Enbridge Gas (Union Gas),Public Utilities,2020/05/08,468.14
J2 GLOBAL - E-FAX,Monthly Phone Service,2020/05/08,12.49
Port Rowan Good News,Advertising,2020/05/08,53.00
OOMA,Voice and Data Plan for Mobile Devices,2020/05/13,25.00
EASTLINK,Cable and Internet Fees,2020/05/17,205.74
OOMA,Voice and Data Plan for Mobile Devices,2020/05/17,87.72
STAPLES CANADA 420,"Office Supplies, Stationery and Accessories",2020/05/19,70.28
Country Trophies,Gifts given as a matter of protocol,2020/05/20,220.00
OOMA,Voice and Data Plan for Mobile Devices,2020/05/20,25.00
OOMA,Voice and Data Plan for Mobile Devices,2020/05/20,25.00
Zoom Video Communications Inc.,Licence Renewal,2020/05/20,20.00
MAILCHIMP,Professional Communication Services,2020/05/21,31.64
ERTH Solutions,Public Utilities,2020/05/22,66.84
HYDRO ONE,Public Utilities,2020/05/22,36.49
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,210.82
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,3.18
TekSavvy Solutions Inc.,Internet (COVID19),2020/05/25,56.95
Reliance Home Comfort,Equipment Rental (non-hospitality related),2020/05/27,15.25
CENTRAL SUPPLIES INC,Toner,2020/05/28,410.99
KARING HANDS,Janitorial Services and Maintenance,2020/05/28,220.00
MICROSOFT,Licence Renewal,2020/05/29,6.40
TD BANK,Banking Fees and Cheque Orders,2020/05/29,19.00
The Haldimand Press 2017 Inc.,Advertising,2020/05/29,48.00
ADOBE INC.,Licence Renewal,2020/05/30,42.53
My Broadcasting Corporation,Advertising,2020/05/31,795.00
Lakefront graphix technology,Advertising,2020/06/01,1420.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,299.79
WALMART 3110,Consumable Items for Constituency Offices (COVID19),2020/06/03,22.54
ADOBE INC.,Licence Renewal,2020/06/04,41.56
Enbridge Gas (Union Gas),Public Utilities,2020/06/08,67.07
J2 GLOBAL - E-FAX,Monthly Phone Service,2020/06/08,12.49
Port Rowan Good News,Advertising,2020/06/10,53.00
Shoppers Drug Mart,Consumable Items for Constituency Offices (COVID19),2020/06/11,28.99
EASTLINK,Cable and Internet Fees,2020/06/17,211.53
OOMA,Voice and Data Plan for Mobile Devices,2020/06/17,87.72
EXECULINK,Internet (COVID19),2020/06/18,39.00
OOMA,Voice and Data Plan for Mobile Devices,2020/06/18,25.00
Zoom Video Communications Inc.,Licence Renewal,2020/06/20,20.00
MAILCHIMP,Professional Communication Services,2020/06/21,92.62
ERTH Solutions,Public Utilities,2020/06/23,56.54
HYDRO ONE,Public Utilities,2020/06/23,68.27
TekSavvy Solutions Inc.,Internet (COVID19),2020/06/24,56.95
KARING HANDS,Janitorial Services and Maintenance,2020/06/25,220.00
Reliance Home Comfort,Equipment Rental (non-hospitality related),2020/06/25,15.51
ROGERS,Cable and Internet Fees,2020/06/25,207.99
The Haldimand Press 2017 Inc.,Advertising,2020/06/25,148.00
GEORGE F. SANTOS,Janitorial Services and Maintenance,2020/06/26,80.00
My Broadcasting Corporation,Advertising,2020/06/28,159.00
ADOBE INC.,Licence Renewal,2020/06/29,42.12
LONG & MCQUADE,Equipment Rental (non-hospitality related),2020/06/29,33.00
MICROSOFT,Licence Renewal,2020/06/29,6.40
OOMA,Voice and Data Plan for Mobile Devices,2020/06/29,25.00
POSTMEDIA,Advertising,2020/06/30,80.00
TD BANK,Banking Fees and Cheque Orders,2020/06/30,19.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,32.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,8.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,362.79
HOME DEPOT 350,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/03,120.96
ADOBE INC.,Licence Renewal,2020/07/04,41.76
HOME DEPOT 1775,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/07,204.68
J2 GLOBAL - E-FAX,Monthly Phone Service,2020/07/08,12.49
Enbridge Gas (Union Gas),Public Utilities,2020/07/09,31.92
Port Rowan Good News,Advertising,2020/07/09,53.00
AMAZON,"Office Supplies, Stationery and Accessories",2020/07/10,18.96
AMAZON,Cleaning Products,2020/07/10,21.97
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,12.65
ROULSTONS DELHI,Consumable Items for Constituency Offices (COVID19),2020/07/14,15.99
CANADIAN TIRE 097 Simcoe,Constituency Office Reconfigurations and Fixtures (COVID19),2020/07/15,4.69
STAPLES 420 Simcoe,"Office Supplies, Stationery and Accessories",2020/07/15,97.56
Charles West Security Alarms Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/07/16,267.00
EASTLINK,Cable and Internet Fees,2020/07/17,220.98
OOMA,Voice and Data Plan for Mobile Devices,2020/07/17,89.22
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,10.82
Zoom Video Communications Inc.,Licence Renewal,2020/07/20,20.00
MAILCHIMP,Professional Communication Services,2020/07/21,74.00
ERTH Solutions,Public Utilities,2020/07/22,62.40
