"Members – Detailed Travel Expenditures Report – Finley, Diane – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202961,2020/04/01,2020/04/30,,,,,,,0.0000,1500.0000,0.0000,0,0,0,1500.00
T0202961,2020/04/01,2020/04/30,"Finley, Diane",Member,Secondary Residence,2020/04/01,Ottawa,Ottawa,,,,,,,
T0202963,2020/05/01,2020/05/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0202963,2020/05/01,2020/05/31,"Finley, Diane",Member,Secondary Residence,2020/05/01,Ottawa,Ottawa,,,,,,,
T0202965,2020/06/01,2020/06/30,,,,,,,0.0000,1500.0000,0.0000,0,0,0,1500.00
T0202965,2020/06/01,2020/06/30,"Finley, Diane",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0203366,2020/06/07,2020/06/10,,,,,,,569.1600,133.9300,393.2100,1.0000,0,0,1096.30
T0203366,2020/06/07,2020/06/10,"Wittet, Karly",Employee,To travel to/from constituency and Ottawa,2020/06/07,Ottawa,Simcoe,,,,,,,
T0203366,2020/06/07,2020/06/10,"Wittet, Karly",Employee,To travel to/from constituency and Ottawa,2020/06/10,Simcoe,Ottawa,,,,,,,
T0203679,2020/07/01,2020/07/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0203679,2020/07/01,2020/07/31,"Finley, Diane",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0204418,2020/08/01,2020/08/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0204418,2020/08/01,2020/08/31,"Finley, Diane",Member,Secondary Residence,2020/08/01,Ottawa,Ottawa,,,,,,,
T0204441,2020/08/23,2020/08/29,,,,,,,634.8400,267.8600,491.5200,1.0000,0,0,1394.22
T0204441,2020/08/23,2020/08/29,"Finley, Diane",Member,To travel to/from constituency and Ottawa,2020/08/23,Ottawa,La Salette,,,,,,,
T0204441,2020/08/23,2020/08/29,"Finley, Diane",Member,To travel to/from constituency and Ottawa,2020/08/29,La Salette,Ottawa,,,,,,,
