"Members – Detailed Contract Expenditures Report – Lebouthillier, Diane – Q2 2021"
Supplier,Description,Date,Total
Électro-informatique Michaud,Repair of Telecommunication Equipment,2020/04/13,59.33
"Cité Hi-Tech, La","Office Supplies, Stationery and Accessories",2020/05/06,36.57
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,15.90
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,1054.05
Imprimerie des Anses Inc.,"Householders ",2020/05/31,3624.00
"Cité Hi-Tech, La","Office Supplies, Stationery and Accessories",2020/06/05,36.57
École de musique Miransol,Advertising,2020/06/05,200.00
Produits sanitaires des Îles Enr.,Consumable Items for Constituency Offices (COVID19),2020/06/05,13.44
Jean Coutu,Consumable Items for Constituency Offices (COVID19),2020/06/09,59.34
Jean Coutu,Consumable Items for Constituency Offices (COVID19),2020/06/12,8.69
"Les distributions Leblanc ",Consumable Items for Constituency Offices (COVID19),2020/06/15,65.00
Les Entreprises Vibe-O,Consumable Items for Constituency Offices (COVID19),2020/06/15,29.98
TVCGR.com,Advertising,2020/06/15,200.00
Fondation Cornélius-Brotherton,Advertising,2020/06/16,150.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.39
Journal Graffici,Advertising,2020/06/17,370.00
RBC,Banking Fees and Cheque Orders,2020/06/18,11.10
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/06/23,121.64
Postes Canada,Postage and Parcel Post,2020/06/25,24.87
Imprimerie le Radar Inc.,Advertising,2020/06/26,190.00
BURO PLUS J.M ARSENAULT,Toner,2020/06/29,119.94
Centre HI-FI,"Office Supplies, Stationery and Accessories",2020/06/30,202.96
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,34.30
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,283.22
Conseil de Fabrique St-Étienne,Advertising,2020/07/01,150.00
DERYtelecom,Cable and Internet Fees,2020/07/01,66.95
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.53
Cogeco Connexion Inc.,Cable and Internet,2020/07/02,56.89
Groupe Lexis Média Inc.,Advertising,2020/07/02,233.00
"Spec Gaspé, The",Advertising,2020/07/02,175.00
École secondaire Le Littoral,Advertising,2020/07/07,250.00
Postes Canada,Postage and Parcel Post,2020/07/08,16.57
Jean Coutu,"Office Supplies, Stationery and Accessories",2020/07/15,13.15
"Ponchon 2020, Le",Advertising,2020/07/15,250.00
Papeterie JSM,"Office Supplies, Stationery and Accessories",2020/07/16,19.05
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.66
Facebook,Advertising,2020/07/19,25.00
Ville de New Richmond,"Printed Matter, Books, Newspapers and Subscriptions",2020/07/20,15.81
Le bon goût frais des Îles de la Madeleine,Advertising,2020/07/21,250.00
Ville de New Richmond,Advertising,2020/07/21,150.00
Châteaux de Sable des Îles,Advertising,2020/07/22,350.00
Association des Campeurs des Îles de la Madeleine,Advertising,2020/07/29,250.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,283.22
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,34.20
DERYtelecom,Cable and Internet Fees,2020/08/01,66.95
INVESTISSEMENTS BGM INC.,Office Rental and Related Fees,2020/08/01,1800.00
Les Immeubles du Village Inc,Office Rental and Related Fees,2020/08/01,905.36
MRC DE LA HAUTE-GASPÉSIE,Office Rental and Related Fees,2020/08/01,325.00
Ville de New Richmond,Office Rental and Related Fees,2020/08/01,255.00
Cogeco Connexion Inc.,Cable and Internet Fees,2020/08/02,56.89
RBC,Banking Fees and Cheque Orders,2020/08/03,5.00
BURO PLUS J.M ARSENAULT,Repair of Computer Equipment and Peripherals,2020/08/06,65.74
FETE DU BOIS FLOTTÉ,Advertising,2020/08/11,500.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.05
Facebook,Advertising,2020/08/19,70.15
Au vieux Treuil,Advertising,2020/08/20,250.00
ENTREPRISES DEZIEL DEA INC.,"Office Supplies, Stationery and Accessories",2020/08/20,29.99
Prévention des Incendies des Iles inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/08/20,215.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,283.22
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,32.20
DERYtelecom,Cable and Internet Fees,2020/09/01,66.95
INVESTISSEMENTS BGM INC.,Office Rental and Related Fees,2020/09/01,1800.00
Les Immeubles du Village Inc,Office Rental and Related Fees,2020/09/01,905.36
MRC DE LA HAUTE-GASPÉSIE,Office Rental and Related Fees,2020/09/01,325.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.06
Ville de New Richmond,Office Rental and Related Fees,2020/09/01,255.00
Cogeco,Cable and Internet Fees,2020/09/02,56.89
ESET,Licence Renewal,2020/09/03,39.99
Canada Post – Postes Canada,Courier Services,2020/09/23,113.63
INVESTISSEMENTS BGM INC.,Office Rental and Related Fees,2020/10/01,1800.00
Les Immeubles du Village Inc,Office Rental and Related Fees,2020/10/01,905.36
MRC DE LA HAUTE-GASPÉSIE,Office Rental and Related Fees,2020/10/01,325.00
Ville de New Richmond,Office Rental and Related Fees,2020/10/01,255.00
