"Members – Detailed Contract Expenditures Report – Davies, Don – Q2 2021"
Supplier,Description,Date,Total
NETFORE SYSTEMS INC.,Licence Renewal,2020/04/01,4000.00
"Zoom ",Licence Renewal,2020/04/14,20.00
Indo Canadian Awaaz,Advertising,2020/04/17,200.00
Facebook,Advertising,2020/04/22,400.09
Zoom,Licence Renewal,2020/04/22,38.87
Mainstream Broadcasting Corporation,Advertising,2020/04/23,500.00
BeLive,Licence Renewal,2020/04/27,43.88
FAIRCHILD RADIO GROUP LTD.,Advertising,2020/04/30,1000.00
LMP Publication Limited Partnership,Advertising,2020/04/30,100.00
Blacklock's Reporter,"Printed Matter, Books, Newspapers and Subscriptions",2020/05/01,314.00
LMP Publication Limited Partnership,Advertising,2020/05/01,400.00
COLLINGWOOD NEIGHBOURHOOD HOUSE,Advertising,2020/05/08,275.00
Zoom,Licence Renewal,2020/05/14,20.00
Facebook,Advertising,2020/05/22,50.00
Facebook,Advertising,2020/05/22,60.00
Facebook,Advertising,2020/05/22,41.03
Thunderbird Press,Constituency Mail,2020/05/26,5136.00
Thunderbird Press,"Householders ",2020/05/26,5136.00
BeLIve,Licence Renewal,2020/05/27,43.41
Rogers Wireless – Rogers sans-fil,Long Distance,2020/06/01,0.75
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,364.75
TechSmith,Computer Software,2020/06/03,180.69
COLLINGWOOD NEIGHBOURHOOD HOUSE,Advertising,2020/06/08,250.00
Apple,Voice Communication Equipment,2020/06/12,41.73
Zoom,Licence Renewal,2020/06/14,20.00
Kapwing,Licence Renewal,2020/06/15,28.34
Shaw Direct,Cable and Internet Fees,2020/06/19,218.30
Adobe Inc,Licence Renewal,2020/06/22,47.78
Facebook,Advertising,2020/06/22,158.97
Facebook,Advertising,2020/06/22,24.22
Facebook,Advertising,2020/06/22,2.11
Facebook,Advertising,2020/06/22,37.29
Microsoft Store,Computer Equipment,2020/06/24,116.62
Microsoft Store,Computer Equipment,2020/06/24,26.95
C & N CLEANING SERVICES,Janitorial Services and Maintenance,2020/06/30,200.00
LMP Publication Limited Partnership,Advertising,2020/06/30,600.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,0.30
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,48.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,368.75
Xing Fa Hang Trading LTD,"Office Supplies, Stationery and Accessories",2020/07/03,14.98
Source Office Furnishings,Office Furniture and Fixtures,2020/07/08,246.10
Source Office Furnishings,Office Furniture and Fixtures,2020/07/08,4053.16
Source Office Furnishings,Office Furniture and Fixtures,2020/07/08,637.72
Source Office Furnishings,Courier Services,2020/07/08,133.75
Source Office Furnishings,Office Furniture and Fixtures,2020/07/08,394.83
Trail Appliances,Appliances,2020/07/08,1010.29
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,15.90
COLLINGWOOD NEIGHBOURHOOD HOUSE,Advertising,2020/07/17,250.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,2.87
Facebook,Advertising,2020/07/22,262.71
CANADA TIMES,Advertising,2020/07/25,125.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,48.00
Kinh Do Holdings Ltd.,Office Rental and Related Fees,2020/08/01,4000.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,438.00
JOSHUA BERSON PHOTOGRAPHY LTD.,Photography and Video Services,2020/08/13,1407.50
SING TAO NEWSPAPERS(CANADA 1988) LIMITED,Advertising,2020/08/31,394.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,48.00
Kinh Do Holdings Ltd.,Office Rental and Related Fees,2020/09/01,4000.00
Mosaic,Translation Services,2020/09/02,554.44
Kinh Do Holdings Ltd.,Office Rental and Related Fees,2020/10/01,4000.00
