"Members – Detailed Contract Expenditures Report – Duncan, Kirsty – Q2 2021"
Supplier,Description,Date,Total
Rogers Wireless – Rogers sans-fil,Long Distance,2020/06/01,6.7500
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,150.6900
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,45.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/06/16,85.3900
Security Experts Inc.,Protection and Alarm Monitoring (Member's Office Budget),2020/06/24,212.0000
Rogers,Cable and Internet Fees,2020/06/27,304.9300
PARVASI WEEKLY INC.,Advertising,2020/06/29,350.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/07/01,149.5300
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,176.7400
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,35.0000
"PrimeContact Inc. ",Professional Communication Services,2020/07/07,250.0000
Add Impact Inc.,Consumable Items for Constituency Offices (COVID19),2020/07/13,1254.5000
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,71.3800
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2020/07/14,289.3500
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.0600
Security Experts Inc.,"Security Equipment, Intercom and Alarm System (Central Budget)",2020/07/20,2150.0000
Rogers,Cable and Internet Fees,2020/07/27,304.9300
2536336 Ontario Inc.,Office Rental and Related Fees,2020/08/01,2655.0000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,55.0000
Rogers Wireless – Rogers sans-fil,Long Distance,2020/08/01,10.5000
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,215.9900
Absolute Destruction & Recycling Corp.,"Office Supplies, Stationery and Accessories",2020/08/11,180.0000
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2020/08/12,163.7400
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/08/13,150.0400
DIS Digital Imaging Solutions,Consumable Items for Constituency Offices (COVID19),2020/08/18,240.0000
Rogers,Cable and Internet Fees,2020/08/27,304.9300
2536336 Ontario Inc.,Office Rental and Related Fees,2020/09/01,2655.0000
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2020/09/01,148.0600
Toronto Hydro-Electric Systems Ltd.,Public Utilities,2020/09/11,99.0100
Canada Post – Postes Canada,Courier Services,2020/09/23,21.2600
2536336 Ontario Inc.,Office Rental and Related Fees,2020/10/01,2655.0000
