"Members – Detailed Travel Expenditures Report – Duvall, Scott – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202614,2020/04/24,2020/05/24,,,,,,,0.0000,36.9800,0.0000,0,0,0,36.9800
T0202614,2020/04/24,2020/05/24,"Duvall, Scott",Member,Secondary Residence,2020/04/24,Ottawa,Ottawa,,,,,,,
T0202238,2020/05/11,2020/05/15,,,,,,,92.5200,0.0000,0.0000,0,0,0,92.5200
T0202238,2020/05/11,2020/05/15,"Duvall, Scott",Member,To travel to/from constituency and Ottawa,2020/05/11,Hamilton (City / Ville),Ottawa,,,,,,,
T0202238,2020/05/11,2020/05/15,"Duvall, Scott",Member,To travel to/from constituency and Ottawa,2020/05/15,Ottawa,Hamilton (City / Ville),,,,,,,
T0202240,2020/05/24,2020/05/28,,,,,,,116.6200,0.0000,0.0000,0,0,0,116.6200
T0202240,2020/05/24,2020/05/28,"Duvall, Scott",Member,To travel to/from constituency and Ottawa,2020/05/24,Hamilton (City / Ville),Ottawa,,,,,,,
T0202240,2020/05/24,2020/05/28,"Duvall, Scott",Member,To travel to/from constituency and Ottawa,2020/05/28,Ottawa,Hamilton (City / Ville),,,,,,,
T0203487,2020/05/24,2020/06/24,,,,,,,0.0000,40.3100,0.0000,0,0,0,40.3100
T0203487,2020/05/24,2020/06/24,"Duvall, Scott",Member,Secondary Residence,2020/05/24,Ottawa,Ottawa,,,,,,,
T0202615,2020/06/09,2020/07/08,,,,,,,0.0000,132.9700,0.0000,0,0,0,132.9700
T0202615,2020/06/09,2020/07/08,"Duvall, Scott",Member,Secondary Residence,2020/06/09,Ottawa,Ottawa,,,,,,,
T0204951,2020/06/24,2020/07/24,,,,,,,0.0000,53.0800,0.0000,0,0,0,53.0800
T0204951,2020/06/24,2020/07/24,"Duvall, Scott",Member,Secondary Residence,2020/06/24,Ottawa,Ottawa,,,,,,,
T0204531,2020/06/24,2020/08/27,,,,,,,135.8700,0.0000,0.0000,0,0.0000,0,135.8700
T0204531,2020/06/24,2020/08/27,"Duvall, Scott",Member,To conduct constituency office business,2020/06/24,Milton,Hamilton,,,,,,,
T0204531,2020/06/24,2020/08/27,"Duvall, Scott",Member,To conduct constituency office business,2020/07/30,Hamilton,Hamilton,,,,,,,
T0204531,2020/06/24,2020/08/27,"Duvall, Scott",Member,To conduct constituency office business,2020/07/30,Hamilton,Hamilton,,,,,,,
T0204531,2020/06/24,2020/08/27,"Duvall, Scott",Member,To conduct constituency office business,2020/08/20,Milton,Hamilton,,,,,,,
T0204531,2020/06/24,2020/08/27,"Duvall, Scott",Member,To conduct constituency office business,2020/08/20,Hamilton,Milton,,,,,,,
T0204531,2020/06/24,2020/08/27,"Duvall, Scott",Member,To conduct constituency office business,2020/08/27,Milton,Hamilton,,,,,,,
T0204531,2020/06/24,2020/08/27,"Duvall, Scott",Member,To conduct constituency office business,2020/08/27,Hamilton,Milton,,,,,,,
T0204531,2020/06/24,2020/08/27,"Duvall, Scott",Member,To conduct constituency office business,2020/08/27,Hamilton,Hamilton,,,,,,,
T0204531,2020/06/24,2020/08/27,"Duvall, Scott",Member,To conduct constituency office business,2020/06/24,Hamilton,Milton,,,,,,,
T0204531,2020/06/24,2020/08/27,"Duvall, Scott",Member,To conduct constituency office business,2020/07/08,Milton,Hamilton,,,,,,,
T0204531,2020/06/24,2020/08/27,"Duvall, Scott",Member,To conduct constituency office business,2020/07/08,Hamilton,Milton,,,,,,,
T0204531,2020/06/24,2020/08/27,"Duvall, Scott",Member,To conduct constituency office business,2020/07/08,Milton,Hamilton,,,,,,,
T0204531,2020/06/24,2020/08/27,"Duvall, Scott",Member,To conduct constituency office business,2020/07/08,Hamilton,Milton,,,,,,,
T0204531,2020/06/24,2020/08/27,"Duvall, Scott",Member,To conduct constituency office business,2020/07/08,Hamilton,Hamilton,,,,,,,
T0204531,2020/06/24,2020/08/27,"Duvall, Scott",Member,To conduct constituency office business,2020/07/30,Milton,Hamilton,,,,,,,
T0204531,2020/06/24,2020/08/27,"Duvall, Scott",Member,To conduct constituency office business,2020/07/30,Hamilton,Milton,,,,,,,
T0203485,2020/07/09,2020/08/08,,,,,,,0.0000,132.9700,0.0000,0,0,0,132.9700
T0203485,2020/07/09,2020/08/08,"Duvall, Scott",Member,Secondary Residence,2020/07/09,Ottawa,Ottawa,,,,,,,
T0203482,2020/07/21,2020/07/27,,,,,,,542.4700,677.3600,491.5200,1.0000,0,0,1711.3500
T0203482,2020/07/21,2020/07/27,"Mockler, Chris",Employee,To travel to/from constituency and Ottawa,2020/07/21,Ottawa,Hamilton (City / Ville),,,,,,,
T0203482,2020/07/21,2020/07/27,"Mockler, Chris",Employee,To travel to/from constituency and Ottawa,2020/07/27,Hamilton (City / Ville),Ottawa,,,,,,,
T0204953,2020/07/24,2020/08/24,,,,,,,0.0000,49.7100,0.0000,0,0,0,49.7100
T0204953,2020/07/24,2020/08/24,"Duvall, Scott",Member,Secondary Residence,2020/07/24,Ottawa,Ottawa,,,,,,,
200430705,2020/08/01,2020/08/31,,,,,,,0.0000,1719.0000,0.0000,0,0,0,1719.0000
200430705,2020/08/01,2020/08/31,"Duvall, Scott",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204118,2020/08/09,2020/09/08,,,,,,,0.0000,132.9700,0.0000,0,0,0,132.9700
T0204118,2020/08/09,2020/09/08,"Duvall, Scott",Member,Secondary Residence,2020/08/09,Ottawa,Ottawa,,,,,,,
T0204119,2020/08/18,2020/08/23,,,,,,,736.4900,564.4600,445.1800,1.0000,0,0,1746.1300
T0204119,2020/08/18,2020/08/23,"Mockler, Chris",Employee,To travel to/from constituency and Ottawa,2020/08/18,Ottawa,Hamilton (City / Ville),,,,,,,
T0204119,2020/08/18,2020/08/23,"Mockler, Chris",Employee,To travel to/from constituency and Ottawa,2020/08/23,Hamilton (City / Ville),Ottawa,,,,,,,
200437188,2020/09/01,2020/09/30,,,,,,,0.0000,1719.0000,0.0000,0,0,0,1719.0000
200437188,2020/09/01,2020/09/30,"Duvall, Scott",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0204991,2020/09/06,2020/09/11,,,,,,,732.5000,564.4600,589.8200,1.0000,0,0,1886.7800
T0204991,2020/09/06,2020/09/11,"Mockler, Chris",Employee,To travel to/from constituency and Ottawa,2020/09/06,Ottawa,Hamilton (City / Ville),,,,,,,
T0204991,2020/09/06,2020/09/11,"Mockler, Chris",Employee,To travel to/from constituency and Ottawa,2020/09/11,Hamilton (City / Ville),Ottawa,,,,,,,
200442049,2020/10/01,2020/10/31,,,,,,,0.0000,1719.0000,0.0000,0,0,0,1719.0000
200442049,2020/10/01,2020/10/31,"Duvall, Scott",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
