"Members – Detailed Contract Expenditures Report – Fast, Ed – Q2 2021"
Supplier,Description,Date,Total
Coast Capital,Banking Fees and Cheque Orders,2020/06/01,10.00
Coast Capital,Banking Fees and Cheque Orders,2020/06/01,10.00
Coast Capital,Banking Fees and Cheque Orders,2020/06/01,8.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,233.69
Rogers Wireless – Rogers sans-fil,Long Distance,2020/06/01,1.50
Reyfort Publishing,Advertising,2020/06/20,29.41
PATRIKA MEDIA LTD.,Advertising,2020/06/25,350.00
Molly Maid,Janitorial Services and Maintenance,2020/06/26,82.86
Shaw,Cable and Internet Fees,2020/06/27,329.90
Black Press Media,Advertising,2020/06/30,249.63
Grand & Toy,Cleaning Products,2020/06/30,105.86
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,0.40
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,56.00
Empyrion Technologies Inc.,Information Technology (IT) Support Officer,2020/07/01,52.42
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,215.84
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,113.05
Molly Maid,Janitorial Services and Maintenance,2020/07/15,82.86
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,3.43
Shaw,Cable and Internet Fees,2020/07/27,329.90
Molly Maid,Janitorial Services and Maintenance,2020/07/29,82.86
Black Press Group Ltd.,Advertising,2020/07/31,252.75
Grand & Toy,Digital Communication Equipment,2020/07/31,66.04
Shred-It,Shredding,2020/07/31,101.79
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,56.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,0.20
CLEARBROOK GOLDEN AGE SOCIETY,Office Rental and Related Fees,2020/08/01,2522.43
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,297.75
Letterlock,Courier Services,2020/08/06,66.67
URDU Journal,Advertising,2020/08/06,63.38
Fraser Valley Alarm,Protection and Alarm Monitoring (Member's Office Budget),2020/08/12,50.24
Molly Maid,Janitorial Services and Maintenance,2020/08/18,82.86
Empyrion Technologies Inc.,Web Site Hosting/Domain Name,2020/08/19,287.84
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/08/25,169.00
Apple Canada Inc.,Repair of Telecommunication Equipment,2020/08/27,169.00
Shaw,Cable and Internet Fees,2020/08/27,329.90
Black Press Group Ltd.,Advertising,2020/08/31,400.25
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,56.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,35.00
CLEARBROOK GOLDEN AGE SOCIETY,Office Rental and Related Fees,2020/09/01,2522.43
Fraser Valley Alarm Services,Protection and Alarm Monitoring (Member's Office Budget),2020/09/01,74.85
Molly Maid,Janitorial Services and Maintenance,2020/09/02,82.86
Fraser Valley Wireless,"Office Supplies, Stationery and Accessories",2020/09/11,67.42
Molly Maid,Janitorial Services and Maintenance,2020/09/17,82.86
Canada Post – Postes Canada,Courier Services,2020/09/23,15.78
Canada Post – Postes Canada,Courier Services,2020/09/23,19.41
Canada Post – Postes Canada,Courier Services,2020/09/23,9.33
Canada Post – Postes Canada,Courier Services,2020/09/23,11.03
Canada Post – Postes Canada,Courier Services,2020/09/23,16.51
Canada Post – Postes Canada,Courier Services,2020/09/23,14.77
CLEARBROOK GOLDEN AGE SOCIETY,Office Rental and Related Fees,2020/10/01,2522.43
