"Members – Detailed Travel Expenditures Report – Fast, Ed – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202610,2020/05/17,2020/06/30,,,,,,,0.0000,86.9900,0.0000,0,0,0,86.99
T0202610,2020/05/17,2020/06/30,"Fast, Ed",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0202610,2020/05/17,2020/06/30,"Fast, Ed",Member,Secondary Residence,2020/05/17,Ottawa,Ottawa,,,,,,,
T0203483,2020/06/17,2020/07/31,,,,,,,0.0000,190.5600,0.0000,0,0,0,190.56
T0203483,2020/06/17,2020/07/31,"Fast, Ed",Member,Secondary Residence,2020/06/17,Ottawa,Ottawa,,,,,,,
T0203483,2020/06/17,2020/07/31,"Fast, Ed",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0204661,2020/07/06,2020/07/22,,,,,,,148.0000,0.0000,0.0000,0,0.0000,0,148.00
T0204661,2020/07/06,2020/07/22,"Fast, Ed",Member,To attend a constituency or community event,2020/07/06,Abbotsford,Vancouver,,,,,,,
T0204661,2020/07/06,2020/07/22,"Fast, Ed",Member,To attend a constituency or community event,2020/07/06,Vancouver,Abbotsford,,,,,,,
T0204661,2020/07/06,2020/07/22,"Fast, Ed",Member,To attend a constituency or community event,2020/07/22,Abbotsford,Vancouver,,,,,,,
T0204661,2020/07/06,2020/07/22,"Fast, Ed",Member,To attend a constituency or community event,2020/07/22,Vancouver,Abbotsford,,,,,,,
T0204660,2020/07/06,2020/09/08,,,,,,,345.2800,566.8000,129.1800,1.0000,0,0,1041.26
T0204660,2020/07/06,2020/09/08,"Fast, Ed",Member,To attend a regional or provincial caucus meeting,2020/09/03,Abbotsford,Penticton,,,,,,,
T0204660,2020/07/06,2020/09/08,"Fast, Ed",Member,To attend a regional or provincial caucus meeting,2020/09/05,Penticton,Abbotsford,,,,,,,
T0204213,2020/07/17,2020/08/31,,,,,,,0.0000,88.7400,0.0000,0,0,0,88.74
T0204213,2020/07/17,2020/08/31,"Fast, Ed",Member,Secondary Residence,2020/07/17,Ottawa,Ottawa,,,,,,,
200430709,2020/08/01,2020/08/31,,,,,,,0.0000,1700.4000,0.0000,0,0,0,1700.40
200430709,2020/08/01,2020/08/31,"Fast, Ed",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204212,2020/08/20,2020/08/25,,,,,,,176.6800,0.0000,0.0000,0.5000,0,0,176.68
T0204212,2020/08/20,2020/08/25,"Fast, Ed",Member,To travel to/from constituency and Ottawa,2020/08/20,Abbotsford,Ottawa,,,,,,,
200437192,2020/09/01,2020/09/30,,,,,,,0.0000,1700.4000,0.0000,0,0,0,1700.40
200437192,2020/09/01,2020/09/30,"Fast, Ed",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
T0205046,2020/09/15,2020/09/15,,,,,,,478.1000,0.0000,0.0000,0.5000,0,0,478.10
T0205046,2020/09/15,2020/09/15,"Kobes, Raymond",Employee,To travel to/from constituency and Ottawa,2020/09/15,Abbotsford,Ottawa,,,,,,,
200442053,2020/10/01,2020/10/31,,,,,,,0.0000,1700.4000,0.0000,0,0,0,1700.40
200442053,2020/10/01,2020/10/31,"Fast, Ed",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
