"Members – Detailed Travel Expenditures Report – Dubourg, Emmanuel – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202710,2020/06/01,2020/06/30,,,,,,,0.0000,1500.0000,0.0000,0,0,0,1500.00
T0202710,2020/06/01,2020/06/30,"Dubourg, Emmanuel",Member,Secondary Residence,2020/06/01,Gatineau,Gatineau,,,,,,,
T0202712,2020/06/09,2020/06/10,,,,,,,188.0200,0.0000,196.6100,1.0000,0,0,384.63
T0202712,2020/06/09,2020/06/10,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2020/06/09,Montréal,Ottawa,,,,,,,
T0202712,2020/06/09,2020/06/10,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2020/06/10,Ottawa,Montréal,,,,,,,
T0202716,2020/06/15,2020/06/18,,,,,,,376.0400,0.0000,196.6100,2.0000,0,0,572.65
T0202716,2020/06/15,2020/06/18,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2020/06/15,Montréal,Ottawa,,,,,,,
T0202716,2020/06/15,2020/06/18,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2020/06/15,Ottawa,Montréal,,,,,,,
T0202716,2020/06/15,2020/06/18,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2020/06/18,Montréal,Ottawa,,,,,,,
T0202716,2020/06/15,2020/06/18,"Dubourg, Emmanuel",Member,To travel to/from constituency and Ottawa,2020/06/18,Ottawa,Montréal,,,,,,,
T0203623,2020/07/01,2020/07/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0203623,2020/07/01,2020/07/31,"Dubourg, Emmanuel",Member,Secondary Residence,2020/07/01,Gatineau,Gatineau,,,,,,,
T0203876,2020/07/18,2020/08/17,,,,,,,0.0000,54.5000,0.0000,0,0,0,54.50
T0203876,2020/07/18,2020/08/17,"Dubourg, Emmanuel",Member,Secondary Residence,2020/07/18,Gatineau,Gatineau,,,,,,,
T0204403,2020/08/01,2020/08/31,,,,,,,0.0000,1550.0000,0.0000,0,0,0,1550.00
T0204403,2020/08/01,2020/08/31,"Dubourg, Emmanuel",Member,Secondary Residence,2020/08/01,Gatineau,Gatineau,,,,,,,
T0204409,2020/08/14,2020/08/14,,,,,,,12.1900,0.0000,0.0000,0.0000,0,0,12.19
T0204409,2020/08/14,2020/08/14,"Dubourg, Emmanuel",Member,To attend a constituency or community event,2020/08/14,Montréal,Montréal,,,,,,,
T0204942,2020/09/18,2020/10/17,,,,,,,0.0000,54.5000,0.0000,0,0,0,54.50
T0204942,2020/09/18,2020/10/17,"Dubourg, Emmanuel",Member,Secondary Residence,2020/09/18,Gatineau,Gatineau,,,,,,,
